file	a_compile	nv2_compile	a_run	nv2_run	stdout_match	exit_match	category
examples/oct_permutation_test.sio	1	3	-	-	-	-	both_fail
examples/ekan_knowledge.sio	0	3	0	-	-	-	nv2_compile
examples/simple_test.sio	0	3	0	-	-	-	nv2_compile
examples/qnn_example.sio	1	3	-	-	-	-	both_fail
examples/optimize/differential_evolution_demo.sio	1	3	-	-	-	-	both_fail
examples/optimize/nelder_mead_demo.sio	1	3	-	-	-	-	both_fail
examples/optimize/levenberg_marquardt_demo.sio	1	3	-	-	-	-	both_fail
examples/optimize/bfgs_demo.sio	1	3	-	-	-	-	both_fail
examples/optimize/uncertainty_demo.sio	0	3	1	-	-	-	nv2_compile
examples/optimize/mod_demo.sio	0	0	0	0	1	1	ok
examples/computational_psychiatry_demo.sio	0	3	0	-	-	-	nv2_compile
examples/lean_mini_compiler.sio	0	3	0	-	-	-	nv2_compile
examples/epistemic_ddi_simulator.sio	0	3	0	-	-	-	nv2_compile
examples/octonion_ssm.sio	0	3	0	-	-	-	nv2_compile
examples/glm_optimization_demo.sio	1	3	-	-	-	-	both_fail
examples/fusion/eeg_fmri_demo.sio	1	3	-	-	-	-	both_fail
examples/t7_sign_function.sio	0	3	0	-	-	-	nv2_compile
examples/virus_theorem.sio	0	3	0	-	-	-	nv2_compile
examples/sedenion_ssm_16ch_eeg.sio	0	3	0	-	-	-	nv2_compile
examples/oct_signed_test.sio	1	3	-	-	-	-	both_fail
examples/distributed_build.sio	1	3	-	-	-	-	both_fail
examples/ekan_advanced_ablation.sio	0	3	0	-	-	-	nv2_compile
examples/darwin_compat_test.sio	1	3	-	-	-	-	both_fail
examples/oct_connectome_demo.sio	0	3	0	-	-	-	nv2_compile
examples/time/mod_demo.sio	1	3	-	-	-	-	both_fail
examples/hssm_deep_listops.sio	0	3	0	-	-	-	nv2_compile
examples/brain_ossm_classifier.sio	0	3	0	-	-	-	nv2_compile
examples/wave2_causal_simpson.sio	0	3	0	-	-	-	nv2_compile
examples/knowledge_associator.sio	0	3	0	-	-	-	nv2_compile
examples/native/fib.sio	0	3	0	-	-	-	nv2_compile
examples/native/struct_basic.sio	0	0	0	0	trim	1	ok
examples/native/struct_param.sio	0	0	0	0	trim	1	ok
examples/native/array_basics.sio	0	0	139	0	0	0	a_bug
examples/native/while_loop.sio	0	0	0	0	0	1	nv2_run
