thread,step,c10,kappa,sigma_kappa,trace,sigma_trace,anisotropy,escape
0,1,-0.050000,4.002500,1.131371,512.040000,0.000000,1.000625,no
1,1,-0.043333,4.001878,1.131371,532.107693,0.000000,5.994563,no
2,1,-0.036667,4.001344,1.131371,-87.849602,0.000000,4.004539,no
3,1,-0.030000,4.000900,1.131371,512.014400,0.000000,1.000225,no
4,1,-0.023333,4.000544,1.131371,-87.919981,0.000000,4.003271,no
5,1,-0.016667,4.000278,1.131371,532.002999,0.000000,5.998194,no
6,1,-0.010000,4.000100,1.131371,512.001600,0.000000,1.000025,no
7,1,-0.003333,4.000011,1.131371,-67.996916,0.000000,4.000169,no
8,1,0.003333,4.000011,1.131371,-67.996916,0.000000,4.000169,no
9,1,0.010000,4.000100,1.131371,512.001600,0.000000,1.000025,no
10,1,0.016667,4.000278,1.131371,532.002999,0.000000,5.998194,no
11,1,0.023333,4.000544,1.131371,-87.919981,0.000000,4.003271,no
12,1,0.030000,4.000900,1.131371,512.014400,0.000000,1.000225,no
13,1,0.036667,4.001344,1.131371,-87.849602,0.000000,4.004539,no
14,1,0.043333,4.001878,1.131371,532.107693,0.000000,5.994563,no
15,1,0.050000,4.002500,1.131371,512.040000,0.000000,1.000625,no
0,4,-0.050000,65513.161402,146262.963220,936074653.506279,0.000000,1838.381639,no
1,4,-0.043333,65519.287877,146766.005734,8235078.573227,0.000000,1.021935,no
2,4,-0.036667,65524.516584,147198.835612,8267689.466476,0.000000,1.026547,no
3,4,-0.030000,65527.894587,147558.215219,8294799.566269,0.000000,1.030382,no
4,4,-0.023333,65532.055485,147849.165546,-6398535380.482674,0.000000,6137.007233,no
5,4,-0.016667,65533.976479,148065.121330,-3222040843.844414,0.000000,6443.623794,no
6,4,-0.010000,65535.235691,148209.645473,8354515.910149,0.000000,1.046753,no
7,4,-0.003333,65535.858448,148281.897042,-6543975432.634354,0.000000,6248.457883,no
8,4,0.003333,65535.858448,148281.897042,-6543975432.634354,0.000000,6248.457883,no
9,4,0.010000,65535.235691,148209.645473,8354515.910149,0.000000,1.046753,no
10,4,0.016667,65533.976479,148065.121330,-3222040843.844414,0.000000,6443.623794,no
11,4,0.023333,65532.055485,147849.165546,-6398535380.482674,0.000000,6137.007233,no
12,4,0.030000,65527.894587,147558.215219,8294799.566269,0.000000,1.030382,no
13,4,0.036667,65524.516584,147198.835612,8267689.466476,0.000000,1.026547,no
14,4,0.043333,65519.287877,146766.005734,8235078.573227,0.000000,1.021935,no
15,4,0.050000,65513.161402,146262.963220,936074653.506279,0.000000,1838.381639,no
0,8,-0.050000,115147201176999987397841840318247683786385254201027521128502515567414933979136.000000,nan,nan,0.000000,0.000000,YES
1,8,-0.043333,115319532212000015818682590260236690677997999664481388981019400927468496879616.000000,nan,nan,0.000000,0.000000,YES
2,8,-0.036667,115467157785639987691356100471764612042516286622464194328217279962211336323072.000000,nan,nan,0.000000,0.000000,YES
3,8,-0.030000,115563301331809991217529394650272389314578783887510601884370008677914446397440.000000,nan,nan,0.000000,0.000000,YES
4,8,-0.023333,115680372623999985471272562315498940466756521544262279617766668909724374663168.000000,nan,nan,0.000000,0.000000,YES
5,8,-0.016667,115736245249999988419917699578883131250422859720256002420420262751508619067392.000000,nan,nan,0.000000,0.000000,YES
6,8,-0.010000,115769697121000007692198827291546488631849536873555728850662427910473156395008.000000,nan,nan,0.000000,0.000000,YES
7,8,-0.003333,115789458671890010835016239403650588946055183028556569823780896728524552929280.000000,nan,nan,0.000000,0.000000,YES
8,8,0.003333,115789458671890010835016239403650588946055183028556569823780896728524552929280.000000,nan,nan,0.000000,0.000000,YES
9,8,0.010000,115769697121000007692198827291546488631849536873555728850662427910473156395008.000000,nan,nan,0.000000,0.000000,YES
10,8,0.016667,115736245249999988419917699578883131250422859720256002420420262751508619067392.000000,nan,nan,0.000000,0.000000,YES
11,8,0.023333,115680372623999985471272562315498940466756521544262279617766668909724374663168.000000,nan,nan,0.000000,0.000000,YES
12,8,0.030000,115563301331809991217529394650272389314578783887510601884370008677914446397440.000000,nan,nan,0.000000,0.000000,YES
13,8,0.036667,115467157785639987691356100471764612042516286622464194328217279962211336323072.000000,nan,nan,0.000000,0.000000,YES
14,8,0.043333,115319532212000015818682590260236690677997999664481388981019400927468496879616.000000,nan,nan,0.000000,0.000000,YES
15,8,0.050000,115147201176999987397841840318247683786385254201027521128502515567414933979136.000000,nan,nan,0.000000,0.000000,YES
