thread,step,c5,kappa,sigma_kappa,trace,anisotropy,escape
0,1,-0.050000,4.002500,1.131371,512.040000,1.000625,no
264,1,-0.046777,4.002188,1.131371,552.013685,2.249864,no
528,1,-0.043554,4.001897,1.131371,531.933992,5.980059,no
792,1,-0.040331,4.001627,1.131371,552.090253,2.252420,no
1056,1,-0.037108,4.001377,1.131371,552.082742,2.252234,no
1321,1,-0.033873,4.001147,1.131371,532.080350,5.998021,no
1585,1,-0.030649,4.000939,1.131371,492.020090,2.664516,no
1849,1,-0.027426,4.000752,1.131371,-87.929558,4.000694,no
2113,1,-0.024203,4.000586,1.131371,552.024798,2.249964,no
2378,1,-0.020968,4.000440,1.131371,492.013534,2.666015,no
2642,1,-0.017745,4.000315,1.131371,-87.944234,4.003561,no
2906,1,-0.014522,4.000211,1.131371,-67.962736,4.001649,no
3170,1,-0.011299,4.000128,1.131371,532.003704,5.999332,no
3434,1,-0.008076,4.000065,1.131371,552.001938,2.250047,no
3699,1,-0.004841,4.000023,1.131371,-87.994895,4.000369,no
3963,1,-0.001618,4.000003,1.131371,-67.999399,4.000028,no
4227,1,0.001605,4.000003,1.131371,-67.999110,4.000028,no
4491,1,0.004828,4.000023,1.131371,-87.995864,4.000248,no
4756,1,0.008064,4.000065,1.131371,552.001933,2.250046,no
5020,1,0.011287,4.000127,1.131371,532.003702,5.999331,no
5284,1,0.014510,4.000211,1.131371,492.007162,2.666477,no
5548,1,0.017733,4.000314,1.131371,-87.947787,4.003116,no
5812,1,0.020956,4.000439,1.131371,512.047161,4.334674,no
6077,1,0.024191,4.000585,1.131371,552.024383,2.250115,no
6341,1,0.027414,4.000752,1.131371,-87.874650,4.007569,no
6605,1,0.030637,4.000939,1.131371,532.071953,5.998691,no
6869,1,0.033860,4.001147,1.131371,532.080326,5.998019,no
7134,1,0.037096,4.001376,1.131371,552.082717,2.252233,no
7398,1,0.040319,4.001626,1.131371,551.928954,2.247380,no
7662,1,0.043542,4.001896,1.131371,552.010638,2.249881,no
7926,1,0.046765,4.002187,1.131371,552.013685,2.249864,no
8191,1,0.050000,4.002500,1.131371,512.040000,1.000625,no
0,4,-0.050000,65513.161402,146262.963220,936074653.506279,1838.381639,no
264,4,-0.046777,65516.068135,146514.544218,4585766176.581383,4447.562584,no
528,4,-0.043554,65517.851248,146748.373918,1630193799.972534,1572.732456,no
792,4,-0.040331,65520.526357,146967.502244,-1495819694.042206,1453.216914,no
