id	iri	label
0	http://purl.obolibrary.org/obo/CL_0000000	cell
1	http://purl.obolibrary.org/obo/CL_0000001	primary cultured cell
2	http://purl.obolibrary.org/obo/CL_0000005	neural crest derived fibroblast
3	http://purl.obolibrary.org/obo/CL_0000006	neuronal receptor cell
4	http://purl.obolibrary.org/obo/CL_0000007	early embryonic cell (metazoa)
5	http://purl.obolibrary.org/obo/CL_0000008	migratory cranial neural crest cell
6	http://purl.obolibrary.org/obo/CL_0000010	cultured cell
7	http://purl.obolibrary.org/obo/CL_0000011	migratory trunk neural crest cell
8	http://purl.obolibrary.org/obo/CL_0000014	germ line stem cell
9	http://purl.obolibrary.org/obo/CL_0000015	male germ cell
10	http://purl.obolibrary.org/obo/CL_0000016	male germ line stem cell
11	http://purl.obolibrary.org/obo/CL_0000017	spermatocyte
12	http://purl.obolibrary.org/obo/CL_0000018	spermatid
13	http://purl.obolibrary.org/obo/CL_0000019	sperm
14	http://purl.obolibrary.org/obo/CL_0000020	spermatogonium
15	http://purl.obolibrary.org/obo/CL_0000021	female germ cell
16	http://purl.obolibrary.org/obo/CL_0000022	female germ line stem cell
17	http://purl.obolibrary.org/obo/CL_0000023	oocyte
18	http://purl.obolibrary.org/obo/CL_0000024	oogonial cell
19	http://purl.obolibrary.org/obo/CL_0000025	egg cell
20	http://purl.obolibrary.org/obo/CL_0000026	invertebrate nurse cell
21	http://purl.obolibrary.org/obo/CL_0000027	smooth muscle cell neural crest derived
22	http://purl.obolibrary.org/obo/CL_0000028	CNS neuron (sensu Nematoda and Protostomia)
23	http://purl.obolibrary.org/obo/CL_0000029	neural crest derived neuron
24	http://purl.obolibrary.org/obo/CL_0000030	glioblast
25	http://purl.obolibrary.org/obo/CL_0000031	neuroblast (sensu Vertebrata)
26	http://purl.obolibrary.org/obo/CL_0000032	neuroplacodal cell
27	http://purl.obolibrary.org/obo/CL_0000033	apocrine cell
28	http://purl.obolibrary.org/obo/CL_0000034	stem cell
29	http://purl.obolibrary.org/obo/CL_0000035	single fate stem cell
30	http://purl.obolibrary.org/obo/CL_0000036	epithelial fate stem cell
31	http://purl.obolibrary.org/obo/CL_0000037	hematopoietic stem cell
32	http://purl.obolibrary.org/obo/CL_0000038	erythroid progenitor cell
33	http://purl.obolibrary.org/obo/CL_0000039	germ line cell
34	http://purl.obolibrary.org/obo/CL_0000040	monoblast
35	http://purl.obolibrary.org/obo/CL_0000041	mature eosinophil
36	http://purl.obolibrary.org/obo/CL_0000042	neutrophilic myeloblast
37	http://purl.obolibrary.org/obo/CL_0000043	mature basophil
38	http://purl.obolibrary.org/obo/CL_0000047	neural stem cell
39	http://purl.obolibrary.org/obo/CL_0000048	multi fate stem cell
40	http://purl.obolibrary.org/obo/CL_0000049	common myeloid progenitor
41	http://purl.obolibrary.org/obo/CL_0000050	megakaryocyte-erythroid progenitor cell
42	http://purl.obolibrary.org/obo/CL_0000051	common lymphoid progenitor
43	http://purl.obolibrary.org/obo/CL_0000052	totipotent stem cell
44	http://purl.obolibrary.org/obo/CL_0000056	myoblast
45	http://purl.obolibrary.org/obo/CL_0000057	fibroblast
46	http://purl.obolibrary.org/obo/CL_0000058	chondroblast
47	http://purl.obolibrary.org/obo/CL_0000059	ameloblast
48	http://purl.obolibrary.org/obo/CL_0000060	odontoblast
49	http://purl.obolibrary.org/obo/CL_0000061	cementoblast
50	http://purl.obolibrary.org/obo/CL_0000062	osteoblast
51	http://purl.obolibrary.org/obo/CL_0000064	ciliated cell
52	http://purl.obolibrary.org/obo/CL_0000065	ependymal cell
53	http://purl.obolibrary.org/obo/CL_0000066	epithelial cell
54	http://purl.obolibrary.org/obo/CL_0000067	ciliated epithelial cell
55	http://purl.obolibrary.org/obo/CL_0000068	duct epithelial cell
56	http://purl.obolibrary.org/obo/CL_0000069	branched duct epithelial cell
57	http://purl.obolibrary.org/obo/CL_0000071	blood vessel endothelial cell
58	http://purl.obolibrary.org/obo/CL_0000072	non-branched duct epithelial cell
59	http://purl.obolibrary.org/obo/CL_0000075	columnar/cuboidal epithelial cell
60	http://purl.obolibrary.org/obo/CL_0000076	squamous epithelial cell
61	http://purl.obolibrary.org/obo/CL_0000077	mesothelial cell
62	http://purl.obolibrary.org/obo/CL_0000078	peridermal cell
63	http://purl.obolibrary.org/obo/CL_0000079	stratified epithelial cell
64	http://purl.obolibrary.org/obo/CL_0000080	circulating cell
65	http://purl.obolibrary.org/obo/CL_0000081	blood cell
66	http://purl.obolibrary.org/obo/CL_0000082	epithelial cell of lung
67	http://purl.obolibrary.org/obo/CL_0000083	epithelial cell of pancreas
68	http://purl.obolibrary.org/obo/CL_0000084	T cell
69	http://purl.obolibrary.org/obo/CL_0000091	Kupffer cell
70	http://purl.obolibrary.org/obo/CL_0000092	osteoclast
71	http://purl.obolibrary.org/obo/CL_0000094	granulocyte
72	http://purl.obolibrary.org/obo/CL_0000095	neuron associated cell
73	http://purl.obolibrary.org/obo/CL_0000096	mature neutrophil
74	http://purl.obolibrary.org/obo/CL_0000097	mast cell
75	http://purl.obolibrary.org/obo/CL_0000098	sensory epithelial cell
76	http://purl.obolibrary.org/obo/CL_0000099	interneuron
77	http://purl.obolibrary.org/obo/CL_0000100	motor neuron
78	http://purl.obolibrary.org/obo/CL_0000101	sensory neuron
79	http://purl.obolibrary.org/obo/CL_0000102	polymodal neuron
80	http://purl.obolibrary.org/obo/CL_0000103	bipolar neuron
81	http://purl.obolibrary.org/obo/CL_0000104	multipolar neuron
82	http://purl.obolibrary.org/obo/CL_0000105	pseudounipolar neuron
83	http://purl.obolibrary.org/obo/CL_0000106	unipolar neuron
84	http://purl.obolibrary.org/obo/CL_0000107	autonomic neuron
85	http://purl.obolibrary.org/obo/CL_0000108	cholinergic neuron
86	http://purl.obolibrary.org/obo/CL_0000109	adrenergic neuron
87	http://purl.obolibrary.org/obo/CL_0000110	peptidergic neuron
88	http://purl.obolibrary.org/obo/CL_0000112	columnar neuron
89	http://purl.obolibrary.org/obo/CL_0000113	mononuclear phagocyte
90	http://purl.obolibrary.org/obo/CL_0000114	surface ectodermal cell
91	http://purl.obolibrary.org/obo/CL_0000115	endothelial cell
92	http://purl.obolibrary.org/obo/CL_0000116	pioneer neuron
93	http://purl.obolibrary.org/obo/CL_0000117	CNS neuron (sensu Vertebrata)
94	http://purl.obolibrary.org/obo/CL_0000118	basket cell
95	http://purl.obolibrary.org/obo/CL_0000119	cerebellar Golgi cell
96	http://purl.obolibrary.org/obo/CL_0000120	granule cell
97	http://purl.obolibrary.org/obo/CL_0000121	Purkinje cell
98	http://purl.obolibrary.org/obo/CL_0000122	stellate neuron
99	http://purl.obolibrary.org/obo/CL_0000123	neuron associated cell (sensu Vertebrata)
100	http://purl.obolibrary.org/obo/CL_0000125	glial cell
101	http://purl.obolibrary.org/obo/CL_0000126	macroglial cell
102	http://purl.obolibrary.org/obo/CL_0000127	astrocyte
103	http://purl.obolibrary.org/obo/CL_0000128	oligodendrocyte
104	http://purl.obolibrary.org/obo/CL_0000129	microglial cell
105	http://purl.obolibrary.org/obo/CL_0000130	neuron associated cell (sensu Nematoda and Protostomia)
106	http://purl.obolibrary.org/obo/CL_0000131	gut endothelial cell
107	http://purl.obolibrary.org/obo/CL_0000132	corneal endothelial cell
108	http://purl.obolibrary.org/obo/CL_0000133	neurectodermal cell
109	http://purl.obolibrary.org/obo/CL_0000134	mesenchymal stem cell
110	http://purl.obolibrary.org/obo/CL_0000135	circulating fibrocyte
111	http://purl.obolibrary.org/obo/CL_0000136	adipocyte
112	http://purl.obolibrary.org/obo/CL_0000137	osteocyte
113	http://purl.obolibrary.org/obo/CL_0000138	chondrocyte
114	http://purl.obolibrary.org/obo/CL_0000140	odontocyte
115	http://purl.obolibrary.org/obo/CL_0000141	cementocyte
116	http://purl.obolibrary.org/obo/CL_0000142	hyalocyte
117	http://purl.obolibrary.org/obo/CL_0000143	guidepost cell
118	http://purl.obolibrary.org/obo/CL_0000145	professional antigen presenting cell
119	http://purl.obolibrary.org/obo/CL_0000146	simple columnar epithelial cell
120	http://purl.obolibrary.org/obo/CL_0000147	pigment cell
121	http://purl.obolibrary.org/obo/CL_0000148	melanocyte
122	http://purl.obolibrary.org/obo/CL_0000149	visual pigment cell
123	http://purl.obolibrary.org/obo/CL_0000150	glandular secretory epithelial cell
124	http://purl.obolibrary.org/obo/CL_0000151	secretory cell
125	http://purl.obolibrary.org/obo/CL_0000152	exocrine cell
126	http://purl.obolibrary.org/obo/CL_0000153	glycosaminoglycan secreting cell
127	http://purl.obolibrary.org/obo/CL_0000154	protein secreting cell
128	http://purl.obolibrary.org/obo/CL_0000155	peptic cell
129	http://purl.obolibrary.org/obo/CL_0000157	surfactant secreting cell
130	http://purl.obolibrary.org/obo/CL_0000158	club cell
131	http://purl.obolibrary.org/obo/CL_0000159	seromucus secreting cell
132	http://purl.obolibrary.org/obo/CL_0000160	goblet cell
133	http://purl.obolibrary.org/obo/CL_0000162	parietal cell
134	http://purl.obolibrary.org/obo/CL_0000163	endocrine cell
135	http://purl.obolibrary.org/obo/CL_0000164	enteroendocrine cell
136	http://purl.obolibrary.org/obo/CL_0000165	neuroendocrine cell
137	http://purl.obolibrary.org/obo/CL_0000166	chromaffin cell
138	http://purl.obolibrary.org/obo/CL_0000167	peptide hormone secreting cell
139	http://purl.obolibrary.org/obo/CL_0000168	insulin secreting cell
140	http://purl.obolibrary.org/obo/CL_0000169	type B pancreatic cell
141	http://purl.obolibrary.org/obo/CL_0000170	glucagon secreting cell
142	http://purl.obolibrary.org/obo/CL_0000171	pancreatic A cell
143	http://purl.obolibrary.org/obo/CL_0000172	somatostatin secreting cell
144	http://purl.obolibrary.org/obo/CL_0000173	pancreatic D cell
145	http://purl.obolibrary.org/obo/CL_0000174	steroid hormone secreting cell
146	http://purl.obolibrary.org/obo/CL_0000175	luteal cell
147	http://purl.obolibrary.org/obo/CL_0000176	ecdysteroid secreting cell
148	http://purl.obolibrary.org/obo/CL_0000177	testosterone secreting cell
149	http://purl.obolibrary.org/obo/CL_0000178	Leydig cell
150	http://purl.obolibrary.org/obo/CL_0000179	progesterone secreting cell
151	http://purl.obolibrary.org/obo/CL_0000180	estradiol secreting cell
152	http://purl.obolibrary.org/obo/CL_0000182	hepatocyte
153	http://purl.obolibrary.org/obo/CL_0000183	contractile cell
154	http://purl.obolibrary.org/obo/CL_0000185	myoepithelial cell
155	http://purl.obolibrary.org/obo/CL_0000186	myofibroblast cell
156	http://purl.obolibrary.org/obo/CL_0000187	muscle cell
157	http://purl.obolibrary.org/obo/CL_0000188	cell of skeletal muscle
158	http://purl.obolibrary.org/obo/CL_0000189	slow muscle cell
159	http://purl.obolibrary.org/obo/CL_0000190	fast muscle cell
160	http://purl.obolibrary.org/obo/CL_0000192	smooth muscle cell
161	http://purl.obolibrary.org/obo/CL_0000193	cardiac muscle cell (sensu Arthopoda)
162	http://purl.obolibrary.org/obo/CL_0000196	insect flight muscle cell
163	http://purl.obolibrary.org/obo/CL_0000197	sensory receptor cell
164	http://purl.obolibrary.org/obo/CL_0000198	pain receptor cell
165	http://purl.obolibrary.org/obo/CL_0000199	mechanoreceptor cell
166	http://purl.obolibrary.org/obo/CL_0000200	touch receptor cell
167	http://purl.obolibrary.org/obo/CL_0000202	auditory hair cell
