id	iri	label
0	http://purl.obolibrary.org/obo/PATO_0000001	quality
1	http://purl.obolibrary.org/obo/PATO_0000004	mobility
2	http://purl.obolibrary.org/obo/PATO_0000008	speed
3	http://purl.obolibrary.org/obo/PATO_0000011	age
4	http://purl.obolibrary.org/obo/PATO_0000014	color
5	http://purl.obolibrary.org/obo/PATO_0000015	color hue
6	http://purl.obolibrary.org/obo/PATO_0000016	color brightness
7	http://purl.obolibrary.org/obo/PATO_0000017	color saturation
8	http://purl.obolibrary.org/obo/PATO_0000018	fluorescence
9	http://purl.obolibrary.org/obo/PATO_0000019	color pattern
10	http://purl.obolibrary.org/obo/PATO_0000021	compatibility
11	http://purl.obolibrary.org/obo/PATO_0000025	composition
12	http://purl.obolibrary.org/obo/PATO_0000033	concentration of
13	http://purl.obolibrary.org/obo/PATO_0000037	consistency
14	http://purl.obolibrary.org/obo/PATO_0000039	direction
15	http://purl.obolibrary.org/obo/PATO_0000040	distance
16	http://purl.obolibrary.org/obo/PATO_0000043	flavor
17	http://purl.obolibrary.org/obo/PATO_0000044	frequency
18	http://purl.obolibrary.org/obo/PATO_0000047	biological sex
19	http://purl.obolibrary.org/obo/PATO_0000048	hardness
20	http://purl.obolibrary.org/obo/PATO_0000049	intensity
21	http://purl.obolibrary.org/obo/PATO_0000050	life span
22	http://purl.obolibrary.org/obo/PATO_0000051	morphology
23	http://purl.obolibrary.org/obo/PATO_0000052	shape
24	http://purl.obolibrary.org/obo/PATO_0000056	trophic quality
25	http://purl.obolibrary.org/obo/PATO_0000057	occurrence
26	http://purl.obolibrary.org/obo/PATO_0000058	odor
27	http://purl.obolibrary.org/obo/PATO_0000060	spatial pattern
28	http://purl.obolibrary.org/obo/PATO_0000062	sleep pattern
29	http://purl.obolibrary.org/obo/PATO_0000066	pilosity
30	http://purl.obolibrary.org/obo/PATO_0000068	qualitative
31	http://purl.obolibrary.org/obo/PATO_0000069	deviation (from_normal)
32	http://purl.obolibrary.org/obo/PATO_0000070	amount
33	http://purl.obolibrary.org/obo/PATO_0000077	response to
34	http://purl.obolibrary.org/obo/PATO_0000078	rhythm quality
35	http://purl.obolibrary.org/obo/PATO_0000080	amplitude
36	http://purl.obolibrary.org/obo/PATO_0000082	persistence
37	http://purl.obolibrary.org/obo/PATO_0000083	phase
38	http://purl.obolibrary.org/obo/PATO_0000085	sensitivity toward
39	http://purl.obolibrary.org/obo/PATO_0000117	size
40	http://purl.obolibrary.org/obo/PATO_0000119	height
41	http://purl.obolibrary.org/obo/PATO_0000122	length
42	http://purl.obolibrary.org/obo/PATO_0000125	mass
43	http://purl.obolibrary.org/obo/PATO_0000128	weight
44	http://purl.obolibrary.org/obo/PATO_0000133	orientation
45	http://purl.obolibrary.org/obo/PATO_0000136	closure
46	http://purl.obolibrary.org/obo/PATO_0000140	position
47	http://purl.obolibrary.org/obo/PATO_0000141	structure
48	http://purl.obolibrary.org/obo/PATO_0000146	temperature
49	http://purl.obolibrary.org/obo/PATO_0000150	texture
50	http://purl.obolibrary.org/obo/PATO_0000152	threshold
51	http://purl.obolibrary.org/obo/PATO_0000161	rate
52	http://purl.obolibrary.org/obo/PATO_0000165	time
53	http://purl.obolibrary.org/obo/PATO_0000169	viability
54	http://purl.obolibrary.org/obo/PATO_0000185	balance
55	http://purl.obolibrary.org/obo/PATO_0000186	behavioral quality
56	http://purl.obolibrary.org/obo/PATO_0000188	coordination
57	http://purl.obolibrary.org/obo/PATO_0000189	discrimination
58	http://purl.obolibrary.org/obo/PATO_0000261	maturity
59	http://purl.obolibrary.org/obo/PATO_0000273	fecundity
60	http://purl.obolibrary.org/obo/PATO_0000274	fertility
61	http://purl.obolibrary.org/obo/PATO_0000276	brood size
62	http://purl.obolibrary.org/obo/PATO_0000277	female fertility
63	http://purl.obolibrary.org/obo/PATO_0000279	male fertility
64	http://purl.obolibrary.org/obo/PATO_0000297	arrested
65	http://purl.obolibrary.org/obo/PATO_0000299	mobile
66	http://purl.obolibrary.org/obo/PATO_0000300	immobile
67	http://purl.obolibrary.org/obo/PATO_0000303	increased speed
68	http://purl.obolibrary.org/obo/PATO_0000304	decreased speed
69	http://purl.obolibrary.org/obo/PATO_0000308	old
70	http://purl.obolibrary.org/obo/PATO_0000309	young
