id	iri	label
0	http://purl.obolibrary.org/obo/BFO_0000051	has part
1	http://purl.obolibrary.org/obo/RO_0002131	overlaps
2	http://purl.obolibrary.org/obo/RO_0002323	mereotopologically related to
3	http://purl.obolibrary.org/obo/RO_0002502	depends on
4	http://purl.obolibrary.org/obo/RO_0002503	towards
5	http://purl.obolibrary.org/obo/RO_0002610	correlated with
6	http://purl.obolibrary.org/obo/RO_0015006	different in magnitude relative to
7	http://purl.obolibrary.org/obo/RO_0015007	increased in magnitude relative to
8	http://purl.obolibrary.org/obo/RO_0015008	decreased in magnitude relative to
9	http://purl.obolibrary.org/obo/RO_0015010	has relative magnitude
10	http://purl.obolibrary.org/obo/RO_0015011	has cross section
11	http://purl.obolibrary.org/obo/RO_0015012	reciprocal of
