id	iri	label
0	http://purl.obolibrary.org/obo/UBERON_0000001	gross anatomical part
1	http://purl.obolibrary.org/obo/UBERON_0000002	uterine cervix
2	http://purl.obolibrary.org/obo/UBERON_0000003	naris
3	http://purl.obolibrary.org/obo/UBERON_0000004	nose
4	http://purl.obolibrary.org/obo/UBERON_0000005	chemosensory organ
5	http://purl.obolibrary.org/obo/UBERON_0000006	islet of Langerhans
6	http://purl.obolibrary.org/obo/UBERON_0000007	pituitary gland
7	http://purl.obolibrary.org/obo/UBERON_0000009	submucosa
8	http://purl.obolibrary.org/obo/UBERON_0000010	peripheral nervous system
9	http://purl.obolibrary.org/obo/UBERON_0000011	parasympathetic nervous system
10	http://purl.obolibrary.org/obo/UBERON_0000012	somatic nervous system
11	http://purl.obolibrary.org/obo/UBERON_0000013	sympathetic nervous system
12	http://purl.obolibrary.org/obo/UBERON_0000014	zone of skin
13	http://purl.obolibrary.org/obo/UBERON_0000015	non-material anatomical boundary
14	http://purl.obolibrary.org/obo/UBERON_0000016	endocrine pancreas
15	http://purl.obolibrary.org/obo/UBERON_0000017	exocrine pancreas
16	http://purl.obolibrary.org/obo/UBERON_0000018	compound eye
17	http://purl.obolibrary.org/obo/UBERON_0000019	camera-type eye
18	http://purl.obolibrary.org/obo/UBERON_0000020	sense organ
19	http://purl.obolibrary.org/obo/UBERON_0000021	cutaneous appendage
20	http://purl.obolibrary.org/obo/UBERON_0000022	feather
21	http://purl.obolibrary.org/obo/UBERON_0000023	wing
22	http://purl.obolibrary.org/obo/UBERON_0000024	forelimb wing
23	http://purl.obolibrary.org/obo/UBERON_0000025	tube
24	http://purl.obolibrary.org/obo/UBERON_0000026	appendage
25	http://purl.obolibrary.org/obo/UBERON_0000029	lymph node
26	http://purl.obolibrary.org/obo/UBERON_0000030	lamina propria
27	http://purl.obolibrary.org/obo/UBERON_0000031	lamina propria of trachea
28	http://purl.obolibrary.org/obo/UBERON_0000033	head
29	http://purl.obolibrary.org/obo/UBERON_0000035	primary ovarian follicle
30	http://purl.obolibrary.org/obo/UBERON_0000036	secondary ovarian follicle
31	http://purl.obolibrary.org/obo/UBERON_0000037	tertiary ovarian follicle
32	http://purl.obolibrary.org/obo/UBERON_0000038	follicular fluid
33	http://purl.obolibrary.org/obo/UBERON_0000039	follicular antrum
34	http://purl.obolibrary.org/obo/UBERON_0000040	Leydig's organ
35	http://purl.obolibrary.org/obo/UBERON_0000041	odontode scale
36	http://purl.obolibrary.org/obo/UBERON_0000042	serous membrane
37	http://purl.obolibrary.org/obo/UBERON_0000043	tendon
38	http://purl.obolibrary.org/obo/UBERON_0000044	dorsal root ganglion
39	http://purl.obolibrary.org/obo/UBERON_0000045	ganglion
40	http://purl.obolibrary.org/obo/UBERON_0000046	stemma
41	http://purl.obolibrary.org/obo/UBERON_0000047	simple eye
42	http://purl.obolibrary.org/obo/UBERON_0000048	pinhole eye
43	http://purl.obolibrary.org/obo/UBERON_0000049	spherical lensed eye
44	http://purl.obolibrary.org/obo/UBERON_0000050	simple eye with multiple lenses
45	http://purl.obolibrary.org/obo/UBERON_0000051	fornix of vagina
46	http://purl.obolibrary.org/obo/UBERON_0000052	fornix of brain
47	http://purl.obolibrary.org/obo/UBERON_0000053	macula lutea
48	http://purl.obolibrary.org/obo/UBERON_0000054	macula
49	http://purl.obolibrary.org/obo/UBERON_0000055	vessel
50	http://purl.obolibrary.org/obo/UBERON_0000056	ureter
51	http://purl.obolibrary.org/obo/UBERON_0000057	urethra
52	http://purl.obolibrary.org/obo/UBERON_0000058	duct
53	http://purl.obolibrary.org/obo/UBERON_0000059	large intestine
54	http://purl.obolibrary.org/obo/UBERON_0000060	anatomical wall
55	http://purl.obolibrary.org/obo/UBERON_0000061	anatomical structure
56	http://purl.obolibrary.org/obo/UBERON_0000062	organ
57	http://purl.obolibrary.org/obo/UBERON_0000063	organ subunit
58	http://purl.obolibrary.org/obo/UBERON_0000064	organ part
59	http://purl.obolibrary.org/obo/UBERON_0000065	respiratory tract
60	http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage
