id	ontology	iri	label
0	mouse	http://mouse.owl#MA_0000001	mouse anatomy
1	mouse	http://mouse.owl#MA_0000002	spinal cord grey matter
2	mouse	http://mouse.owl#MA_0000003	organ system
3	mouse	http://mouse.owl#MA_0000004	trunk
4	mouse	http://mouse.owl#MA_0000005	body cavity/lining
5	mouse	http://mouse.owl#MA_0000006	head/neck
6	mouse	http://mouse.owl#MA_0000007	limb
7	mouse	http://mouse.owl#MA_0000008	tail
8	mouse	http://mouse.owl#MA_0000009	adipose tissue
9	mouse	http://mouse.owl#MA_0000010	cardiovascular system
10	mouse	http://mouse.owl#MA_0000011	connective tissue
11	mouse	http://mouse.owl#MA_0000012	endocrine system
12	mouse	http://mouse.owl#MA_0000013	hemolymphoid system
13	mouse	http://mouse.owl#MA_0000014	integumental system
14	mouse	http://mouse.owl#MA_0000015	muscle
15	mouse	http://mouse.owl#MA_0000016	nervous system
16	mouse	http://mouse.owl#MA_0000017	sensory organ
17	mouse	http://mouse.owl#MA_0000018	skeletal system
18	mouse	http://mouse.owl#MA_0000019	visceral organ system
19	mouse	http://mouse.owl#MA_0000020	back
20	mouse	http://mouse.owl#MA_0000021	abdomen/pelvis/perineum
21	mouse	http://mouse.owl#MA_0000022	thorax
22	mouse	http://mouse.owl#MA_0000023	head
23	mouse	http://mouse.owl#MA_0000024	neck
24	mouse	http://mouse.owl#MA_0000025	forelimb
25	mouse	http://mouse.owl#MA_0000026	hindlimb
26	mouse	http://mouse.owl#MA_0000027	lower back
27	mouse	http://mouse.owl#MA_0000028	upper back
28	mouse	http://mouse.owl#MA_0000029	abdomen
29	mouse	http://mouse.owl#MA_0000030	pelvis
30	mouse	http://mouse.owl#MA_0000031	chest
31	mouse	http://mouse.owl#MA_0000032	thoracic cavity
32	mouse	http://mouse.owl#MA_0000033	arm
33	mouse	http://mouse.owl#MA_0000034	lower arm
34	mouse	http://mouse.owl#MA_0000035	upper arm
35	mouse	http://mouse.owl#MA_0000036	elbow
36	mouse	http://mouse.owl#MA_0000037	hand
37	mouse	http://mouse.owl#MA_0000038	shoulder
38	mouse	http://mouse.owl#MA_0000039	wrist
39	mouse	http://mouse.owl#MA_0000040	carpus
40	mouse	http://mouse.owl#MA_0000041	hand digit
41	mouse	http://mouse.owl#MA_0000042	metacarpus
42	mouse	http://mouse.owl#MA_0000043	ankle
43	mouse	http://mouse.owl#MA_0000044	foot
44	mouse	http://mouse.owl#MA_0000045	hip
45	mouse	http://mouse.owl#MA_0000046	knee
46	mouse	http://mouse.owl#MA_0000047	leg
47	mouse	http://mouse.owl#MA_0000048	foot digit
48	mouse	http://mouse.owl#MA_0000049	metatarsus
49	mouse	http://mouse.owl#MA_0000050	tarsus
50	mouse	http://mouse.owl#MA_0000051	lower leg
51	mouse	http://mouse.owl#MA_0000052	upper leg
52	mouse	http://mouse.owl#MA_0000053	pericardial cavity
53	mouse	http://mouse.owl#MA_0000054	peritoneal cavity
54	mouse	http://mouse.owl#MA_0000055	pleural cavity
55	mouse	http://mouse.owl#MA_0000056	fat
56	mouse	http://mouse.owl#MA_0000057	brown fat
57	mouse	http://mouse.owl#MA_0000058	white fat
58	mouse	http://mouse.owl#MA_0000059	blood
59	mouse	http://mouse.owl#MA_0000060	blood vessel
60	mouse	http://mouse.owl#MA_0000061	arterial blood vessel
61	mouse	http://mouse.owl#MA_0000062	aorta
62	mouse	http://mouse.owl#MA_0000063	arteriole
63	mouse	http://mouse.owl#MA_0000064	artery
64	mouse	http://mouse.owl#MA_0000065	capillary
65	mouse	http://mouse.owl#MA_0000066	venous blood vessel
66	mouse	http://mouse.owl#MA_0000067	vein
67	mouse	http://mouse.owl#MA_0000068	vena cava
68	mouse	http://mouse.owl#MA_0000069	venous plexus
69	mouse	http://mouse.owl#MA_0000070	venous sinus
70	mouse	http://mouse.owl#MA_0000071	venule
71	mouse	http://mouse.owl#MA_0000072	heart
72	mouse	http://mouse.owl#MA_0000073	heart atrium
73	mouse	http://mouse.owl#MA_0000074	heart left atrium
74	mouse	http://mouse.owl#MA_0000075	heart right atrium
75	mouse	http://mouse.owl#MA_0000076	heart endocardium
76	mouse	http://mouse.owl#MA_0000077	atrium endocardium
77	mouse	http://mouse.owl#MA_0000078	endocardial cushion
78	mouse	http://mouse.owl#MA_0000079	ventricle endocardium
79	mouse	http://mouse.owl#MA_0000080	heart myocardium
80	mouse	http://mouse.owl#MA_0000081	atrium myocardium
81	mouse	http://mouse.owl#MA_0000082	ventricle myocardium
82	mouse	http://mouse.owl#MA_0000083	heart septum
83	mouse	http://mouse.owl#MA_0000084	atrial septum
84	mouse	http://mouse.owl#MA_0000085	ventricular septum
85	mouse	http://mouse.owl#MA_0000086	heart valve
86	mouse	http://mouse.owl#MA_0000087	aortic valve
87	mouse	http://mouse.owl#MA_0000088	mitral valve
88	mouse	http://mouse.owl#MA_0000089	pulmonary valve
89	mouse	http://mouse.owl#MA_0000090	tricuspid valve
90	mouse	http://mouse.owl#MA_0000091	heart ventricle
91	mouse	http://mouse.owl#MA_0000092	heart left ventricle
92	mouse	http://mouse.owl#MA_0000093	heart right ventricle
93	mouse	http://mouse.owl#MA_0000094	impulse conducting system
94	mouse	http://mouse.owl#MA_0000095	atrioventricular node
95	mouse	http://mouse.owl#MA_0000096	purkinje fiber
96	mouse	http://mouse.owl#MA_0000097	sinoatrial node
97	mouse	http://mouse.owl#MA_0000098	mesocardium
98	mouse	http://mouse.owl#MA_0000099	pericardium
99	mouse	http://mouse.owl#MA_0000100	outflow tract
100	mouse	http://mouse.owl#MA_0000101	outflow tract aortic component
101	mouse	http://mouse.owl#MA_0000102	outflow tract pulmonary component
102	mouse	http://mouse.owl#MA_0000103	truncus arteriosus
103	mouse	http://mouse.owl#MA_0000104	cartilage
104	mouse	http://mouse.owl#MA_0000105	cellular cartilage
105	mouse	http://mouse.owl#MA_0000106	costal cartilage
106	mouse	http://mouse.owl#MA_0000107	elastic cartilage
107	mouse	http://mouse.owl#MA_0000108	fibrocartilage
108	mouse	http://mouse.owl#MA_0000109	hyaline cartilage
109	mouse	http://mouse.owl#MA_0000110	intervertebral disc
110	mouse	http://mouse.owl#MA_0000111	annulus fibrosus
111	mouse	http://mouse.owl#MA_0000112	nucleus pulposus
112	mouse	http://mouse.owl#MA_0000113	ligament
113	mouse	http://mouse.owl#MA_0000114	synovium
114	mouse	http://mouse.owl#MA_0000115	tendon
115	mouse	http://mouse.owl#MA_0000116	adrenal gland
116	mouse	http://mouse.owl#MA_0000117	adrenal gland capsule
117	mouse	http://mouse.owl#MA_0000118	adrenal gland cortex
118	mouse	http://mouse.owl#MA_0000119	adrenal gland medulla
119	mouse	http://mouse.owl#MA_0000120	pancreas
120	mouse	http://mouse.owl#MA_0000121	pancreas body
121	mouse	http://mouse.owl#MA_0000122	pancreas head
122	mouse	http://mouse.owl#MA_0000123	pancreas tail
123	mouse	http://mouse.owl#MA_0000124	pancreatic duct
124	mouse	http://mouse.owl#MA_0000125	dorsal pancreatic duct
125	mouse	http://mouse.owl#MA_0000126	ventral pancreatic duct
126	mouse	http://mouse.owl#MA_0000127	pancreatic islet
127	mouse	http://mouse.owl#MA_0000128	parathyroid gland
128	mouse	http://mouse.owl#MA_0000129	thyroid gland
129	mouse	http://mouse.owl#MA_0000130	thyroglossal duct
130	mouse	http://mouse.owl#MA_0000131	thyroid gland lobe
131	mouse	http://mouse.owl#MA_0000132	thyroid gland medulla
132	mouse	http://mouse.owl#MA_0000133	cerebral hemisphere
133	mouse	http://mouse.owl#MA_0000134	bone marrow
134	mouse	http://mouse.owl#MA_0000135	bronchus associated lymphoid tissue
135	mouse	http://mouse.owl#MA_0000136	gut associated lymphoid tissue
136	mouse	http://mouse.owl#MA_0000137	peyer's patch
137	mouse	http://mouse.owl#MA_0000138	lymphatic vessel
138	mouse	http://mouse.owl#MA_0000139	lymph node
139	mouse	http://mouse.owl#MA_0000140	mucosa associated lymphoid tissue
140	mouse	http://mouse.owl#MA_0000141	spleen
141	mouse	http://mouse.owl#MA_0000142	thymus
142	mouse	http://mouse.owl#MA_0000143	tonsil
143	mouse	http://mouse.owl#MA_0000144	integumental system gland
144	mouse	http://mouse.owl#MA_0000145	mammary gland
145	mouse	http://mouse.owl#MA_0000146	skin gland
146	mouse	http://mouse.owl#MA_0000147	skin apocrine gland
147	mouse	http://mouse.owl#MA_0000148	skin mucous gland
148	mouse	http://mouse.owl#MA_0000149	skin sebaceous gland
149	mouse	http://mouse.owl#MA_0000150	sweat gland
150	mouse	http://mouse.owl#MA_0000151	skin
151	mouse	http://mouse.owl#MA_0000152	dermis
152	mouse	http://mouse.owl#MA_0000153	epidermis
153	mouse	http://mouse.owl#MA_0000154	hair follicle
154	mouse	http://mouse.owl#MA_0000155	coat hair
155	mouse	http://mouse.owl#MA_0000156	hair cortex
156	mouse	http://mouse.owl#MA_0000157	hair cuticle
157	mouse	http://mouse.owl#MA_0000158	hair medulla
158	mouse	http://mouse.owl#MA_0000159	hair shaft
159	mouse	http://mouse.owl#MA_0000160	coat hair follicle
160	mouse	http://mouse.owl#MA_0000161	coat hair bulb
161	mouse	http://mouse.owl#MA_0000162	hair root sheath
162	mouse	http://mouse.owl#MA_0000163	vibrissa
163	mouse	http://mouse.owl#MA_0000164	myocardium
164	mouse	http://mouse.owl#MA_0000165	skeletal muscle
165	mouse	http://mouse.owl#MA_0000166	smooth muscle
166	mouse	http://mouse.owl#MA_0000167	central nervous system
167	mouse	http://mouse.owl#MA_0000168	brain
168	mouse	http://mouse.owl#MA_0000169	brainstem
169	mouse	http://mouse.owl#MA_0000170	forebrain
170	mouse	http://mouse.owl#MA_0000171	diencephalon
171	mouse	http://mouse.owl#MA_0000172	epithalamus
172	mouse	http://mouse.owl#MA_0000173	hypothalamus
173	mouse	http://mouse.owl#MA_0000174	mammillary body
174	mouse	http://mouse.owl#MA_0000175	pineal gland
175	mouse	http://mouse.owl#MA_0000176	pituitary gland
176	mouse	http://mouse.owl#MA_0000177	adenohypophysis
177	mouse	http://mouse.owl#MA_0000178	neurohypophysis
178	mouse	http://mouse.owl#MA_0000179	thalamus
179	mouse	http://mouse.owl#MA_0000180	dorsal thalamus
180	mouse	http://mouse.owl#MA_0000181	ventral thalamus
181	mouse	http://mouse.owl#MA_0000182	third ventricle
182	mouse	http://mouse.owl#MA_0000183	telencephalon
183	mouse	http://mouse.owl#MA_0000184	basal ganglia
184	mouse	http://mouse.owl#MA_0000185	cerebral cortex
185	mouse	http://mouse.owl#MA_0000186	neocortex layer
186	mouse	http://mouse.owl#MA_0000187	neocortex region
187	mouse	http://mouse.owl#MA_0000188	corpus callosum
188	mouse	http://mouse.owl#MA_0000189	hippocampal formation
189	mouse	http://mouse.owl#MA_0000190	dentate gyrus
190	mouse	http://mouse.owl#MA_0000191	hippocampus
191	mouse	http://mouse.owl#MA_0000192	lateral ventricle
192	mouse	http://mouse.owl#MA_0000193	olfactory cortex
193	mouse	http://mouse.owl#MA_0000194	olfactory bulb
194	mouse	http://mouse.owl#MA_0000195	hindbrain
195	mouse	http://mouse.owl#MA_0000196	fourth ventricle
196	mouse	http://mouse.owl#MA_0000197	metencephalon
197	mouse	http://mouse.owl#MA_0000198	cerebellum
198	mouse	http://mouse.owl#MA_0000199	cerebellar cortex
199	mouse	http://mouse.owl#MA_0000200	cerebellar hemisphere
200	mouse	http://mouse.owl#MA_0000201	cerebellar layer
201	mouse	http://mouse.owl#MA_0000202	cerebellar vermis
202	mouse	http://mouse.owl#MA_0000203	deep cerebellar nucleus
203	mouse	http://mouse.owl#MA_0000204	pons
204	mouse	http://mouse.owl#MA_0000205	myelencephalon
205	mouse	http://mouse.owl#MA_0000206	medulla oblongata
206	mouse	http://mouse.owl#MA_0000207	midbrain
207	mouse	http://mouse.owl#MA_0000208	cerebral aqueduct
208	mouse	http://mouse.owl#MA_0000209	midbrain periaqueductal grey
209	mouse	http://mouse.owl#MA_0000210	substantia nigra
210	mouse	http://mouse.owl#MA_0000211	tectum
211	mouse	http://mouse.owl#MA_0000212	tegmentum
212	mouse	http://mouse.owl#MA_0000213	cranial ganglion/nerve
213	mouse	http://mouse.owl#MA_0000214	cranial ganglion
214	mouse	http://mouse.owl#MA_0000215	cranial nerve
215	mouse	http://mouse.owl#MA_0000216	spinal cord
216	mouse	http://mouse.owl#MA_0000217	nerve
217	mouse	http://mouse.owl#MA_0000218	peripheral nervous system
218	mouse	http://mouse.owl#MA_0000219	autonomic nervous system
219	mouse	http://mouse.owl#MA_0000220	autonomic ganglion
220	mouse	http://mouse.owl#MA_0000221	autonomic nerve plexus
221	mouse	http://mouse.owl#MA_0000222	enteric nervous system
222	mouse	http://mouse.owl#MA_0000223	parasympathetic nervous system
223	mouse	http://mouse.owl#MA_0000224	parasympathetic nerve
224	mouse	http://mouse.owl#MA_0000225	sympathetic nervous system
225	mouse	http://mouse.owl#MA_0000226	sympathetic ganglion
226	mouse	http://mouse.owl#MA_0000227	sympathetic nerve trunk
227	mouse	http://mouse.owl#MA_0000228	peripheral nerve
228	mouse	http://mouse.owl#MA_0000229	peripheral nerve trunk
229	mouse	http://mouse.owl#MA_0000230	spinal ganglion/nerve
230	mouse	http://mouse.owl#MA_0000231	spinal ganglion
231	mouse	http://mouse.owl#MA_0000232	dorsal root ganglion
232	mouse	http://mouse.owl#MA_0000233	spinal nerve
233	mouse	http://mouse.owl#MA_0000234	segmental spinal nerve
234	mouse	http://mouse.owl#MA_0000235	spinal nerve plexus
235	mouse	http://mouse.owl#MA_0000236	ear
236	mouse	http://mouse.owl#MA_0000237	inner ear
237	mouse	http://mouse.owl#MA_0000238	bony labyrinth
238	mouse	http://mouse.owl#MA_0000239	osseus cochlea
239	mouse	http://mouse.owl#MA_0000240	cochlea
240	mouse	http://mouse.owl#MA_0000241	endolymphatic duct/sac
241	mouse	http://mouse.owl#MA_0000242	membranous labyrinth
242	mouse	http://mouse.owl#MA_0000243	cochlear duct
243	mouse	http://mouse.owl#MA_0000244	ductus reuniens
244	mouse	http://mouse.owl#MA_0000245	vestibular labyrinth
245	mouse	http://mouse.owl#MA_0000246	saccule
246	mouse	http://mouse.owl#MA_0000247	utricle
247	mouse	http://mouse.owl#MA_0000248	perilymphatic channel
248	mouse	http://mouse.owl#MA_0000249	semicircular canal
249	mouse	http://mouse.owl#MA_0000250	osseus semicircular canal
250	mouse	http://mouse.owl#MA_0000251	semicircular duct
251	mouse	http://mouse.owl#MA_0000252	otic capsule
252	mouse	http://mouse.owl#MA_0000253	middle ear
253	mouse	http://mouse.owl#MA_0000254	auditory bone
254	mouse	http://mouse.owl#MA_0000255	auditory tube
255	mouse	http://mouse.owl#MA_0000256	tympanic cavity muscle
256	mouse	http://mouse.owl#MA_0000257	tympanic membrane
257	mouse	http://mouse.owl#MA_0000258	outer ear
258	mouse	http://mouse.owl#MA_0000259	auricle
259	mouse	http://mouse.owl#MA_0000260	external acoustic meatus
260	mouse	http://mouse.owl#MA_0000261	eye
261	mouse	http://mouse.owl#MA_0000262	eye anterior chamber
262	mouse	http://mouse.owl#MA_0000263	choroid
263	mouse	http://mouse.owl#MA_0000264	ciliary body
264	mouse	http://mouse.owl#MA_0000265	conjunctiva
265	mouse	http://mouse.owl#MA_0000266	cornea
266	mouse	http://mouse.owl#MA_0000267	eye gland
267	mouse	http://mouse.owl#MA_0000268	eyelid
268	mouse	http://mouse.owl#MA_0000269	eyelid muscle
269	mouse	http://mouse.owl#MA_0000270	eyelid tarsus
270	mouse	http://mouse.owl#MA_0000271	eye muscle
271	mouse	http://mouse.owl#MA_0000272	hyaloid cavity
272	mouse	http://mouse.owl#MA_0000273	iris
273	mouse	http://mouse.owl#MA_0000274	lacrimal apparatus
274	mouse	http://mouse.owl#MA_0000275	lens
275	mouse	http://mouse.owl#MA_0000276	retina
276	mouse	http://mouse.owl#MA_0000277	neural retinal epithelium
277	mouse	http://mouse.owl#MA_0000278	optic disc
278	mouse	http://mouse.owl#MA_0000279	pigmented retinal epithelium
279	mouse	http://mouse.owl#MA_0000280	sclera
280	mouse	http://mouse.owl#MA_0000281	nose
281	mouse	http://mouse.owl#MA_0000282	naris
282	mouse	http://mouse.owl#MA_0000283	nasal capsule
283	mouse	http://mouse.owl#MA_0000284	nasal cavity
284	mouse	http://mouse.owl#MA_0000285	nasal septum
285	mouse	http://mouse.owl#MA_0000286	nasal turbinate
286	mouse	http://mouse.owl#MA_0000287	olfactory gland
287	mouse	http://mouse.owl#MA_0000288	olfactory receptor nerve
288	mouse	http://mouse.owl#MA_0000289	vomeronasal organ
289	mouse	http://mouse.owl#MA_0000290	appendicular skeleton
290	mouse	http://mouse.owl#MA_0000291	girdle bone
291	mouse	http://mouse.owl#MA_0000292	pectoral girdle bone
