id	iri	label
0	http://purl.obolibrary.org/obo/GO_0000278	mitotic cell cycle
1	http://purl.obolibrary.org/obo/GO_0000280	nuclear division
2	http://purl.obolibrary.org/obo/GO_0000281	mitotic cytokinesis
3	http://purl.obolibrary.org/obo/GO_0000282	cellular bud site selection
4	http://purl.obolibrary.org/obo/GO_0000910	cytokinesis
5	http://purl.obolibrary.org/obo/GO_0001501	skeletal system development
6	http://purl.obolibrary.org/obo/GO_0001708	cell fate specification
7	http://purl.obolibrary.org/obo/GO_0001906	cell killing
8	http://purl.obolibrary.org/obo/GO_0002376	immune system process
9	http://purl.obolibrary.org/obo/GO_0003006	developmental process involved in reproduction
10	http://purl.obolibrary.org/obo/GO_0003416	endochondral bone growth
11	http://purl.obolibrary.org/obo/GO_0003417	growth plate cartilage development
12	http://purl.obolibrary.org/obo/GO_0003419	growth plate cartilage chondrocyte proliferation
13	http://purl.obolibrary.org/obo/GO_0003423	growth plate cartilage chondrocyte division
14	http://purl.obolibrary.org/obo/GO_0003674	molecular_function
15	http://purl.obolibrary.org/obo/GO_0005575	cellular_component
16	http://purl.obolibrary.org/obo/GO_0005576	extracellular region
17	http://purl.obolibrary.org/obo/GO_0005622	intracellular anatomical structure
18	http://purl.obolibrary.org/obo/GO_0005634	nucleus
19	http://purl.obolibrary.org/obo/GO_0005737	cytoplasm
20	http://purl.obolibrary.org/obo/GO_0005829	cytosol
21	http://purl.obolibrary.org/obo/GO_0006810	transport
22	http://purl.obolibrary.org/obo/GO_0006996	organelle organization
23	http://purl.obolibrary.org/obo/GO_0007049	cell cycle
24	http://purl.obolibrary.org/obo/GO_0007114	cell budding
25	http://purl.obolibrary.org/obo/GO_0007120	axial cellular bud site selection
26	http://purl.obolibrary.org/obo/GO_0007121	bipolar cellular bud site selection
27	http://purl.obolibrary.org/obo/GO_0007154	cell communication
28	http://purl.obolibrary.org/obo/GO_0007163	establishment or maintenance of cell polarity
29	http://purl.obolibrary.org/obo/GO_0007267	cell-cell signaling
30	http://purl.obolibrary.org/obo/GO_0007275	multicellular organism development
31	http://purl.obolibrary.org/obo/GO_0007276	gamete generation
32	http://purl.obolibrary.org/obo/GO_0007281	germ cell development
33	http://purl.obolibrary.org/obo/GO_0007282	cystoblast division
34	http://purl.obolibrary.org/obo/GO_0007283	spermatogenesis
35	http://purl.obolibrary.org/obo/GO_0007284	spermatogonial cell division
36	http://purl.obolibrary.org/obo/GO_0007292	female gamete generation
37	http://purl.obolibrary.org/obo/GO_0007293	germarium-derived egg chamber formation
38	http://purl.obolibrary.org/obo/GO_0007349	cellularization
39	http://purl.obolibrary.org/obo/GO_0007399	nervous system development
40	http://purl.obolibrary.org/obo/GO_0007405	neuroblast proliferation
41	http://purl.obolibrary.org/obo/GO_0007417	central nervous system development
42	http://purl.obolibrary.org/obo/GO_0007420	brain development
43	http://purl.obolibrary.org/obo/GO_0007423	sensory organ development
44	http://purl.obolibrary.org/obo/GO_0007517	muscle organ development
45	http://purl.obolibrary.org/obo/GO_0007519	skeletal muscle tissue development
46	http://purl.obolibrary.org/obo/GO_0007610	behavior
47	http://purl.obolibrary.org/obo/GO_0008150	biological_process
48	http://purl.obolibrary.org/obo/GO_0008152	metabolic process
49	http://purl.obolibrary.org/obo/GO_0008283	cell population proliferation
50	http://purl.obolibrary.org/obo/GO_0008356	asymmetric cell division
51	http://purl.obolibrary.org/obo/GO_0009653	anatomical structure morphogenesis
52	http://purl.obolibrary.org/obo/GO_0009790	embryo development
53	http://purl.obolibrary.org/obo/GO_0009791	post-embryonic development
54	http://purl.obolibrary.org/obo/GO_0009792	embryo development ending in birth or egg hatching
55	http://purl.obolibrary.org/obo/GO_0009793	embryo development ending in seed dormancy
56	http://purl.obolibrary.org/obo/GO_0009887	animal organ morphogenesis
57	http://purl.obolibrary.org/obo/GO_0009888	tissue development
58	http://purl.obolibrary.org/obo/GO_0009914	hormone transport
59	http://purl.obolibrary.org/obo/GO_0009987	cellular process
60	http://purl.obolibrary.org/obo/GO_0010069	zygote asymmetric cytokinesis in embryo sac
61	http://purl.obolibrary.org/obo/GO_0010070	zygote asymmetric cell division
62	http://purl.obolibrary.org/obo/GO_0010154	fruit development
63	http://purl.obolibrary.org/obo/GO_0010481	epidermal cell division
64	http://purl.obolibrary.org/obo/GO_0010817	regulation of hormone levels
65	http://purl.obolibrary.org/obo/GO_0014016	neuroblast differentiation
66	http://purl.obolibrary.org/obo/GO_0014017	neuroblast fate commitment
67	http://purl.obolibrary.org/obo/GO_0014706	striated muscle tissue development
68	http://purl.obolibrary.org/obo/GO_0014833	skeletal muscle satellite stem cell asymmetric division
69	http://purl.obolibrary.org/obo/GO_0014872	myoblast division
70	http://purl.obolibrary.org/obo/GO_0016020	membrane
71	http://purl.obolibrary.org/obo/GO_0016043	cellular component organization
72	http://purl.obolibrary.org/obo/GO_0017145	stem cell division
73	http://purl.obolibrary.org/obo/GO_0019953	sexual reproduction
74	http://purl.obolibrary.org/obo/GO_0019954	asexual reproduction
75	http://purl.obolibrary.org/obo/GO_0020014	schizogony
76	http://purl.obolibrary.org/obo/GO_0021537	telencephalon development
77	http://purl.obolibrary.org/obo/GO_0021543	pallium development
78	http://purl.obolibrary.org/obo/GO_0021544	subpallium development
79	http://purl.obolibrary.org/obo/GO_0021700	developmental maturation
80	http://purl.obolibrary.org/obo/GO_0021846	cell proliferation in forebrain
81	http://purl.obolibrary.org/obo/GO_0021847	ventricular zone neuroblast division
82	http://purl.obolibrary.org/obo/GO_0021848	neuroblast division in subpallium
83	http://purl.obolibrary.org/obo/GO_0021849	neuroblast division in subventricular zone
84	http://purl.obolibrary.org/obo/GO_0021850	subpallium glioblast cell division
85	http://purl.obolibrary.org/obo/GO_0021851	neuroblast division in dorsal lateral ganglionic eminence
86	http://purl.obolibrary.org/obo/GO_0021869	forebrain ventricular zone progenitor cell division
87	http://purl.obolibrary.org/obo/GO_0021872	forebrain generation of neurons
88	http://purl.obolibrary.org/obo/GO_0021873	forebrain neuroblast division
89	http://purl.obolibrary.org/obo/GO_0022008	neurogenesis
90	http://purl.obolibrary.org/obo/GO_0022012	subpallium cell proliferation in forebrain
