id	iri	label
0	http://purl.obolibrary.org/obo/GO_0000001	mitochondrion inheritance
1	http://purl.obolibrary.org/obo/GO_0000006	high-affinity zinc transmembrane transporter activity
2	http://purl.obolibrary.org/obo/GO_0000007	low-affinity zinc ion transmembrane transporter activity
3	http://purl.obolibrary.org/obo/GO_0000009	alpha-1,6-mannosyltransferase activity
4	http://purl.obolibrary.org/obo/GO_0000010	heptaprenyl diphosphate synthase activity
5	http://purl.obolibrary.org/obo/GO_0000011	vacuole inheritance
6	http://purl.obolibrary.org/obo/GO_0000012	single strand break repair
7	http://purl.obolibrary.org/obo/GO_0000014	single-stranded DNA endonuclease activity
8	http://purl.obolibrary.org/obo/GO_0000015	phosphopyruvate hydratase complex
9	http://purl.obolibrary.org/obo/GO_0000016	lactase activity
10	http://purl.obolibrary.org/obo/GO_0000017	alpha-glucoside transport
11	http://purl.obolibrary.org/obo/GO_0000018	regulation of DNA recombination
12	http://purl.obolibrary.org/obo/GO_0000019	regulation of mitotic recombination
13	http://purl.obolibrary.org/obo/GO_0000022	mitotic spindle elongation
14	http://purl.obolibrary.org/obo/GO_0000023	maltose metabolic process
15	http://purl.obolibrary.org/obo/GO_0000024	maltose biosynthetic process
16	http://purl.obolibrary.org/obo/GO_0000025	maltose catabolic process
17	http://purl.obolibrary.org/obo/GO_0000026	alpha-1,2-mannosyltransferase activity
18	http://purl.obolibrary.org/obo/GO_0000027	ribosomal large subunit assembly
19	http://purl.obolibrary.org/obo/GO_0000028	ribosomal small subunit assembly
20	http://purl.obolibrary.org/obo/GO_0000030	mannosyltransferase activity
21	http://purl.obolibrary.org/obo/GO_0000031	mannosylphosphate transferase activity
22	http://purl.obolibrary.org/obo/GO_0000032	cell wall mannoprotein biosynthetic process
23	http://purl.obolibrary.org/obo/GO_0000033	alpha-1,3-mannosyltransferase activity
24	http://purl.obolibrary.org/obo/GO_0000034	adenine deaminase activity
25	http://purl.obolibrary.org/obo/GO_0000035	acyl binding
26	http://purl.obolibrary.org/obo/GO_0000036	acyl carrier activity
27	http://purl.obolibrary.org/obo/GO_0000038	very long-chain fatty acid metabolic process
28	http://purl.obolibrary.org/obo/GO_0000041	transition metal ion transport
29	http://purl.obolibrary.org/obo/GO_0000045	autophagosome assembly
30	http://purl.obolibrary.org/obo/GO_0000048	peptidyltransferase activity
31	http://purl.obolibrary.org/obo/GO_0000049	tRNA binding
32	http://purl.obolibrary.org/obo/GO_0000050	urea cycle
33	http://purl.obolibrary.org/obo/GO_0000054	ribosomal subunit export from nucleus
34	http://purl.obolibrary.org/obo/GO_0000055	ribosomal large subunit export from nucleus
35	http://purl.obolibrary.org/obo/GO_0000056	ribosomal small subunit export from nucleus
36	http://purl.obolibrary.org/obo/GO_0000062	fatty-acyl-CoA binding
37	http://purl.obolibrary.org/obo/GO_0000064	L-ornithine transmembrane transporter activity
38	http://purl.obolibrary.org/obo/GO_0000070	mitotic sister chromatid segregation
39	http://purl.obolibrary.org/obo/GO_0000073	initial mitotic spindle pole body separation
40	http://purl.obolibrary.org/obo/GO_0000075	cell cycle checkpoint signaling
41	http://purl.obolibrary.org/obo/GO_0000076	DNA replication checkpoint signaling
42	http://purl.obolibrary.org/obo/GO_0000077	DNA damage checkpoint signaling
43	http://purl.obolibrary.org/obo/GO_0000079	regulation of cyclin-dependent protein serine/threonine kinase activity
44	http://purl.obolibrary.org/obo/GO_0000080	mitotic G1 phase
45	http://purl.obolibrary.org/obo/GO_0000082	G1/S transition of mitotic cell cycle
46	http://purl.obolibrary.org/obo/GO_0000084	mitotic S phase
47	http://purl.obolibrary.org/obo/GO_0000085	mitotic G2 phase
48	http://purl.obolibrary.org/obo/GO_0000086	G2/M transition of mitotic cell cycle
49	http://purl.obolibrary.org/obo/GO_0000087	mitotic M phase
50	http://purl.obolibrary.org/obo/GO_0000088	mitotic prophase
51	http://purl.obolibrary.org/obo/GO_0000089	mitotic metaphase
52	http://purl.obolibrary.org/obo/GO_0000090	mitotic anaphase
53	http://purl.obolibrary.org/obo/GO_0000091	mitotic anaphase A
54	http://purl.obolibrary.org/obo/GO_0000092	mitotic anaphase B
55	http://purl.obolibrary.org/obo/GO_0000093	mitotic telophase
56	http://purl.obolibrary.org/obo/GO_0000095	S-adenosyl-L-methionine transmembrane transporter activity
57	http://purl.obolibrary.org/obo/GO_0000096	sulfur amino acid metabolic process
58	http://purl.obolibrary.org/obo/GO_0000097	sulfur amino acid biosynthetic process
59	http://purl.obolibrary.org/obo/GO_0000098	sulfur amino acid catabolic process
60	http://purl.obolibrary.org/obo/GO_0000099	sulfur amino acid transmembrane transporter activity
61	http://purl.obolibrary.org/obo/GO_0000100	S-methylmethionine transmembrane transporter activity
62	http://purl.obolibrary.org/obo/GO_0000101	sulfur amino acid transport
63	http://purl.obolibrary.org/obo/GO_0000102	L-methionine secondary active transmembrane transporter activity
64	http://purl.obolibrary.org/obo/GO_0000103	sulfate assimilation
65	http://purl.obolibrary.org/obo/GO_0000104	succinate dehydrogenase activity
66	http://purl.obolibrary.org/obo/GO_0000105	L-histidine biosynthetic process
67	http://purl.obolibrary.org/obo/GO_0000107	imidazoleglycerol-phosphate synthase activity
68	http://purl.obolibrary.org/obo/GO_0000109	nucleotide-excision repair complex
69	http://purl.obolibrary.org/obo/GO_0000110	nucleotide-excision repair factor 1 complex
70	http://purl.obolibrary.org/obo/GO_0000111	nucleotide-excision repair factor 2 complex
71	http://purl.obolibrary.org/obo/GO_0000112	nucleotide-excision repair factor 3 complex
72	http://purl.obolibrary.org/obo/GO_0000113	nucleotide-excision repair factor 4 complex
73	http://purl.obolibrary.org/obo/GO_0000118	histone deacetylase complex
74	http://purl.obolibrary.org/obo/GO_0000120	RNA polymerase I transcription regulator complex
75	http://purl.obolibrary.org/obo/GO_0000121	sn-glycerol 1-phosphatase activity
76	http://purl.obolibrary.org/obo/GO_0000122	negative regulation of transcription by RNA polymerase II
77	http://purl.obolibrary.org/obo/GO_0000123	histone acetyltransferase complex
78	http://purl.obolibrary.org/obo/GO_0000124	SAGA complex
79	http://purl.obolibrary.org/obo/GO_0000126	transcription factor TFIIIB complex
