mid	mouse_id	human_id	conf
0	0	937	0.3333
1	1	1509	0.6000
2	1	2580	0.6000
3	1	224	0.5000
4	2	631	1.0000
5	2	705	0.5000
6	2	735	0.5000
7	3	2509	1.0000
8	3	68	0.5000
9	3	2202	0.3333
10	4	720	0.3333
11	4	913	0.3333
12	5	181	1.0000
13	5	1527	0.6667
14	5	2546	0.6667
15	6	192	1.0000
16	6	1208	0.3333
17	7	48	0.5000
18	7	2429	0.5000
19	7	2430	0.5000
20	8	232	1.0000
21	8	1111	0.6667
22	8	2576	0.6667
23	9	412	1.0000
24	9	915	0.6667
25	9	141	0.3333
26	10	137	1.0000
27	10	665	0.6667
28	10	1224	0.6667
29	11	430	1.0000
30	11	712	0.6667
31	11	311	0.5000
32	12	141	0.3333
33	12	176	0.3333
34	12	412	0.3333
35	13	141	0.3333
36	13	176	0.3333
37	13	412	0.3333
38	14	733	1.0000
39	14	197	0.5000
40	14	345	0.5000
41	15	477	1.0000
42	15	200	0.6667
43	15	225	0.6667
44	16	705	0.5000
45	16	361	0.3333
46	16	631	0.3333
47	17	509	1.0000
48	17	2629	0.6667
49	17	141	0.3333
50	18	631	0.6667
51	18	735	0.4000
52	18	705	0.3333
53	19	738	1.0000
54	19	1315	0.3333
55	20	489	0.3333
56	20	2041	0.3333
57	21	520	1.0000
58	21	2672	0.5000
59	21	1804	0.3333
60	22	182	1.0000
61	22	46	0.5000
62	22	181	0.5000
63	23	739	1.0000
64	23	104	0.5000
65	23	181	0.5000
66	26	738	0.5000
67	26	465	0.3333
68	26	2802	0.3333
69	27	738	0.5000
70	27	397	0.3333
71	27	2801	0.3333
72	29	489	1.0000
73	29	604	0.5000
74	30	910	1.0000
75	31	622	1.0000
76	31	913	0.5000
77	31	29	0.3333
78	32	1034	1.0000
79	32	3059	0.5000
80	33	1034	0.5000
81	33	465	0.3333
82	33	2802	0.3333
83	34	1034	0.5000
84	34	397	0.3333
85	34	2801	0.3333
86	35	1336	0.5000
87	35	3060	0.5000
88	36	1524	1.0000
89	36	579	0.5000
90	36	3058	0.5000
91	37	907	1.0000
92	37	2259	0.5000
93	37	2260	0.5000
94	38	2581	0.5000
95	38	3057	0.5000
96	39	1140	0.5000
97	40	3027	0.6667
98	40	3122	0.6667
99	40	3123	0.6667
100	42	976	0.5000
101	42	3056	0.5000
102	43	1443	1.0000
103	43	743	0.5000
104	43	919	0.5000
105	44	1551	0.5000
106	45	1696	0.5000
107	46	1769	1.0000
108	46	3054	0.5000
109	46	3226	0.3333
110	47	3026	0.6667
111	47	3127	0.6667
112	47	3128	0.6667
113	49	2434	0.5000
114	50	1769	0.5000
115	50	465	0.3333
116	50	2802	0.3333
117	51	1769	0.5000
118	51	397	0.3333
119	51	2801	0.3333
120	52	2676	1.0000
121	52	913	0.5000
122	52	184	0.3333
123	53	491	1.0000
124	53	913	0.5000
125	53	184	0.3333
126	54	560	1.0000
127	54	913	0.5000
128	54	184	0.3333
129	55	132	0.3333
130	57	2577	0.3333
131	57	2578	0.3333
132	57	2579	0.3333
133	58	196	1.0000
134	58	405	0.5000
135	58	1091	0.5000
136	59	405	1.0000
137	59	1092	0.6667
138	59	196	0.5000
139	60	405	0.6667
140	60	1092	0.5000
141	60	196	0.3333
142	61	395	1.0000
143	61	941	0.5000
144	61	1043	0.5000
145	62	398	1.0000
146	62	2301	0.5000
147	62	2823	0.5000
148	63	135	1.0000
149	63	402	0.5000
150	63	407	0.5000
151	64	411	1.0000
152	64	1091	0.5000
153	64	1226	0.5000
154	65	405	0.6667
155	65	1092	0.5000
156	65	196	0.3333
157	66	534	1.0000
158	66	440	0.5000
159	66	458	0.5000
160	67	537	1.0000
161	67	535	0.6667
162	67	536	0.6667
163	68	408	0.3333
164	68	420	0.3333
165	68	564	0.3333
166	69	594	1.0000
167	69	2267	0.5000
168	69	52	0.3333
169	70	538	1.0000
170	70	2075	0.5000
171	70	2916	0.5000
172	71	451	1.0000
173	71	709	0.5000
174	71	1021	0.5000
175	72	451	0.5000
176	72	452	0.3333
177	72	586	0.3333
178	73	587	0.6667
179	73	451	0.3333
180	74	586	0.6667
181	74	451	0.3333
182	75	451	0.5000
183	75	695	0.5000
184	75	709	0.3333
185	76	695	0.5000
186	76	452	0.3333
187	76	586	0.3333
188	78	695	0.5000
189	78	122	0.3333
190	78	454	0.3333
191	79	134	0.5000
192	79	451	0.5000
193	79	709	0.3333
194	80	134	0.5000
195	80	452	0.3333
196	80	586	0.3333
197	81	134	0.5000
198	81	122	0.3333
199	81	454	0.3333
200	82	2942	1.0000
201	82	451	0.5000
202	82	709	0.3333
203	83	1621	0.3333
204	83	1673	0.3333
205	83	1922	0.3333
206	84	1621	0.3333
207	84	1673	0.3333
208	84	1922	0.3333
209	85	451	0.5000
210	85	396	0.3333
211	85	453	0.3333
212	86	396	1.0000
213	86	453	0.3333
214	86	475	0.3333
215	87	475	1.0000
216	87	396	0.3333
217	87	453	0.3333
218	88	497	1.0000
219	88	396	0.3333
220	88	453	0.3333
221	89	525	1.0000
222	89	396	0.3333
223	89	453	0.3333
224	90	451	0.5000
225	90	122	0.3333
226	90	454	0.3333
227	91	589	0.6667
228	91	451	0.3333
229	92	588	0.6667
230	92	451	0.3333
231	94	1054	1.0000
232	94	2775	0.5000
233	94	468	0.3333
234	95	2147	1.0000
235	95	1196	0.3333
236	95	1334	0.3333
237	96	2266	1.0000
238	96	2775	0.5000
239	96	468	0.3333
240	98	696	1.0000
241	98	1023	0.5000
242	98	1074	0.5000
243	99	404	0.3333
244	99	1957	0.3333
245	99	1965	0.3333
246	103	136	1.0000
247	103	58	0.5000
248	103	1037	0.5000
249	104	136	0.5000
250	104	58	0.3333
251	104	1037	0.3333
252	105	1244	1.0000
253	105	136	0.5000
254	105	58	0.3333
255	106	1333	1.0000
256	106	136	0.5000
257	106	58	0.3333
258	107	1424	1.0000
259	108	1555	1.0000
260	108	136	0.5000
261	108	58	0.3333
262	109	2944	1.0000
263	109	482	0.3333
264	109	1967	0.3333
265	111	212	0.3333
266	111	215	0.3333
267	111	527	0.3333
268	112	724	1.0000
269	112	90	0.5000
