gen	label	pct_certain	total_expr	certain_expr	uncertain_expr	call_sites	direct_calls	guarded_calls	binary_kb	fixed_point_md5	source_lines	notes
0	literals	26	60496	15733	44763	-	-	-	711	aefc7065	16365	patient_zero
1	+vars+binops	50	60496	30248	30248	-	-	-	718	a2032662	16365
2	+fn_calls	59	60496	35693	24803	-	-	-	720	b6c0d61a	16365	fixed_point_gen2==gen3
3	+let_propagation	70	60496	42347	18149	-	-	-	724	244d18b9	16365
4	+fn_parameters	77	60496	46582	13914	-	-	-	727	e1c63fa7	16365
5	+as_casts+types	83	60496	50212	10284	-	-	-	730	8cdd5ff5	16365
6	+keywords+gates	90	100324	90846	9478	8051	7372	679	734	65c6fba6	16409	gates_live_1358b_overhead
7	+decl_positions	92	101446	93331	8115	8056	7382	674	736	-	16409	gen8_commit_08f6b4b3
8	+refinement_pass	97	101446	98403	3043	8056	7382	674	-	ce6f4085	16573	4627_idents_upgraded
9	+iterative_refine	97	65410	63472	1938	8059	8059	0	-	7b588877	16632	zero_guarded_zero_overhead
current	+all_fixes_apr20	100	88056	88056	0	9851	9851	0	981	-	22475	100pct_platinum_0_uncertain
