model	seed	site_count	subjects	accuracy_pct	balanced_accuracy_pct	macro_f1_pct	auroc_pct	brier	ece_pct	assoc_mean
H-SSM	11111	3	100	52.0	52.0	51.826576	27.88	0.27111054	13.78956	0.0
H-SSM	11223	3	100	50.0	50.0	33.333333	20.76	0.2819767	14.156156	0.0
H-SSM	12321	3	100	44.0	44.0	33.333333	20.76	0.26873225	9.812838	0.0
H-SSM	13579	3	100	44.0	44.0	33.333333	23.88	0.30726806	18.386196	0.0
H-SSM	22222	3	100	44.0	44.0	33.333333	20.76	0.25987289	4.01894	0.0
H-SSM	24680	3	100	46.0	46.0	44.581281	20.76	0.26453856	6.077174	0.0
H-SSM	27182	3	100	52.0	52.0	51.826576	32.76	0.27639538	17.549458	0.0
H-SSM	31415	3	100	44.0	44.0	33.333333	23.88	0.28004137	10.308382	0.0
H-SSM	33333	3	100	46.0	46.0	44.581281	27.88	0.29124001	12.508536	0.0
H-SSM	44444	3	100	54.0	54.0	52.791461	35.88	0.24507504	5.51064	0.0
H-SSM	44567	3	100	44.0	44.0	33.333333	20.76	0.27893553	11.056034	0.0
H-SSM	54321	3	100	44.0	44.0	33.333333	20.76	0.29339062	15.557236	0.0
H-SSM	55555	3	100	46.0	46.0	44.581281	20.76	0.25756009	6.998082	0.0
H-SSM	66666	3	100	54.0	54.0	52.791461	28.76	0.25416482	8.26832	0.0
H-SSM	67890	3	100	48.0	48.0	47.812124	23.88	0.26380842	7.949964	0.0
H-SSM	77777	3	100	44.0	44.0	33.333333	23.88	0.29528457	16.43146	0.0
H-SSM	77889	3	100	50.0	50.0	33.333333	23.88	0.27261257	12.038608	0.0
H-SSM	88888	3	100	46.0	46.0	44.581281	20.76	0.28598055	11.90593	0.0
H-SSM	99001	3	100	48.0	48.0	47.812124	23.88	0.29430409	18.419822	0.0
H-SSM	99887	3	100	46.0	46.0	44.581281	27.88	0.27268627	10.58516	0.0
O-SSM	11111	3	100	50.0	50.0	41.561477	45.44	0.31111964	22.522488	1.011429
O-SSM	11223	3	100	42.0	42.0	40.47619	41.16	0.29718811	17.023368	1.007943
O-SSM	12321	3	100	60.0	60.0	58.333333	54.76	0.28012023	24.696001	1.02647
O-SSM	13579	3	100	46.0	46.0	36.886396	45.32	0.3172513	20.031335	0.984293
O-SSM	22222	3	100	49.0	49.0	39.851398	55.52	0.27181181	15.598513	1.040803
O-SSM	24680	3	100	47.0	47.0	42.832488	51.4	0.30605857	26.71321	1.040189
O-SSM	27182	3	100	51.0	51.0	44.159544	55.56	0.31605914	25.547169	0.98644
O-SSM	31415	3	100	47.0	47.0	41.365195	40.16	0.35728699	26.363904	1.04691
O-SSM	33333	3	100	46.0	46.0	42.084942	49.52	0.30060159	19.932016	1.058949
O-SSM	44444	3	100	55.0	55.0	54.448831	54.0	0.26788613	14.098462	1.029529
O-SSM	44567	3	100	46.0	46.0	39.839572	46.96	0.30918827	19.384049	1.005087
O-SSM	54321	3	100	51.0	51.0	43.227899	48.64	0.31698833	21.085955	1.10964
O-SSM	55555	3	100	45.0	45.0	44.550862	43.64	0.3070209	18.09401	1.014419
O-SSM	66666	3	100	49.0	49.0	47.089947	47.72	0.31527593	24.03231	1.066567
O-SSM	67890	3	100	54.0	54.0	53.535354	55.76	0.27336112	17.825046	1.063399
O-SSM	77777	3	100	47.0	47.0	39.60114	51.04	0.30794162	21.988068	0.951001
O-SSM	77889	3	100	56.0	56.0	52.809953	56.68	0.29266967	25.301399	1.002183
O-SSM	88888	3	100	53.0	53.0	49.304282	47.24	0.27953407	17.049071	0.992164
O-SSM	99001	3	100	51.0	51.0	50.9951	43.28	0.33288525	28.838452	1.034651
O-SSM	99887	3	100	51.0	51.0	42.210166	50.2	0.32249085	24.857809	1.017846
