model	seed	site	subjects	accuracy_pct	balanced_accuracy_pct	macro_f1_pct	auroc_pct	brier	ece_pct	assoc_mean
H-SSM	11111	OHSU	10	80.0	50.0	44.444444	0.0	0.21488337	36.5728	0.0
H-SSM	11111	OLIN	34	44.117647	50.0	30.612245	0.0	0.30426636	12.261647	0.0
H-SSM	11111	PITT	56	51.785714	50.0	34.117647	0.0	0.26102079	10.648786	0.0
H-SSM	11223	OHSU	10	20.0	50.0	16.666667	0.0	0.46048158	54.8162	0.0
H-SSM	11223	OLIN	34	55.882353	50.0	35.849057	0.0	0.24667564	1.165553	0.0
H-SSM	11223	PITT	56	51.785714	50.0	34.117647	0.0	0.27153361	14.782586	0.0
H-SSM	12321	OHSU	10	20.0	50.0	16.666667	0.0	0.26341048	32.1575	0.0
H-SSM	12321	OLIN	34	44.117647	50.0	30.612245	0.0	0.28081199	6.748047	0.0
H-SSM	12321	PITT	56	48.214286	50.0	32.53012	0.0	0.26234843	7.683486	0.0
H-SSM	13579	OHSU	10	20.0	50.0	16.666667	0.0	0.37244264	46.0915	0.0
H-SSM	13579	OLIN	34	44.117647	50.0	30.612245	0.0	0.268045	2.899947	0.0
H-SSM	13579	PITT	56	48.214286	50.0	32.53012	0.0	0.31944374	22.841186	0.0
H-SSM	22222	OHSU	10	20.0	50.0	16.666667	0.0	0.3096831	38.6889	0.0
H-SSM	22222	OLIN	34	44.117647	50.0	30.612245	0.0	0.2591548	0.533053	0.0
H-SSM	22222	PITT	56	48.214286	50.0	32.53012	0.0	0.25141419	0.591586	0.0
H-SSM	24680	OHSU	10	20.0	50.0	16.666667	0.0	0.34320626	42.8026	0.0
H-SSM	24680	OLIN	34	44.117647	50.0	30.612245	0.0	0.26517	1.884547	0.0
H-SSM	24680	PITT	56	51.785714	50.0	34.117647	0.0	0.25010737	2.064586	0.0
H-SSM	27182	OHSU	10	80.0	50.0	44.444444	0.0	0.1628211	54.6886	0.0
H-SSM	27182	OLIN	34	44.117647	50.0	30.612245	0.0	0.33514277	18.001547	0.0
H-SSM	27182	PITT	56	51.785714	50.0	34.117647	0.0	0.26100844	10.642986	0.0
H-SSM	31415	OHSU	10	20.0	50.0	16.666667	0.0	0.42456415	51.4358	0.0
H-SSM	31415	OLIN	34	44.117647	50.0	30.612245	0.0	0.26527169	1.921747	0.0
H-SSM	31415	PITT	56	48.214286	50.0	32.53012	0.0	0.26320103	8.056086	0.0
H-SSM	33333	OHSU	10	20.0	50.0	16.666667	0.0	0.26337768	32.1524	0.0
H-SSM	33333	OLIN	34	44.117647	50.0	30.612245	0.0	0.36669044	22.898047	0.0
H-SSM	33333	PITT	56	51.785714	50.0	34.117647	0.0	0.25040623	2.692786	0.0
H-SSM	44444	OHSU	10	80.0	50.0	44.444444	0.0	0.2005076	39.8735	0.0
H-SSM	44444	OLIN	34	55.882353	50.0	35.849057	0.0	0.24805094	3.887347	0.0
H-SSM	44444	PITT	56	48.214286	50.0	32.53012	0.0	0.25122672	0.359986	0.0
H-SSM	44567	OHSU	10	20.0	50.0	16.666667	0.0	0.37448754	46.3128	0.0
H-SSM	44567	OLIN	34	44.117647	50.0	30.612245	0.0	0.27666444	5.591747	0.0
H-SSM	44567	PITT	56	48.214286	50.0	32.53012	0.0	0.26325154	8.077786	0.0
H-SSM	54321	OHSU	10	20.0	50.0	16.666667	0.0	0.35172839	43.7868	0.0
H-SSM	54321	OLIN	34	44.117647	50.0	30.612245	0.0	0.30804654	13.035847	0.0
H-SSM	54321	PITT	56	48.214286	50.0	32.53012	0.0	0.27407492	12.047086	0.0
H-SSM	55555	OHSU	10	20.0	50.0	16.666667	0.0	0.29837805	37.1992	0.0
H-SSM	55555	OLIN	34	44.117647	50.0	30.612245	0.0	0.25533571	2.386053	0.0
