model	seed	site_count	subjects	accuracy_pct	balanced_accuracy_pct	macro_f1_pct	auroc_pct	brier	ece_pct	assoc_mean
H-SSM	11111	20	100	50.0	50.0	49.81935	47.4	0.26058042	8.510218	0.0
H-SSM	11223	20	100	50.0	50.0	49.677939	47.4	0.26895806	11.597688	0.0
H-SSM	12321	20	100	50.0	50.0	49.81935	47.4	0.25739671	6.107338	0.0
H-SSM	13579	20	100	50.0	50.0	49.269481	47.4	0.26801967	11.225606	0.0
H-SSM	22222	20	100	50.0	50.0	49.269481	47.4	0.26924914	12.620062	0.0
H-SSM	24680	20	100	50.0	50.0	49.979992	47.4	0.26876374	12.127406	0.0
H-SSM	27182	20	100	50.0	50.0	49.919872	47.4	0.26678489	11.388816	0.0
H-SSM	31415	20	100	50.0	50.0	49.919872	47.4	0.2663456	11.340208	0.0
H-SSM	33333	20	100	50.0	50.0	48.325754	47.4	0.2663938	10.700868	0.0
H-SSM	44444	20	100	50.0	50.0	49.919872	47.4	0.27177183	12.72182	0.0
H-SSM	44567	20	100	50.0	50.0	49.494949	47.4	0.26857364	10.81012	0.0
H-SSM	54321	20	100	50.0	50.0	49.269481	47.4	0.26963048	12.569524	0.0
H-SSM	55555	20	100	50.0	50.0	49.677939	47.4	0.26421124	8.957456	0.0
H-SSM	66666	20	100	50.0	50.0	48.686371	47.4	0.25973079	8.121864	0.0
H-SSM	67890	20	100	50.0	50.0	49.919872	47.4	0.26594095	11.030198	0.0
H-SSM	77777	20	100	50.0	50.0	49.919872	47.4	0.26478829	10.704532	0.0
H-SSM	77889	20	100	50.0	50.0	48.325754	47.4	0.26166859	7.732842	0.0
H-SSM	88888	20	100	50.0	50.0	48.325754	47.4	0.26320379	9.2914	0.0
H-SSM	99001	20	100	50.0	50.0	49.81935	47.4	0.2590992	8.111878	0.0
H-SSM	99887	20	100	50.0	50.0	49.919872	47.4	0.25652964	6.556812	0.0
O-SSM	11111	20	100	46.0	46.0	46.0	46.64	0.29131109	14.589228	1.016371
O-SSM	11223	20	100	49.0	49.0	47.482237	49.4	0.29268764	19.431771	1.03757
O-SSM	12321	20	100	51.0	51.0	50.599859	52.44	0.26411377	13.785178	1.014344
O-SSM	13579	20	100	48.0	48.0	47.979192	46.12	0.29259414	14.473388	1.003352
O-SSM	22222	20	100	43.0	43.0	42.948654	43.64	0.29949699	17.596664	1.068439
O-SSM	24680	20	100	46.0	46.0	45.804898	46.16	0.29945571	17.101098	1.011965
O-SSM	27182	20	100	50.0	50.0	49.919872	45.56	0.29520063	13.496818	1.030267
O-SSM	31415	20	100	42.0	42.0	41.790446	44.88	0.29743919	18.473568	1.044567
O-SSM	33333	20	100	53.0	53.0	51.918159	51.96	0.27241783	15.252926	1.03805
O-SSM	44444	20	100	49.0	49.0	48.748869	47.76	0.27907683	14.847413	1.046311
O-SSM	44567	20	100	52.0	52.0	50.0	49.4	0.28309602	14.934871	0.991454
O-SSM	54321	20	100	52.0	52.0	51.826576	51.96	0.28636601	18.019875	1.03073
O-SSM	55555	20	100	49.0	49.0	46.15141	49.28	0.28791734	15.877943	1.013662
O-SSM	66666	20	100	51.0	51.0	49.164851	45.88	0.2967085	15.149618	0.989529
O-SSM	67890	20	100	49.0	49.0	48.375342	45.24	0.2916133	14.186516	0.998483
O-SSM	77777	20	100	48.0	48.0	47.812124	45.84	0.29575427	21.205303	0.981414
O-SSM	77889	20	100	50.0	50.0	49.81935	51.64	0.26928685	12.924051	1.005914
O-SSM	88888	20	100	46.0	46.0	44.581281	45.48	0.3033809	17.340879	1.067903
O-SSM	99001	20	100	50.0	50.0	49.919872	48.04	0.28361449	16.6631	1.008296
O-SSM	99887	20	100	47.0	47.0	45.422717	45.88	0.29272643	15.050561	1.019711
