model	seed	site	subjects	accuracy_pct	balanced_accuracy_pct	macro_f1_pct	auroc_pct	brier	ece_pct	assoc_mean
H-SSM	11111	CALTECH	4	50.0	50.0	33.333333	0.0	0.25018244	1.3507	0.0
H-SSM	11111	CMU	4	50.0	50.0	33.333333	0.0	0.25576643	7.5937	0.0
H-SSM	11111	KKI	6	50.0	50.0	33.333333	0.0	0.26857933	13.6306	0.0
H-SSM	11111	LEUVEN_1	4	50.0	50.0	33.333333	0.0	0.25504498	7.1028	0.0
H-SSM	11111	LEUVEN_2	4	50.0	50.0	33.333333	0.0	0.26505676	12.2706	0.0
H-SSM	11111	MAX_MUN	6	50.0	50.0	33.333333	0.0	0.26105	10.5119	0.0
H-SSM	11111	NYU	6	50.0	50.0	33.333333	0.0	0.2573224	8.5571	0.0
H-SSM	11111	OHSU	4	50.0	50.0	33.333333	0.0	0.25220844	4.6994	0.0
H-SSM	11111	OLIN	4	50.0	50.0	33.333333	0.0	0.25341816	5.8465	0.0
H-SSM	11111	PITT	6	50.0	50.0	33.333333	0.0	0.30998042	24.4909	0.0
H-SSM	11111	SBL	4	50.0	50.0	33.333333	0.0	0.27789568	16.702	0.0
H-SSM	11111	SDSU	4	50.0	50.0	33.333333	0.0	0.25076651	2.7686	0.0
H-SSM	11111	STANFORD	6	50.0	50.0	33.333333	0.0	0.25993869	9.9693	0.0
H-SSM	11111	TRINITY	6	50.0	50.0	33.333333	0.0	0.25841604	9.1739	0.0
H-SSM	11111	UCLA_1	6	50.0	50.0	33.333333	0.0	0.25002928	0.5411	0.0
H-SSM	11111	UCLA_2	4	50.0	50.0	33.333333	0.0	0.25351388	5.9278	0.0
H-SSM	11111	UM_1	6	50.0	50.0	33.333333	0.0	0.25000233	0.1527	0.0
H-SSM	11111	UM_2	4	50.0	50.0	33.333333	0.0	0.26028095	10.1395	0.0
H-SSM	11111	USM	6	50.0	50.0	33.333333	0.0	0.25517004	7.1903	0.0
H-SSM	11111	YALE	6	50.0	50.0	33.333333	0.0	0.25642899	8.0181	0.0
H-SSM	11223	CALTECH	4	50.0	50.0	33.333333	0.0	0.25537084	7.3286	0.0
H-SSM	11223	CMU	4	50.0	50.0	33.333333	0.0	0.28488042	18.6763	0.0
H-SSM	11223	KKI	6	50.0	50.0	33.333333	0.0	0.27147661	14.6549	0.0
H-SSM	11223	LEUVEN_1	4	50.0	50.0	33.333333	0.0	0.26686778	12.9876	0.0
H-SSM	11223	LEUVEN_2	4	50.0	50.0	33.333333	0.0	0.28978788	19.9469	0.0
H-SSM	11223	MAX_MUN	6	50.0	50.0	33.333333	0.0	0.27022112	14.2201	0.0
H-SSM	11223	NYU	6	50.0	50.0	33.333333	0.0	0.25330016	5.7447	0.0
H-SSM	11223	OHSU	4	50.0	50.0	33.333333	0.0	0.25245045	4.9502	0.0
H-SSM	11223	OLIN	4	50.0	50.0	33.333333	0.0	0.25006632	0.8144	0.0
H-SSM	11223	PITT	6	50.0	50.0	33.333333	0.0	0.26146398	10.707	0.0
H-SSM	11223	SBL	4	50.0	50.0	33.333333	0.0	0.25500726	7.0762	0.0
H-SSM	11223	SDSU	4	50.0	50.0	33.333333	0.0	0.25316305	5.6241	0.0
H-SSM	11223	STANFORD	6	50.0	50.0	33.333333	0.0	0.32931546	28.163	0.0
H-SSM	11223	TRINITY	6	50.0	50.0	33.333333	0.0	0.25305942	5.5312	0.0
H-SSM	11223	UCLA_1	6	50.0	50.0	33.333333	0.0	0.25047011	2.1682	0.0
H-SSM	11223	UCLA_2	4	50.0	50.0	33.333333	0.0	0.26831827	13.5345	0.0
H-SSM	11223	UM_1	6	50.0	50.0	33.333333	0.0	0.25076979	2.7745	0.0
H-SSM	11223	UM_2	4	50.0	50.0	33.333333	0.0	0.27170672	14.7332	0.0
H-SSM	11223	USM	6	50.0	50.0	33.333333	0.0	0.30067046	22.5101	0.0
H-SSM	11223	YALE	6	50.0	50.0	33.333333	0.0	0.27680784	16.3731	0.0
H-SSM	12321	CALTECH	4	50.0	50.0	33.333333	0.0	0.25418609	6.47	0.0
H-SSM	12321	CMU	4	50.0	50.0	33.333333	0.0	0.25001499	0.3872	0.0
H-SSM	12321	KKI	6	50.0	50.0	33.333333	0.0	0.25208822	4.5697	0.0
H-SSM	12321	LEUVEN_1	4	50.0	50.0	33.333333	0.0	0.25161926	4.024	0.0
H-SSM	12321	LEUVEN_2	4	50.0	50.0	33.333333	0.0	0.25172698	4.1557	0.0
H-SSM	12321	MAX_MUN	6	50.0	50.0	33.333333	0.0	0.2500172	0.4147	0.0
H-SSM	12321	NYU	6	50.0	50.0	33.333333	0.0	0.31411986	25.3219	0.0
H-SSM	12321	OHSU	4	50.0	50.0	33.333333	0.0	0.25005858	0.7654	0.0
H-SSM	12321	OLIN	4	50.0	50.0	33.333333	0.0	0.27872042	16.9471	0.0
H-SSM	12321	PITT	6	50.0	50.0	33.333333	0.0	0.25492734	7.0195	0.0
H-SSM	12321	SBL	4	50.0	50.0	33.333333	0.0	0.25070024	2.6462	0.0
H-SSM	12321	SDSU	4	50.0	50.0	33.333333	0.0	0.25685154	8.2774	0.0
H-SSM	12321	STANFORD	6	50.0	50.0	33.333333	0.0	0.25083209	2.8846	0.0
H-SSM	12321	TRINITY	6	50.0	50.0	33.333333	0.0	0.25223615	4.7288	0.0
H-SSM	12321	UCLA_1	6	50.0	50.0	33.333333	0.0	0.25164406	4.0547	0.0
H-SSM	12321	UCLA_2	4	50.0	50.0	33.333333	0.0	0.25543066	7.3693	0.0
H-SSM	12321	UM_1	6	50.0	50.0	33.333333	0.0	0.25634603	7.9662	0.0
H-SSM	12321	UM_2	4	50.0	50.0	33.333333	0.0	0.26007032	10.0351	0.0
H-SSM	12321	USM	6	50.0	50.0	33.333333	0.0	0.2514741	3.8394	0.0
H-SSM	12321	YALE	6	50.0	50.0	33.333333	0.0	0.25000735	0.2712	0.0
H-SSM	13579	CALTECH	4	50.0	50.0	33.333333	0.0	0.25324535	5.6968	0.0
H-SSM	13579	CMU	4	50.0	50.0	33.333333	0.0	0.27985258	17.2779	0.0
H-SSM	13579	KKI	6	50.0	50.0	33.333333	0.0	0.31337101	25.1736	0.0
H-SSM	13579	LEUVEN_1	4	50.0	50.0	33.333333	0.0	0.28285156	18.125	0.0
