model	site	seed_count	subjects_mean	accuracy_pct_mean	accuracy_pct_std	balanced_accuracy_pct_mean	balanced_accuracy_pct_std	macro_f1_pct_mean	macro_f1_pct_std	auroc_pct_mean	auroc_pct_std	brier_mean	brier_std	ece_pct_mean	ece_pct_std	assoc_mean_mean	assoc_mean_std
H-SSM	CALTECH	20	4.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.263094	0.013892	9.552365	6.300368	0.0	0.0
H-SSM	CMU	20	4.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.267214	0.014259	11.603025	6.124457	0.0	0.0
H-SSM	KKI	20	6.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.264699	0.01653	10.16111	6.613393	0.0	0.0
H-SSM	LEUVEN_1	20	4.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.267097	0.017725	11.275995	6.619875	0.0	0.0
H-SSM	LEUVEN_2	20	4.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.264052	0.016793	9.100925	7.595567	0.0	0.0
H-SSM	MAX_MUN	20	6.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.270826	0.019743	12.45018	7.297404	0.0	0.0
H-SSM	NYU	20	6.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.268961	0.019703	11.59414	7.428754	0.0	0.0
H-SSM	OHSU	20	4.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.262667	0.019027	9.135435	6.573928	0.0	0.0
H-SSM	OLIN	20	4.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.267587	0.018761	11.109265	7.24227	0.0	0.0
H-SSM	PITT	20	6.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.26807	0.01816	11.53149	6.908521	0.0	0.0
H-SSM	SBL	20	4.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.257664	0.007925	7.399415	4.67886	0.0	0.0
H-SSM	SDSU	20	4.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.261964	0.019817	8.418715	6.983194	0.0	0.0
H-SSM	STANFORD	20	6.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.268999	0.019684	11.61072	7.428672	0.0	0.0
H-SSM	TRINITY	20	6.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.2622	0.012818	9.33279	5.907451	0.0	0.0
H-SSM	UCLA_1	20	6.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.264504	0.01768	9.76087	7.054275	0.0	0.0
H-SSM	UCLA_2	20	4.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.262965	0.019105	9.16406	6.757741	0.0	0.0
H-SSM	UM_1	20	6.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.259225	0.010088	8.035995	5.260768	0.0	0.0
H-SSM	UM_2	20	4.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.264347	0.016277	10.0963	6.444637	0.0	0.0
H-SSM	USM	20	6.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.26312	0.015874	9.25764	6.74472	0.0	0.0
H-SSM	YALE	20	6.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.264996	0.017709	10.216945	6.750978	0.0	0.0
O-SSM	CALTECH	20	4.0	42.5	13.919411	42.5	13.919411	29.0	8.5049	8.75	26.545951	0.301517	0.026534	28.505222	17.975723	0.752681	0.086524
O-SSM	CMU	20	4.0	53.75	14.306904	53.75	14.306904	42.0	18.511258	50.0	0.0	0.270167	0.019188	32.233971	13.786095	0.635114	0.069062
O-SSM	KKI	20	6.0	45.833333	7.216879	45.833333	7.216879	31.666666	3.333333	36.111111	26.028237	0.304049	0.042806	25.10024	11.849835	1.327317	0.156361
O-SSM	LEUVEN_1	20	4.0	46.25	8.926786	46.25	8.926786	31.333333	4.760952	36.25	42.920712	0.295365	0.046874	28.553105	14.045424	1.045702	0.115186
O-SSM	LEUVEN_2	20	4.0	52.5	10.897247	52.5	10.897247	36.666666	14.529663	67.5	26.339134	0.274134	0.038066	20.315515	14.874659	1.266231	0.07242
O-SSM	MAX_MUN	20	6.0	43.333333	12.247449	43.333333	12.247449	31.982143	10.123688	36.666666	13.193714	0.314422	0.054196	32.495932	13.912237	0.886237	0.099294
O-SSM	NYU	20	6.0	32.5	19.346978	32.5	19.346978	22.678571	12.741293	5.555556	21.801574	0.360673	0.048819	42.314389	13.45279	0.773088	0.06389
O-SSM	OHSU	20	4.0	48.75	5.448624	48.75	5.448624	34.333333	5.972158	42.5	31.721444	0.283792	0.038612	20.348635	15.170573	1.086145	0.096696
O-SSM	OLIN	20	4.0	46.25	8.926786	46.25	8.926786	34.666666	8.969083	35.0	16.583124	0.309245	0.038127	27.474989	12.123001	0.793859	0.110478
O-SSM	PITT	20	6.0	55.0	7.637626	55.0	7.637626	43.470238	14.252157	57.222222	27.05162	0.270463	0.04096	22.15999	9.757184	1.191061	0.107454
O-SSM	SBL	20	4.0	51.25	12.437343	51.25	12.437343	38.0	15.362291	61.25	26.780357	0.265806	0.042653	28.76719	13.571883	1.250788	0.139214
O-SSM	SDSU	20	4.0	36.25	20.116846	36.25	20.116846	26.333333	15.842979	6.25	22.185299	0.340962	0.054306	43.589258	15.023504	1.051484	0.106066
O-SSM	STANFORD	20	6.0	44.166667	17.697301	44.166667	17.697301	35.107143	16.758755	40.0	41.928805	0.334185	0.094037	30.712996	7.16647	1.703672	0.199416
O-SSM	TRINITY	20	6.0	55.833333	12.104866	55.833333	12.104866	43.910714	17.888872	75.0	30.199951	0.245028	0.041712	27.355405	10.226852	1.149604	0.128461
O-SSM	UCLA_1	20	6.0	55.0	13.017083	55.0	13.017083	40.60119	18.291134	61.666667	40.134804	0.265357	0.045904	23.759346	11.971803	0.971808	0.135277
O-SSM	UCLA_2	20	4.0	57.5	11.456439	57.5	11.456439	47.0	17.916473	71.25	14.306904	0.242969	0.028557	26.678429	14.385808	0.831377	0.089989
O-SSM	UM_1	20	6.0	55.0	10.671874	55.0	10.671874	45.761905	15.064271	57.222222	25.885551	0.258499	0.040896	24.023105	13.011986	0.930949	0.080382
O-SSM	UM_2	20	4.0	51.25	5.448624	51.25	5.448624	38.666666	10.34945	60.0	28.939592	0.271492	0.03974	30.412109	12.315272	1.401194	0.172104
O-SSM	USM	20	6.0	46.666667	8.498366	46.666667	8.498366	36.244047	8.708435	44.444444	13.608277	0.279974	0.022883	17.672182	9.689539	0.628159	0.052222
O-SSM	YALE	20	6.0	51.666667	10.40833	51.666667	10.40833	39.625	14.536162	52.777778	15.265147	0.275599	0.037263	20.027787	10.897056	0.710331	0.058174
