model	seed	site_count	subjects	accuracy_pct	balanced_accuracy_pct	macro_f1_pct	auroc_pct	brier	ece_pct	assoc_mean
H-SSM	11111	20	200	50.0	50.0	49.494949	47.5	0.26310448	9.578865	0.0
H-SSM	11223	20	200	50.0	50.0	49.874687	47.5	0.25846092	7.663545	0.0
H-SSM	12321	20	200	50.0	50.0	49.494949	47.5	0.2648272	10.107255	0.0
H-SSM	13579	20	200	50.0	50.0	50.0	47.5	0.26917131	11.00077	0.0
H-SSM	22222	20	200	50.0	50.0	49.494949	47.5	0.26151832	9.22245	0.0
H-SSM	24680	20	200	50.0	50.0	48.849105	47.5	0.26973607	12.512565	0.0
H-SSM	27182	20	200	50.0	50.0	49.874687	47.5	0.26439764	9.581565	0.0
H-SSM	31415	20	200	50.0	50.0	49.874687	47.5	0.26214194	8.93954	0.0
H-SSM	33333	20	200	50.0	50.0	50.0	47.5	0.26130662	8.051175	0.0
H-SSM	44444	20	200	50.0	50.0	49.494949	47.5	0.26295119	9.737985	0.0
H-SSM	44567	20	200	50.0	50.0	48.849105	47.5	0.26552624	11.020655	0.0
H-SSM	54321	20	200	50.0	50.0	43.019943	47.5	0.2628699	8.850435	0.0
H-SSM	55555	20	200	50.0	50.0	48.849105	47.5	0.26221009	8.258705	0.0
H-SSM	66666	20	200	50.0	50.0	49.874687	47.5	0.2641066	9.232985	0.0
H-SSM	67890	20	200	50.0	50.0	48.849105	47.5	0.26132626	9.068	0.0
H-SSM	77777	20	200	50.0	50.0	47.916667	47.5	0.26046041	8.626685	0.0
H-SSM	77889	20	200	50.0	50.0	49.494949	47.5	0.26512237	9.44898	0.0
H-SSM	88888	20	200	50.0	50.0	49.874687	47.5	0.26336681	9.344065	0.0
H-SSM	99001	20	200	50.0	50.0	49.874687	47.5	0.25953562	7.233045	0.0
H-SSM	99887	20	200	50.0	50.0	50.0	47.5	0.26443899	9.72919	0.0
O-SSM	11111	20	200	48.0	48.0	47.979192	48.19	0.28911362	14.951945	0.968216
O-SSM	11223	20	200	49.0	49.0	48.815737	50.4	0.27403701	14.855794	1.012885
O-SSM	12321	20	200	49.0	49.0	48.671498	46.71	0.28218655	12.201088	0.966888
O-SSM	13579	20	200	48.5	48.5	48.498712	47.43	0.29198692	14.538194	0.974032
O-SSM	22222	20	200	46.5	46.5	46.391443	47.21	0.28649	14.370826	1.00757
O-SSM	24680	20	200	48.5	48.5	48.467792	48.0	0.29700928	17.199057	0.96446
O-SSM	27182	20	200	49.0	49.0	48.748869	49.08	0.28629662	14.998316	0.969785
O-SSM	31415	20	200	44.0	44.0	43.910256	48.65	0.28695711	18.045172	1.004383
O-SSM	33333	20	200	48.0	48.0	45.355191	50.17	0.27781541	12.048835	0.989037
O-SSM	44444	20	200	46.5	46.5	46.110649	49.68	0.27608092	15.443487	0.97046
O-SSM	44567	20	200	49.5	49.5	49.346774	50.14	0.27747972	14.66536	0.949965
O-SSM	54321	20	200	51.0	51.0	49.712644	50.14	0.27735812	13.184525	0.982833
O-SSM	55555	20	200	49.5	49.5	49.285732	48.79	0.28411034	14.588629	0.973439
O-SSM	66666	20	200	49.5	49.5	48.415435	48.69	0.28149499	14.770115	0.957085
O-SSM	67890	20	200	47.0	47.0	46.225649	49.21	0.27261722	13.514793	0.953935
O-SSM	77777	20	200	46.5	46.5	45.183022	46.9	0.27673561	13.527918	0.95004
O-SSM	77889	20	200	49.0	49.0	48.954059	49.48	0.28464462	14.771051	0.974985
O-SSM	88888	20	200	47.5	47.5	47.117927	47.67	0.29111919	16.218439	1.01174
O-SSM	99001	20	200	50.0	50.0	49.874687	49.29	0.28377509	14.603941	0.98058
O-SSM	99887	20	200	50.5	50.5	50.219987	50.29	0.2880408	15.448849	0.96604
