model	site	seed_count	subjects_mean	accuracy_pct_mean	accuracy_pct_std	balanced_accuracy_pct_mean	balanced_accuracy_pct_std	macro_f1_pct_mean	macro_f1_pct_std	auroc_pct_mean	auroc_pct_std	brier_mean	brier_std	ece_pct_mean	ece_pct_std	assoc_mean_mean	assoc_mean_std
H-SSM	CALTECH	20	10.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.261696	0.018351	8.590125	6.570386	0.0	0.0
H-SSM	CMU	20	10.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.263573	0.014773	9.78339	6.325485	0.0	0.0
H-SSM	KKI	20	10.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.260902	0.014106	8.61008	5.906329	0.0	0.0
H-SSM	LEUVEN_1	20	10.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.262112	0.014043	9.099955	6.189801	0.0	0.0
H-SSM	LEUVEN_2	20	10.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.260385	0.014088	8.24883	5.984139	0.0	0.0
H-SSM	MAX_MUN	20	10.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.266032	0.019136	10.33571	7.313735	0.0	0.0
H-SSM	NYU	20	10.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.265175	0.016851	10.096545	7.057783	0.0	0.0
H-SSM	OHSU	20	10.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.25952	0.011349	8.281285	5.159815	0.0	0.0
H-SSM	OLIN	20	10.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.266586	0.021729	10.581815	7.340964	0.0	0.0
H-SSM	PITT	20	10.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.272954	0.025154	13.002415	7.776613	0.0	0.0
H-SSM	SBL	20	10.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.263495	0.013305	10.228175	5.507312	0.0	0.0
H-SSM	SDSU	20	10.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.256943	0.009036	6.827065	4.777119	0.0	0.0
H-SSM	STANFORD	20	10.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.267197	0.020647	10.369015	8.028042	0.0	0.0
H-SSM	TRINITY	20	10.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.259121	0.010926	7.67708	5.681272	0.0	0.0
H-SSM	UCLA_1	20	10.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.259269	0.013905	7.401535	6.156881	0.0	0.0
H-SSM	UCLA_2	20	10.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.267679	0.016568	10.747655	7.827966	0.0	0.0
H-SSM	UM_1	20	10.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.262922	0.01165	10.00882	5.389433	0.0	0.0
H-SSM	UM_2	20	10.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.268364	0.024949	10.431625	8.650208	0.0	0.0
H-SSM	USM	20	10.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.257577	0.00893	7.051485	5.103377	0.0	0.0
H-SSM	YALE	20	10.0	50.0	0.0	50.0	0.0	33.333333	0.0	0.0	0.0	0.265076	0.022273	9.835855	7.349689	0.0	0.0
O-SSM	CALTECH	20	10.0	47.0	7.81025	47.0	7.81025	32.67298	3.183885	41.2	13.62938	0.279333	0.021101	20.155001	12.156681	0.705735	0.046728
O-SSM	CMU	20	10.0	49.0	5.385165	49.0	5.385165	35.300727	6.10636	51.8	5.134199	0.270583	0.02194	18.929211	10.63997	0.57469	0.043848
O-SSM	KKI	20	10.0	44.0	9.165151	44.0	9.165151	31.446428	5.577904	42.0	23.782346	0.292634	0.030073	23.180727	9.829492	1.245621	0.127443
O-SSM	LEUVEN_1	20	10.0	51.0	4.358899	51.0	4.358899	36.547619	8.452381	52.4	13.380583	0.275592	0.028959	17.532796	9.08997	1.057144	0.081472
O-SSM	LEUVEN_2	20	10.0	48.0	8.124038	48.0	8.124038	38.815767	9.653945	48.2	8.243786	0.271819	0.028044	17.849601	9.273891	1.050747	0.062891
O-SSM	MAX_MUN	20	10.0	46.5	7.26292	46.5	7.26292	34.273282	7.302723	43.2	13.242356	0.292623	0.038337	22.049472	12.050311	0.959441	0.084451
O-SSM	NYU	20	10.0	43.5	11.521719	43.5	11.521719	33.179459	8.520371	47.4	29.100515	0.293074	0.03786	25.689656	9.901636	0.865877	0.072463
O-SSM	OHSU	20	10.0	52.0	8.717798	52.0	8.717798	42.181638	12.008624	41.4	14.492757	0.294339	0.040963	27.215262	11.991869	1.198937	0.106248
O-SSM	OLIN	20	10.0	45.0	8.660254	45.0	8.660254	33.161075	6.230696	39.4	22.742911	0.2999	0.032051	20.034962	6.309395	0.650222	0.049881
O-SSM	PITT	20	10.0	50.0	0.0	50.0	0.0	33.919414	2.554666	50.0	31.837085	0.290235	0.037248	20.393656	9.751602	1.130849	0.078998
O-SSM	SBL	20	10.0	49.0	3.0	49.0	3.0	35.408813	5.084083	50.8	12.464349	0.27144	0.017934	17.381175	8.582418	1.063618	0.091393
O-SSM	SDSU	20	10.0	41.0	11.357817	41.0	11.357817	34.320388	9.312844	35.6	16.438978	0.302504	0.039634	27.868945	13.848769	1.019597	0.070485
O-SSM	STANFORD	20	10.0	46.0	12.806248	46.0	12.806248	34.042124	11.297349	31.6	35.482954	0.32311	0.073161	26.037188	6.906139	1.552018	0.127022
O-SSM	TRINITY	20	10.0	49.5	10.234745	49.5	10.234745	35.267857	11.644286	56.6	38.807731	0.27372	0.045268	23.48977	6.931426	1.070274	0.07676
O-SSM	UCLA_1	20	10.0	51.0	3.0	51.0	3.0	37.377289	7.612621	53.4	13.343163	0.263854	0.023126	12.478404	7.618359	0.938343	0.095055
O-SSM	UCLA_2	20	10.0	51.5	4.769696	51.5	4.769696	38.541666	9.936867	52.4	16.243152	0.273194	0.028496	18.002454	6.750763	0.79447	0.063536
O-SSM	UM_1	20	10.0	51.5	3.570714	51.5	3.570714	38.924908	9.348758	60.6	10.974516	0.265758	0.021595	17.234714	7.973644	0.875137	0.055996
O-SSM	UM_2	20	10.0	51.0	5.385165	51.0	5.385165	40.142718	10.871752	51.8	10.077698	0.284233	0.039801	23.840183	10.329149	1.092281	0.094478
O-SSM	USM	20	10.0	49.0	4.358899	49.0	4.358899	36.505494	6.235812	52.4	5.499091	0.266076	0.018943	17.822389	10.413467	0.833443	0.053069
O-SSM	YALE	20	10.0	51.5	3.570714	51.5	3.570714	38.263209	8.9762	51.2	4.489989	0.281326	0.024162	19.118364	7.945342	0.849917	0.073589
