model	seed	site	subjects	accuracy_pct	balanced_accuracy_pct	macro_f1_pct	auroc_pct	brier	ece_pct	assoc_mean
H-SSM	11111	CALTECH	10	50.0	50.0	33.333333	0.0	0.25309971	5.5675	0.0
H-SSM	11111	CMU	10	50.0	50.0	33.333333	0.0	0.28103094	17.6156	0.0
H-SSM	11111	KKI	10	50.0	50.0	33.333333	0.0	0.26340895	11.5797	0.0
H-SSM	11111	LEUVEN_1	10	50.0	50.0	33.333333	0.0	0.27915966	17.0762	0.0
H-SSM	11111	LEUVEN_2	10	50.0	50.0	33.333333	0.0	0.30135119	22.6608	0.0
H-SSM	11111	MAX_MUN	10	50.0	50.0	33.333333	0.0	0.26467248	12.113	0.0
H-SSM	11111	NYU	10	50.0	50.0	33.333333	0.0	0.25167805	4.0964	0.0
H-SSM	11111	OHSU	10	50.0	50.0	33.333333	0.0	0.26620885	12.7314	0.0
H-SSM	11111	OLIN	10	50.0	50.0	33.333333	0.0	0.25271858	5.214	0.0
H-SSM	11111	PITT	10	50.0	50.0	33.333333	0.0	0.25568018	7.5367	0.0
H-SSM	11111	SBL	10	50.0	50.0	33.333333	0.0	0.25037935	1.9477	0.0
H-SSM	11111	SDSU	10	50.0	50.0	33.333333	0.0	0.25020036	1.4155	0.0
H-SSM	11111	STANFORD	10	50.0	50.0	33.333333	0.0	0.25232835	4.8253	0.0
H-SSM	11111	TRINITY	10	50.0	50.0	33.333333	0.0	0.25191897	4.3806	0.0
H-SSM	11111	UCLA_1	10	50.0	50.0	33.333333	0.0	0.25444676	6.6684	0.0
H-SSM	11111	UCLA_2	10	50.0	50.0	33.333333	0.0	0.29647258	21.5575	0.0
H-SSM	11111	UM_1	10	50.0	50.0	33.333333	0.0	0.2697425	14.0508	0.0
H-SSM	11111	UM_2	10	50.0	50.0	33.333333	0.0	0.25494082	7.0291	0.0
H-SSM	11111	USM	10	50.0	50.0	33.333333	0.0	0.25065434	2.558	0.0
H-SSM	11111	YALE	10	50.0	50.0	33.333333	0.0	0.26199704	10.9531	0.0
H-SSM	11223	CALTECH	10	50.0	50.0	33.333333	0.0	0.26777902	13.3338	0.0
H-SSM	11223	CMU	10	50.0	50.0	33.333333	0.0	0.25003349	0.5787	0.0
H-SSM	11223	KKI	10	50.0	50.0	33.333333	0.0	0.25140483	3.7481	0.0
H-SSM	11223	LEUVEN_1	10	50.0	50.0	33.333333	0.0	0.26461754	12.0903	0.0
H-SSM	11223	LEUVEN_2	10	50.0	50.0	33.333333	0.0	0.2512034	3.469	0.0
H-SSM	11223	MAX_MUN	10	50.0	50.0	33.333333	0.0	0.27244993	14.9833	0.0
H-SSM	11223	NYU	10	50.0	50.0	33.333333	0.0	0.25010138	1.0069	0.0
H-SSM	11223	OHSU	10	50.0	50.0	33.333333	0.0	0.26945886	13.9495	0.0
H-SSM	11223	OLIN	10	50.0	50.0	33.333333	0.0	0.28439282	18.5453	0.0
H-SSM	11223	PITT	10	50.0	50.0	33.333333	0.0	0.25171761	4.1444	0.0
H-SSM	11223	SBL	10	50.0	50.0	33.333333	0.0	0.25863394	9.2919	0.0
H-SSM	11223	SDSU	10	50.0	50.0	33.333333	0.0	0.25093973	3.0655	0.0
H-SSM	11223	STANFORD	10	50.0	50.0	33.333333	0.0	0.25032141	1.7928	0.0
H-SSM	11223	TRINITY	10	50.0	50.0	33.333333	0.0	0.26287431	11.3465	0.0
H-SSM	11223	UCLA_1	10	50.0	50.0	33.333333	0.0	0.25371441	6.0946	0.0
H-SSM	11223	UCLA_2	10	50.0	50.0	33.333333	0.0	0.25506289	7.1154	0.0
H-SSM	11223	UM_1	10	50.0	50.0	33.333333	0.0	0.25094132	3.0681	0.0
H-SSM	11223	UM_2	10	50.0	50.0	33.333333	0.0	0.26330262	11.5337	0.0
H-SSM	11223	USM	10	50.0	50.0	33.333333	0.0	0.25337759	5.8117	0.0
H-SSM	11223	YALE	10	50.0	50.0	33.333333	0.0	0.25689132	8.3014	0.0
H-SSM	12321	CALTECH	10	50.0	50.0	33.333333	0.0	0.25291438	5.3985	0.0
H-SSM	12321	CMU	10	50.0	50.0	33.333333	0.0	0.26380343	11.7488	0.0
H-SSM	12321	KKI	10	50.0	50.0	33.333333	0.0	0.25254016	5.04	0.0
H-SSM	12321	LEUVEN_1	10	50.0	50.0	33.333333	0.0	0.29123336	20.306	0.0
H-SSM	12321	LEUVEN_2	10	50.0	50.0	33.333333	0.0	0.25213222	4.6176	0.0
H-SSM	12321	MAX_MUN	10	50.0	50.0	33.333333	0.0	0.29751702	21.7984	0.0
