# high-gamma (20-40 Hz) cohort — channel-avg Welch bandpower
patient	II	FAR	PRE30	PRE10	PRE5	IC	POST
chb01	5.866939e-04	5.316410e-04	6.543929e-04	5.330534e-04	5.464476e-04	8.500558e-04	3.575052e-03
chb02	2.994270e-03	3.082520e-02	5.165943e-01	1.546689e-01	1.381627e-02	7.107635e-02	4.247477e-03
chb03	7.920122e-03	1.798355e-02	7.959442e-03	6.110200e-03	7.846918e-03	1.007372e-02	3.965135e-02
chb04	8.437325e-03	8.839515e-02	1.836367e-02	2.765770e-02	1.644454e-01	3.278768e-02	1.918446e-02
chb05	3.489390e-03	4.462705e-03	2.369893e-03	1.154223e-02	5.536143e-03	4.925202e-03	1.405522e-02
chb06	2.511481e-04	8.039886e-04	3.755566e-04	1.123661e-03	1.144899e-03	8.649470e-05	2.754788e-03
chb07	4.478446e-03	2.392998e-01	2.904076e-02	1.103777e-01	1.467298e-02	1.021366e-02	3.239454e-02
chb08	7.630608e-03	4.807615e-02	4.600532e-03	1.090192e-02	1.037402e-02	1.299032e-02	1.004513e-02
chb09	8.139035e-03	1.936584e-04	1.853909e-04	2.241109e-04	1.156739e-03	1.034750e-03	2.353077e-03
chb10	1.067788e-03	3.473738e-03	4.645071e-03	6.824501e-04	1.552507e-03	5.697590e-03	4.093420e-03
chb11	2.995172e-03	3.312201e-03	4.493448e-03	3.261171e-03	9.572853e-03	2.719631e-02	1.066810e-01
chb12	7.224947e-03	3.666969e-03	4.510268e-03	1.342317e-02	1.805242e-02	1.568034e-02	3.338315e-02
chb13	6.238499e-03	2.141665e-02	1.833060e-02	6.979554e-03	4.511696e-03	1.603672e-02	7.038790e-03
chb14	1.158450e-03	1.183549e-04	3.441931e-04	1.914265e-04	1.618612e-03	1.264028e-04	4.105252e-04
chb15	1.016798e-02	8.679204e-03	5.705446e-03	5.168685e-03	7.837546e-03	9.062304e-03	7.752345e-03
chb16	1.233082e-02	2.798079e-03	6.421575e-03	6.302982e-03	4.951415e-03	3.634901e-02	1.734895e-02
chb17	4.254176e-03	8.543542e-03	6.937709e-03	4.659920e-03	5.472753e-03	1.220051e-02	3.742318e-03
chb18	1.100446e-03	8.687952e-04	1.362710e-03	1.742237e-03	1.137848e-03	3.085289e-03	3.034945e-03
chb19	2.217557e-03	1.926130e-03	3.254142e-03	2.457659e-03	2.499204e-03	9.492451e-03	4.725920e-03
chb20	3.599930e-03	2.484509e-03	1.464081e-03	2.610773e-03	6.041200e-03	4.657175e-03	8.179543e-03
chb21	1.066216e-02	2.958589e-02	5.018486e-01	1.689007e-02	4.911948e-03	8.029277e-03	7.085918e-03
chb22	6.087113e-03	1.373000e-02	5.593277e-03	7.970707e-03	9.452750e-03	1.237431e-02	1.364686e-02
chb23	2.587481e-03	7.589634e-03	7.432542e-03	1.127558e-02	8.759086e-03	6.805815e-02	1.295948e-01
chb24	8.287210e-03	3.135356e-02	5.629916e-03	5.507120e-02	4.362852e-02	3.201848e-02	3.781027e-02
