draw	N_patients	dip_median	spike_median
0	24	0.297325	0.315936
1	24	0.362513	0.265950
2	24	0.268377	0.264136
3	24	0.290400	0.370474
4	24	0.371123	0.266922
5	24	0.305062	0.188117
6	24	0.321679	0.299787
7	24	0.362002	0.273717
8	24	0.341016	0.230273
9	24	0.363222	0.244177
10	24	0.330446	0.125756
11	24	0.355808	0.250812
12	24	0.331572	0.241781
13	24	0.298946	0.277003
14	24	0.312000	0.161215
15	24	0.343291	0.135844
16	24	0.341638	0.353167
17	24	0.328504	0.230640
18	24	0.274587	0.113722
19	24	0.374079	0.218533
20	24	0.254273	0.334927
21	24	0.310319	0.313795
22	24	0.411961	0.308911
23	24	0.315157	0.290179
24	24	0.327621	0.199030
25	24	0.313304	0.206116
26	24	0.284497	0.227801
27	24	0.375016	0.211482
28	24	0.309293	0.194870
29	24	0.341351	0.283937
30	24	0.256136	0.206613
31	24	0.327980	0.198908
32	24	0.351199	0.189026
33	24	0.339566	0.310008
34	24	0.292983	0.321956
35	24	0.374936	0.361803
36	24	0.345102	0.297913
37	24	0.284943	0.269544
38	24	0.334709	0.172907
39	24	0.433290	0.325453
40	24	0.319719	0.226847
41	24	0.290378	0.325362
42	24	0.264611	0.197579
43	24	0.329717	0.212378
44	24	0.351060	0.261061
45	24	0.352046	0.254816
46	24	0.356744	0.174540
47	24	0.331015	0.237301
48	24	0.286071	0.184902
49	24	0.315272	0.253680
50	24	0.350832	0.196200
51	24	0.331591	0.201624
52	24	0.306522	0.178496
53	24	0.239020	0.178877
54	24	0.344709	0.177998
55	24	0.310396	0.226757
56	24	0.282393	0.192761
57	24	0.269753	0.171416
58	24	0.302302	0.222563
59	24	0.309731	0.227613
60	24	0.331035	0.205670
61	24	0.312017	0.284294
62	24	0.324480	0.164816
63	24	0.330155	0.261830
64	24	0.371697	0.185113
65	24	0.263856	0.289842
66	24	0.341767	0.216697
67	24	0.313028	0.221697
68	24	0.286709	0.216048
69	24	0.324034	0.170129
70	24	0.346263	0.215540
71	24	0.353098	0.229294
72	24	0.335404	0.138520
73	24	0.333992	0.227167
74	24	0.290800	0.121293
75	24	0.289339	0.186840
76	24	0.266050	0.238505
77	24	0.352083	0.325807
78	24	0.312102	0.185490
79	24	0.330405	0.309256
80	24	0.326932	0.226964
81	24	0.309319	0.325284
82	24	0.340607	0.121489
83	24	0.335894	0.186474
84	24	0.356299	0.218518
85	24	0.373503	0.228322
86	24	0.332816	0.291318
87	24	0.258611	0.182682
88	24	0.361405	0.279106
89	24	0.268844	0.277239
90	24	0.280316	0.229385
91	24	0.288755	0.289800
92	24	0.304274	0.315593
93	24	0.304544	0.182661
94	24	0.327099	0.163303
95	24	0.341276	0.267143
96	24	0.318236	0.213451
97	24	0.328412	0.182950
98	24	0.349303	0.336321
99	24	0.341043	0.252347
