epoch	t_rel_s	assoc
0	-89.843750	34.5230337706
1	-89.531250	43.3326907205
2	-89.218750	23.9248851494
3	-88.906250	19.8767058261
4	-88.593750	16.2517018765
5	-88.281250	23.5950291695
6	-87.968750	17.8687441968
7	-87.656250	20.0359257461
8	-87.343750	22.0794755190
9	-87.031250	18.3995506629
10	-86.718750	18.5974509029
11	-86.406250	16.2431571072
12	-86.093750	16.4294426640
13	-85.781250	13.9480714744
14	-85.468750	18.6584210729
15	-85.156250	22.5571143165
16	-84.843750	15.6066733833
17	-84.531250	21.4800785117
18	-84.218750	20.5807917325
19	-83.906250	17.2556352716
20	-83.593750	13.8881622040
21	-83.281250	11.0190341428
22	-82.968750	12.9689006511
23	-82.656250	17.9865907893
24	-82.343750	24.0332072683
25	-82.031250	23.3391264684
26	-81.718750	32.2382982425
27	-81.406250	16.6387390920
28	-81.093750	22.7757083052
29	-80.781250	31.7274807664
30	-80.468750	21.7461029146
31	-80.156250	17.1876149848
32	-79.843750	16.8065396164
33	-79.531250	16.7338456153
34	-79.218750	20.7403784426
35	-78.906250	26.1509721132
36	-78.593750	26.8886420931
37	-78.281250	22.1873052765
38	-77.968750	17.1626531396
39	-77.656250	15.8366464481
40	-77.343750	16.1969209442
41	-77.031250	14.6728519551
42	-76.718750	21.2269701703
43	-76.406250	17.6522441092
44	-76.093750	15.1061236750
45	-75.781250	21.7119166544
46	-75.468750	16.7231858456
47	-75.156250	18.6010293985
48	-74.843750	28.5771982752
49	-74.531250	14.0285925843
50	-74.218750	16.3193501799
51	-73.906250	20.2872409676
52	-73.593750	15.2110252630
53	-73.281250	12.2586316572
54	-72.968750	18.7436102835
55	-72.656250	16.7972863732
56	-72.343750	17.3065876557
57	-72.031250	34.8268801181
58	-71.718750	20.2962255422
59	-71.406250	14.3874299157
60	-71.093750	18.0419827683
61	-70.781250	14.9170607411
62	-70.468750	14.6378875077
63	-70.156250	15.6037562930
64	-69.843750	15.1291864573
65	-69.531250	36.6855896999
66	-69.218750	66.7697993932
67	-68.906250	58.2353045278
68	-68.593750	14.9557675395
69	-68.281250	16.6853791325
70	-67.968750	13.0917705899
71	-67.656250	15.2585355770
72	-67.343750	24.4660535051
73	-67.031250	16.3128097174
74	-66.718750	37.6820204807
75	-66.406250	167.5505649009
76	-66.093750	177.6873798943
77	-65.781250	31.6647140762
78	-65.468750	22.6024105429
79	-65.156250	31.6244857471
80	-64.843750	25.1081077786
81	-64.531250	20.1341800497
82	-64.218750	18.0212748977
83	-63.906250	24.0111933070
84	-63.593750	17.4787759295
85	-63.281250	112.5619869706
86	-62.968750	101.1692977201
87	-62.656250	24.8373904508
88	-62.343750	12.7067650240
89	-62.031250	15.7976305218
90	-61.718750	14.2600541686
91	-61.406250	15.7127296068
92	-61.093750	59.3224769799
93	-60.781250	23.0783780004
94	-60.468750	23.9550374157
95	-60.156250	44.0707875610
96	-59.843750	38.0382516192
97	-59.531250	166.4194628923
98	-59.218750	179.9950307905
99	-58.906250	203.9326635286
100	-58.593750	53.9738012049
101	-58.281250	31.7258908226
102	-57.968750	29.1169570377
103	-57.656250	15.5017570513
104	-57.343750	23.0921206736
105	-57.031250	13.5015677233
106	-56.718750	13.7325398452
107	-56.406250	14.5771907353
108	-56.093750	18.8461588410
109	-55.781250	14.9637709437
110	-55.468750	12.7383061504
111	-55.156250	12.4371915541
112	-54.843750	17.6461547140
113	-54.531250	37.5233274739
114	-54.218750	23.7235610784
115	-53.906250	104.0666339181
