epoch	t_rel_s	assoc
0	-89.843750	0.3647043616
1	-89.531250	0.3627614100
2	-89.218750	0.2986290141
3	-88.906250	0.3543209483
4	-88.593750	0.3090491753
5	-88.281250	0.3705325815
6	-87.968750	0.3011436737
7	-87.656250	0.3038792494
8	-87.343750	0.2892781439
9	-87.031250	0.3298139399
10	-86.718750	0.3444680505
11	-86.406250	0.3619377495
12	-86.093750	0.3140860663
13	-85.781250	0.3062936449
14	-85.468750	0.3102330745
15	-85.156250	0.2809655621
16	-84.843750	0.2960840763
17	-84.531250	0.2963318381
18	-84.218750	0.3200697800
19	-83.906250	0.3556464062
20	-83.593750	0.2904426419
21	-83.281250	0.3533764240
22	-82.968750	0.4272029249
23	-82.656250	0.3357346421
24	-82.343750	0.3914029091
25	-82.031250	0.3331007410
26	-81.718750	0.3512547898
27	-81.406250	0.4211868632
28	-81.093750	0.4122652838
29	-80.781250	0.3462460395
30	-80.468750	0.4027340051
31	-80.156250	0.3668785191
32	-79.843750	0.3875806328
33	-79.531250	0.3584333113
34	-79.218750	0.3225502380
35	-78.906250	0.3771879251
36	-78.593750	0.3893405565
37	-78.281250	0.3797496094
38	-77.968750	0.3265992683
39	-77.656250	0.3233538422
40	-77.343750	0.3688345314
41	-77.031250	0.3190328656
42	-76.718750	0.3261794188
43	-76.406250	0.3390644830
44	-76.093750	0.4464087780
45	-75.781250	0.3405167870
46	-75.468750	0.3401519190
47	-75.156250	0.2749492057
48	-74.843750	0.3242833727
49	-74.531250	0.4049466165
50	-74.218750	0.3279203219
51	-73.906250	0.3120705715
52	-73.593750	0.3388504904
53	-73.281250	0.3923056936
54	-72.968750	0.3446622467
55	-72.656250	0.3657367280
56	-72.343750	0.3427418173
57	-72.031250	0.3884324957
58	-71.718750	0.3116779267
59	-71.406250	0.3270343165
60	-71.093750	0.4046118387
61	-70.781250	0.4188430182
62	-70.468750	0.3261332571
63	-70.156250	0.3328760596
64	-69.843750	0.3428745806
65	-69.531250	0.3654898095
66	-69.218750	0.3635847971
67	-68.906250	0.3879431561
68	-68.593750	0.3198229201
69	-68.281250	0.2810542921
70	-67.968750	0.2685380517
71	-67.656250	0.3156628348
72	-67.343750	0.3249747152
73	-67.031250	0.3757471342
74	-66.718750	0.3732121049
75	-66.406250	0.4125313018
76	-66.093750	0.3786159222
77	-65.781250	0.3886765039
78	-65.468750	0.3726559569
79	-65.156250	0.3329844794
80	-64.843750	0.3038169101
81	-64.531250	0.3292817080
82	-64.218750	0.4207081063
83	-63.906250	0.3122623403
84	-63.593750	0.3301782261
85	-63.281250	0.3583185748
86	-62.968750	0.3979566399
87	-62.656250	0.3336938311
88	-62.343750	0.4291393545
89	-62.031250	0.3485098845
90	-61.718750	0.3396308758
91	-61.406250	0.3521506233
92	-61.093750	0.3520815964
93	-60.781250	0.3416550283
94	-60.468750	0.3589436363
95	-60.156250	0.3878318641
96	-59.843750	0.3137503321
97	-59.531250	0.2740748445
98	-59.218750	0.2897715420
99	-58.906250	0.2853330459
100	-58.593750	0.3189082361
101	-58.281250	0.2688138671
102	-57.968750	0.3742667561
103	-57.656250	0.4193617108
104	-57.343750	0.4779378985
105	-57.031250	0.4220217772
106	-56.718750	0.3423390315
107	-56.406250	0.4595644349
108	-56.093750	0.4704571825
109	-55.781250	0.3729333840
110	-55.468750	0.3682526253
111	-55.156250	0.3635954326
112	-54.843750	0.4082671319
113	-54.531250	0.4005271138
114	-54.218750	0.4766896890
115	-53.906250	0.4184438134
116	-53.593750	0.2793060126
117	-53.281250	0.3424529285
118	-52.968750	0.3577816480
119	-52.656250	0.4101568534
120	-52.343750	0.4279117043
121	-52.031250	0.3380735511
