epoch	t_rel_s	assoc
0	-89.843750	0.0124092217
1	-89.531250	0.0107017336
2	-89.218750	0.0193602634
3	-88.906250	0.0279821990
4	-88.593750	0.0175740831
5	-88.281250	0.0119859014
6	-87.968750	0.0175707986
7	-87.656250	0.0347736397
8	-87.343750	0.0194024298
9	-87.031250	0.0244455265
10	-86.718750	0.0153895913
11	-86.406250	0.0135413524
12	-86.093750	0.0108859944
13	-85.781250	0.0132487930
14	-85.468750	0.0129332188
15	-85.156250	0.0117523181
16	-84.843750	0.0115717825
17	-84.531250	0.0179775507
18	-84.218750	0.0092395541
19	-83.906250	0.0101194407
20	-83.593750	0.0081495289
21	-83.281250	0.0137725813
22	-82.968750	0.0124919209
23	-82.656250	0.0133566031
24	-82.343750	0.0222344321
25	-82.031250	0.0156556371
26	-81.718750	0.0149707720
27	-81.406250	0.0140937745
28	-81.093750	0.0125189805
29	-80.781250	0.0181389808
30	-80.468750	0.0101074348
31	-80.156250	0.0103164268
32	-79.843750	0.0136432750
33	-79.531250	0.0140890579
34	-79.218750	0.0115851495
35	-78.906250	0.0092614252
36	-78.593750	0.0109937853
37	-78.281250	0.0136062991
38	-77.968750	0.0145174010
39	-77.656250	0.0159814546
40	-77.343750	0.0164278927
41	-77.031250	0.0131713104
42	-76.718750	0.0112911363
43	-76.406250	0.0154238855
44	-76.093750	0.0116439154
45	-75.781250	0.0100401193
46	-75.468750	0.0144346325
47	-75.156250	0.0188717733
48	-74.843750	0.0153009453
49	-74.531250	0.0186602860
50	-74.218750	0.0138382960
51	-73.906250	0.0122840307
52	-73.593750	0.0170861323
53	-73.281250	0.0114439303
54	-72.968750	0.0109246056
55	-72.656250	0.0160477922
56	-72.343750	0.0127015611
57	-72.031250	0.0142046189
58	-71.718750	0.0157738844
59	-71.406250	0.0230871642
60	-71.093750	0.0101894756
61	-70.781250	0.0114221930
62	-70.468750	0.0113611659
63	-70.156250	0.0202427601
64	-69.843750	0.0123374727
65	-69.531250	0.0137730616
66	-69.218750	0.0126916623
67	-68.906250	0.0224671285
68	-68.593750	0.0146781094
69	-68.281250	0.0091484052
70	-67.968750	0.0090640169
71	-67.656250	0.0080191310
72	-67.343750	0.0146506383
73	-67.031250	0.0250852938
74	-66.718750	0.0192341026
75	-66.406250	0.0141374047
76	-66.093750	0.0103054964
77	-65.781250	0.0113979731
78	-65.468750	0.0144346364
79	-65.156250	0.0123399059
80	-64.843750	0.0173359234
81	-64.531250	0.0135784896
82	-64.218750	0.0074221937
83	-63.906250	0.0097691731
84	-63.593750	0.0179516842
85	-63.281250	0.0166184395
86	-62.968750	0.0090515414
87	-62.656250	0.0114157746
88	-62.343750	0.0142140835
89	-62.031250	0.0184895486
90	-61.718750	0.0164265905
91	-61.406250	0.0195647060
92	-61.093750	0.0202437509
93	-60.781250	0.0244782301
94	-60.468750	0.0243938324
95	-60.156250	0.0226583813
96	-59.843750	0.0253573875
97	-59.531250	0.0247052048
98	-59.218750	0.0133072832
99	-58.906250	0.0111269528
100	-58.593750	0.0157966709
101	-58.281250	0.0124594314
102	-57.968750	0.0138193395
103	-57.656250	0.0100312734
104	-57.343750	0.0094062221
105	-57.031250	0.0077703652
106	-56.718750	0.0108375488
107	-56.406250	0.0092357292
108	-56.093750	0.0130894315
109	-55.781250	0.0177062293
110	-55.468750	0.0155170315
111	-55.156250	0.0117359184
112	-54.843750	0.0150758285
113	-54.531250	0.0150511991
114	-54.218750	0.0145427802
115	-53.906250	0.0139074047
116	-53.593750	0.0187307432
117	-53.281250	0.0139268299
118	-52.968750	0.0147298994
119	-52.656250	0.0137391262
120	-52.343750	0.0135326535
121	-52.031250	0.0132841770
122	-51.718750	0.0123726112
123	-51.406250	0.0140840565
124	-51.093750	0.0158922702
125	-50.781250	0.0158360408
126	-50.468750	0.0139551002
127	-50.156250	0.0134859524
128	-49.843750	0.0132034794
129	-49.531250	0.0107416615
130	-49.218750	0.0101554583
131	-48.906250	0.0224156024
132	-48.593750	0.0178688759
133	-48.281250	0.0189443130
134	-47.968750	0.0256866044
135	-47.656250	0.0162163106
136	-47.343750	0.0104698889
137	-47.031250	0.0119521943
138	-46.718750	0.0158751574
139	-46.406250	0.0112780243
140	-46.093750	0.0197521354
141	-45.781250	0.0217716141
142	-45.468750	0.0160012248
143	-45.156250	0.0196596038
144	-44.843750	0.0220120472
145	-44.531250	0.0292579168
146	-44.218750	0.0303385594
147	-43.906250	0.0429243518
148	-43.593750	0.0402578873
149	-43.281250	0.0205815472
150	-42.968750	0.0183119741
151	-42.656250	0.0194466452
152	-42.343750	0.0152118920
153	-42.031250	0.0145515993
154	-41.718750	0.0132120827
155	-41.406250	0.0145496034
156	-41.093750	0.0153385550
157	-40.781250	0.0140080259
158	-40.468750	0.0156070483
159	-40.156250	0.0119634380
160	-39.843750	0.0101962759
161	-39.531250	0.0089979925
162	-39.218750	0.0119462604
163	-38.906250	0.0106020324
164	-38.593750	0.0121886441
165	-38.281250	0.0191109833
166	-37.968750	0.0161597470
167	-37.656250	0.0172409435
168	-37.343750	0.0192043890
169	-37.031250	0.0184689651
170	-36.718750	0.0134606532
171	-36.406250	0.0144728961
172	-36.093750	0.0161759518
173	-35.781250	0.0155824997
174	-35.468750	0.0114943849
175	-35.156250	0.0119830738
176	-34.843750	0.0155532565
177	-34.531250	0.0195744089
178	-34.218750	0.0146617368
179	-33.906250	0.0424245682
180	-33.593750	0.0357840308
181	-33.281250	0.0371450068
182	-32.968750	0.0163701047
183	-32.656250	0.0100296779
184	-32.343750	0.0113079875
185	-32.031250	0.0104880697
186	-31.718750	0.0128725358
187	-31.406250	0.0121221981
188	-31.093750	0.0122441170
189	-30.781250	0.0088152578
190	-30.468750	0.0110269279
191	-30.156250	0.0228934337
192	-29.843750	0.0218051432
193	-29.531250	0.0305435050
194	-29.218750	0.0242042939
195	-28.906250	0.0147852555
196	-28.593750	0.0140193967
197	-28.281250	0.0173851097
198	-27.968750	0.0100067843
199	-27.656250	0.0101384617
200	-27.343750	0.0147842691
201	-27.031250	0.0139732422
202	-26.718750	0.0142871102
203	-26.406250	0.0138134345
204	-26.093750	0.0116355407
205	-25.781250	0.0138796908
206	-25.468750	0.0118835414
207	-25.156250	0.0134758017
208	-24.843750	0.0139416808
209	-24.531250	0.0112955507
210	-24.218750	0.0129496672
211	-23.906250	0.0164380054
212	-23.593750	0.0149350914
213	-23.281250	0.0185221897
214	-22.968750	0.0216712564
215	-22.656250	0.0170648430
216	-22.343750	0.0204645322
217	-22.031250	0.0183373362
218	-21.718750	0.0142138449
219	-21.406250	0.0201942634
220	-21.093750	0.0172288777
221	-20.781250	0.0101779348
222	-20.468750	0.0163235310
223	-20.156250	0.0143953752
224	-19.843750	0.0149927349
225	-19.531250	0.0140412446
226	-19.218750	0.0137397595
227	-18.906250	0.0128307719
228	-18.593750	0.0166952105
229	-18.281250	0.0170960240
230	-17.968750	0.0184972178
231	-17.656250	0.0175329870
232	-17.343750	0.0173493488
233	-17.031250	0.0151769290
234	-16.718750	0.0143808536
235	-16.406250	0.0181823668
236	-16.093750	0.0194297988
237	-15.781250	0.0183961387
238	-15.468750	0.0212573833
239	-15.156250	0.0132811531
240	-14.843750	0.0134472188
241	-14.531250	0.0135368178
242	-14.218750	0.0109175764
243	-13.906250	0.0123786065
244	-13.593750	0.0127093280
245	-13.281250	0.0141093431
246	-12.968750	0.0159448502
247	-12.656250	0.0224778890
248	-12.343750	0.0202810540
249	-12.031250	0.0180644388
250	-11.718750	0.0266170475
251	-11.406250	0.0243080337
252	-11.093750	0.0315397812
253	-10.781250	0.0232427934
254	-10.468750	0.0184853967
255	-10.156250	0.0139190390
256	-9.843750	0.0177148739
257	-9.531250	0.0119253839
258	-9.218750	0.0121741115
259	-8.906250	0.0181429415
260	-8.593750	0.0130430746
261	-8.281250	0.0158217640
262	-7.968750	0.0162529599
263	-7.656250	0.0192540551
264	-7.343750	0.0178425709
265	-7.031250	0.0129044342
266	-6.718750	0.0168598011
267	-6.406250	0.0122796486
268	-6.093750	0.0184067197
269	-5.781250	0.0246501647
270	-5.468750	0.0253841321
271	-5.156250	0.0276967627
272	-4.843750	0.0150509522
273	-4.531250	0.0172315709
274	-4.218750	0.0148295178
275	-3.906250	0.0113335273
276	-3.593750	0.0118162799
277	-3.281250	0.0139026430
278	-2.968750	0.0114208178
279	-2.656250	0.0159832411
280	-2.343750	0.0182508724
281	-2.031250	0.0147746283
282	-1.718750	0.0145706045
283	-1.406250	0.0195341705
284	-1.093750	0.0168989294
285	-0.781250	0.0157966028
286	-0.468750	0.0144309220
287	-0.156250	0.0127172769
288	0.156250	0.0164772511
289	0.468750	0.0119478190
290	0.781250	0.0142610966
291	1.093750	0.0123547585
292	1.406250	0.0176494550
293	1.718750	0.0185452932
294	2.031250	0.0223943880
295	2.343750	0.0125202809
296	2.656250	0.0165111995
297	2.968750	0.0174843994
298	3.281250	0.0145529347
299	3.593750	0.0184710078
300	3.906250	0.0170777309
301	4.218750	0.0185840196
302	4.531250	0.0128668941
303	4.843750	0.0165948060
304	5.156250	0.0178498995
305	5.468750	0.0205617654
306	5.781250	0.0194019664
307	6.093750	0.0171263257
308	6.406250	0.0177836056
309	6.718750	0.0152664504
310	7.031250	0.0147657014
311	7.343750	0.0162818610
312	7.656250	0.0172874929
313	7.968750	0.0165577356
314	8.281250	0.0186272914
315	8.593750	0.0193053477
316	8.906250	0.0229487619
317	9.218750	0.0143375034
318	9.531250	0.0180826523
319	9.843750	0.0153722220
320	10.156250	0.0221604059
321	10.468750	0.0180079650
322	10.781250	0.0230451861
323	11.093750	0.0215165298
324	11.406250	0.0219840006
325	11.718750	0.0203072963
326	12.031250	0.0194784244
327	12.343750	0.0191103407
328	12.656250	0.0204548923
329	12.968750	0.0228043916
330	13.281250	0.0208162564
331	13.593750	0.0189407536
332	13.906250	0.0197391235
333	14.218750	0.0258602843
334	14.531250	0.0146547928
335	14.843750	0.0170678057
336	15.156250	0.0181725279
337	15.468750	0.0168016137
338	15.781250	0.0194426205
339	16.093750	0.0142361111
340	16.406250	0.0131274587
341	16.718750	0.0178917665
342	17.031250	0.0172173016
343	17.343750	0.0186182908
344	17.656250	0.0283672662
345	17.968750	0.0250781951
346	18.281250	0.0192384139
347	18.593750	0.0220381763
348	18.906250	0.0283494555
349	19.218750	0.0278468032
350	19.531250	0.0261665480
351	19.843750	0.0218658532
352	20.156250	0.0183940645
353	20.468750	0.0173161021
354	20.781250	0.0173865224
355	21.093750	0.0165494841
356	21.406250	0.0179712557
357	21.718750	0.0168054286
358	22.031250	0.0180357681
359	22.343750	0.0194472166
360	22.656250	0.0244737167
361	22.968750	0.0251245033
362	23.281250	0.0238598000
363	23.593750	0.0255885640
364	23.906250	0.0215221176
365	24.218750	0.0169970839
366	24.531250	0.0173005482
367	24.843750	0.0208092659
368	25.156250	0.0185258842
369	25.468750	0.0207304790
370	25.781250	0.0198587289
371	26.093750	0.0205857711
372	26.406250	0.0179708397
373	26.718750	0.0215395596
374	27.031250	0.0238185302
375	27.343750	0.0182524310
376	27.656250	0.0187763355
377	27.968750	0.0204507996
378	28.281250	0.0149701869
379	28.593750	0.0207620238
380	28.906250	0.0227928870
381	29.218750	0.0206896529
382	29.531250	0.0177644524
383	29.843750	0.0192034707
384	30.156250	0.0176700656
385	30.468750	0.0197800892
386	30.781250	0.0200254767
387	31.093750	0.0266808067
388	31.406250	0.0202639786
389	31.718750	0.0244872762
390	32.031250	0.0241236345
391	32.343750	0.0202303934
392	32.656250	0.0207455557
393	32.968750	0.0210542282
394	33.281250	0.0199464254
395	33.593750	0.0203954003
396	33.906250	0.0164970203
397	34.218750	0.0171963962
398	34.531250	0.0249751109
399	34.843750	0.0182942415
400	35.156250	0.0197936365
401	35.468750	0.0186605879
402	35.781250	0.0198641448
403	36.093750	0.0162800284
404	36.406250	0.0186859202
405	36.718750	0.0146116623
406	37.031250	0.0209173508
407	37.343750	0.0211970382
408	37.656250	0.0187079401
409	37.968750	0.0216270441
