epoch	t_rel_s	assoc
0	-89.843750	1.5739885102
1	-89.531250	1.1456261137
2	-89.218750	1.2212452235
3	-88.906250	1.5755715505
4	-88.593750	1.2677521996
5	-88.281250	1.1880192279
6	-87.968750	1.3980950657
7	-87.656250	1.2664785514
8	-87.343750	1.3173122650
9	-87.031250	1.5566344600
10	-86.718750	1.2120371517
11	-86.406250	1.5317945181
12	-86.093750	1.4198863932
13	-85.781250	1.3577023861
14	-85.468750	1.1903140627
15	-85.156250	1.2381068743
16	-84.843750	1.2959210054
17	-84.531250	1.6383653726
18	-84.218750	1.8486949442
19	-83.906250	1.5979193103
20	-83.593750	1.1722916551
21	-83.281250	1.5662021114
22	-82.968750	2.4593590994
23	-82.656250	2.6243941438
24	-82.343750	1.9939079157
25	-82.031250	1.9783626953
26	-81.718750	1.2281022663
27	-81.406250	1.7636820075
28	-81.093750	1.8488877139
29	-80.781250	1.4230190027
30	-80.468750	1.8144460660
31	-80.156250	2.3027615722
32	-79.843750	1.7972938409
33	-79.531250	2.9636415739
34	-79.218750	3.4504903629
35	-78.906250	1.7575658838
36	-78.593750	1.6963578389
37	-78.281250	1.7602737026
38	-77.968750	1.5588966683
39	-77.656250	1.3079853758
40	-77.343750	1.9108102448
41	-77.031250	1.6130511324
42	-76.718750	1.5584534668
43	-76.406250	3.2967182465
44	-76.093750	1.8391036496
45	-75.781250	1.8696737074
46	-75.468750	2.1022213119
47	-75.156250	2.2035894340
48	-74.843750	2.6226374138
49	-74.531250	1.2276654486
50	-74.218750	1.3845888029
51	-73.906250	2.0345897160
52	-73.593750	2.7361329769
53	-73.281250	2.4295861557
54	-72.968750	2.3097214066
55	-72.656250	2.5723149955
56	-72.343750	1.4338562271
57	-72.031250	1.9977721049
58	-71.718750	1.7868327750
59	-71.406250	2.4306900686
60	-71.093750	2.1676466589
61	-70.781250	2.3519632335
62	-70.468750	2.0607159282
63	-70.156250	2.0737336690
64	-69.843750	2.7098463183
65	-69.531250	3.6846813648
66	-69.218750	2.8327901050
67	-68.906250	4.6169170788
68	-68.593750	2.1665080466
69	-68.281250	1.9458535263
70	-67.968750	3.3064732402
71	-67.656250	1.9480927339
72	-67.343750	2.1534926796
73	-67.031250	2.9884568652
74	-66.718750	2.6940308595
75	-66.406250	2.1993632918
76	-66.093750	3.0170785452
77	-65.781250	2.4858915250
78	-65.468750	2.1622262376
79	-65.156250	2.6947184758
80	-64.843750	1.9118521570
81	-64.531250	2.2762780967
82	-64.218750	1.5385843484
83	-63.906250	1.3290493054
84	-63.593750	1.7359632902
85	-63.281250	2.1445557270
86	-62.968750	1.5783231420
87	-62.656250	1.9424446622
88	-62.343750	2.2082956668
89	-62.031250	1.9642148365
90	-61.718750	1.6519542586
91	-61.406250	1.4820307505
92	-61.093750	1.2946921292
93	-60.781250	1.8272445306
