epoch	t_rel_s	assoc
0	-89.843750	1.4988980000
1	-89.531250	1.3711920000
2	-89.218750	1.5428210000
3	-88.906250	1.7297430000
4	-88.593750	1.2186800000
5	-88.281250	1.2287600000
6	-87.968750	1.4828150000
7	-87.656250	1.3619210000
8	-87.343750	1.5357110000
9	-87.031250	1.4314610000
10	-86.718750	1.2466950000
11	-86.406250	3.1566910000
12	-86.093750	2.2363680000
13	-85.781250	2.1311570000
14	-85.468750	1.3668350000
15	-85.156250	1.2889150000
16	-84.843750	1.9779210000
17	-84.531250	2.2222310000
18	-84.218750	1.4347040000
19	-83.906250	1.8944580000
20	-83.593750	2.8425990000
21	-83.281250	1.5102190000
22	-82.968750	1.1293910000
23	-82.656250	1.3365480000
24	-82.343750	1.3978410000
25	-82.031250	1.8763960000
26	-81.718750	2.0807180000
27	-81.406250	1.3490700000
28	-81.093750	1.2561250000
29	-80.781250	1.4878000000
30	-80.468750	1.5456570000
31	-80.156250	1.4798880000
32	-79.843750	1.7309790000
33	-79.531250	1.2843760000
34	-79.218750	1.5865340000
35	-78.906250	1.6910640000
36	-78.593750	1.7984640000
37	-78.281250	1.8264110000
38	-77.968750	1.3061140000
39	-77.656250	1.0967800000
40	-77.343750	1.6512630000
41	-77.031250	2.4804840000
42	-76.718750	1.4722270000
43	-76.406250	5.2590360000
44	-76.093750	2.5935190000
45	-75.781250	2.8681590000
46	-75.468750	2.3395040000
47	-75.156250	1.8696300000
48	-74.843750	1.7469120000
49	-74.531250	2.5700570000
50	-74.218750	7.6699530000
51	-73.906250	2.2666090000
52	-73.593750	2.5876910000
53	-73.281250	1.5339470000
54	-72.968750	1.6342470000
55	-72.656250	1.5077670000
56	-72.343750	3.0810730000
57	-72.031250	2.1218580000
58	-71.718750	2.5851040000
59	-71.406250	1.8021480000
60	-71.093750	1.6283290000
61	-70.781250	2.1484850000
62	-70.468750	1.8923220000
63	-70.156250	1.5941350000
64	-69.843750	1.6375210000
65	-69.531250	2.3475980000
66	-69.218750	2.8130140000
67	-68.906250	1.8564600000
68	-68.593750	2.1378460000
69	-68.281250	5.5768870000
70	-67.968750	2.2619900000
71	-67.656250	1.7911860000
72	-67.343750	2.2601900000
73	-67.031250	5.5428830000
74	-66.718750	3.8969780000
75	-66.406250	2.5225340000
76	-66.093750	1.5383870000
77	-65.781250	1.6593570000
78	-65.468750	1.5261850000
79	-65.156250	1.7565640000
80	-64.843750	1.4830310000
81	-64.531250	1.2671450000
