# schema=dynamics.v1
# stride=128
# time_cs=centiseconds_relative_to_onset
subject_id	label	site	time_cs	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54	f55	f56	f57	f58	f59	f60	f61	f62	f63
chb02_chb02_16_0	3	chb02	-5998	0.52222493	-0.24623482	0.09324460	1.58475576	0.35379105	0.45182450	0.09731791	0.74265367	0.54159778	0.02002132	0.14171527	0.47016990	0.33901810	0.36438805	0.13654950	0.78796016	0.52706814	-0.31279886	0.14817803	0.15599134	0.27992627	0.29152433	0.11693370	0.76983756	0.51738172	0.15980580	0.13525252	0.41780681	0.28485059	0.23323336	0.13654950	0.69734719	0.43989034	0.09989816	0.11909563	0.61229830	0.21098581	0.18222876	0.07443282	0.81514405	0.39145823	0.63241045	0.11586425	0.73198537	0.12234807	0.05107408	0.04827842	0.72453108	0.34786933	0.95857422	0.08031909	1.31545985	0.07310488	-0.08736698	0.02866263	0.59767292	0.30912364	0.11321097	0.08678185	0.35048283	0.06325625	-0.19666255	0.02866263	0.51612125
chb02_chb02_16_1	3	chb02	-5948	-0.10254931	0.41940554	0.58118264	-0.16566767	0.47197470	0.26966522	0.07443282	0.22615975	-0.05896041	0.62575405	0.60057091	-0.43496358	0.47689902	0.24780611	0.12347230	0.22615975	-0.01537151	0.34618510	0.62319056	-0.75662259	0.44242879	0.18951513	0.15616529	0.21709846	-0.02505793	0.27296466	0.58441402	-1.15308602	0.43750447	0.11665142	0.12020300	0.23522105	0.03790381	1.08504589	0.57471989	-1.26529265	0.50152061	0.08750594	0.11039510	0.28958883	0.05727666	0.88535378	0.56502576	-0.81646613	0.45227743	0.09479231	0.06789422	0.29865013	0.01368776	0.41940554	0.53917473	-0.70425950	0.42765583	0.06564682	0.00577754	0.18991456	0.00884455	0.39943633	0.56825713	-1.18300779	0.44735311	0.11665142	0.01231613	0.13554678
chb02_chb02_16_2	3	chb02	-5898	-0.45610373	-0.49252175	0.22249971	-0.18810900	-0.16326242	-0.13837158	0.06135562	0.18991456	-0.61108649	-0.53911658	0.30005278	-0.06842192	-0.14848946	0.02192859	0.01558543	0.38926310	-0.80481493	-0.13307596	0.35175482	-0.55465066	-0.23220288	0.09479231	-0.09884003	0.45269217	-0.89199273	0.49262597	0.40668825	-0.89127055	-0.07954900	0.20408788	-0.08903214	0.51612125	-0.94042485	1.09170230	0.50039820	-1.08576204	-0.01060853	0.26237885	-0.06614704	0.52518255	-1.02275944	2.09016283	0.53271198	-0.71922038	-0.04507877	0.24051973	-0.13807162	0.37114050	-1.22133109	1.91043993	0.56825713	-0.24795253	-0.00075990	0.24780611	-0.16749531	0.19897586	-1.44896202	1.87050151	0.56179438	-0.24047209	-0.10417059	0.23323336	-0.24595849	0.05399511
chb02_chb02_16_3	3	chb02	-5848	-0.17519748	-1.13153649	0.04154256	-0.12078502	-0.02045717	-0.00721689	-0.04326195	-0.02755656	-0.19457032	-0.75212149	0.08355047	0.35048283	-0.02538149	0.08750594	-0.01056896	0.00868863	-0.23331601	-0.23957842	0.11586425	1.06860526	-0.09924627	0.15308328	-0.03999265	0.01774992	-0.25753207	-0.17967078	0.12878976	1.11348792	-0.11401923	0.16036965	0.00577754	0.04493381	-0.22362959	0.10655457	0.15464078	0.26819797	-0.07954900	0.16765602	0.02212403	0.10836289	-0.20425675	0.03333413	0.18372318	-0.25543298	-0.10909491	0.10207868	-0.00076106	0.15366938	-0.15098142	0.11986738	0.22573109	-0.67433773	-0.10417059	0.01464222	0.03520123	0.23522105	-0.08317647	0.32621589	0.25804487	-0.91371187	-0.06970036	0.00006948	0.04500912	0.29865013
chb02_chb02_16_4	3	chb02	-5798	0.07180629	0.48596957	-0.07801842	-0.02353927	0.12234807	0.06564682	0.13981880	-0.15441472	0.10570877	0.69897449	-0.10710082	0.00638250	0.06818057	0.05107408	0.06789422	-0.01849526	0.15898409	0.51259519	-0.10386944	0.10362824	0.06325625	0.02921496	0.03193193	0.07211771	0.17835694	0.19974422	-0.10386944	0.27567841	0.03371033	-0.00721689	0.01558543	0.18991456	0.21225942	0.02002132	-0.06509291	0.41780681	0.00416442	-0.03636238	-0.01383826	0.30771142	0.28006437	-0.03322991	-0.02631637	0.84419200	0.01893738	-0.00721689	-0.00403036	0.40738569	0.33818291	0.10655457	0.03507980	0.52253300	0.02878602	-0.04364875	0.03847053	0.38926310	0.37692860	0.29959027	-0.04570464	0.23079576	0.03371033	-0.03636238	-0.02691545	0.30771142
chb02_chb02_16_5	3	chb02	-5748	0.15414088	1.19154835	-0.22989317	0.16347178	-0.31591630	0.35710168	-0.03345405	-0.12723083	0.16867051	1.23814317	-0.24605006	0.20087399	-0.27159743	0.48825636	-0.05306985	-0.03661786	0.18320015	1.17823554	-0.22989317	0.48513079	-0.22235424	0.59026556	-0.05633915	-0.00037267	0.15414088	1.49774291	-0.23635593	0.47765034	-0.18295969	0.54654733	-0.07922424	0.04493381	0.15898409	1.79728107	-0.22989317	0.16347178	-0.12386787	0.59755193	-0.06287774	0.18991456	0.19288657	1.68412221	-0.21373628	0.01386294	-0.12879218	0.66312927	-0.05633915	0.35301791	0.20257299	1.45780449	-0.24605006	0.24575664	-0.12386787	0.72142024	-0.06941634	0.55236644	0.22678905	0.93194861	-0.28482659	0.70954405	-0.11894355	0.83071582	-0.07595494	0.70640849
chb02_chb02_16_6	3	chb02	-5698	0.25100511	-0.69221386	0.19341731	0.56741565	0.00908874	-0.33510360	0.08097141	0.12648549	0.26553474	-0.73880868	0.21603696	0.55993521	0.03371033	-0.26223989	0.06789422	0.28052753	0.29459401	-0.56574219	0.18695456	0.61229830	0.02878602	-0.17480343	0.02212403	0.39832439	0.29943722	-0.58571140	0.11909563	0.79182891	0.00416442	-0.13108521	-0.04980055	0.47081477	0.31881006	-0.41264491	0.10293874	0.74694626	-0.00075990	-0.01450326	-0.07595494	0.62485681	0.34786933	-0.20629640	0.12555838	0.54497432	0.01893738	0.14579691	-0.05306985	0.78796016	0.36724217	-0.05985552	0.14171527	0.32056106	0.03863465	0.26966522	-0.02037686	0.82420535	0.37208538	0.12652378	0.17726043	0.27567841	0.04355897	0.32066982	0.02866263	0.95106350
chb02_chb02_16_7	3	chb02	-5648	-0.05411720	0.55919001	-0.16849699	0.05874559	-0.10909491	0.56840645	-0.11191723	0.38926310	-0.04927399	0.53256440	-0.13941459	0.04378471	-0.10417059	0.59026556	-0.09884003	0.37114050	-0.01052830	0.33952869	-0.08448117	-0.04598060	-0.08447332	0.69227476	-0.06941634	0.37114050	-0.03474435	0.27962106	-0.06186153	-0.00109795	-0.07462468	0.65584290	-0.04653125	0.37114050	-0.02505793	0.27962106	-0.01662224	0.29811973	-0.01060853	0.59026556	0.00250824	0.43456958	0.02337418	0.29959027	0.03507980	0.19339355	0.00908874	0.56112007	0.00577754	0.46175347	0.01368776	0.30624668	0.03831118	0.14103045	0.00416442	0.47368362	-0.00729966	0.40738569	-0.00084188	0.39943633	0.04477394	0.37292416	0.09280216	0.39353353	0.03193193	0.38020180
chb02_chb02_16_8	3	chb02	-5598	-0.49484942	0.45934396	-0.01339086	-0.88379011	0.11249943	0.06564682	-0.06941634	-0.22690509	-0.45610373	0.31955948	-0.01662224	-0.56213110	0.12234807	0.08021956	-0.04653125	-0.23596639	-0.42704446	0.21971343	-0.00692811	-0.50976800	0.10757511	0.05836045	-0.04326195	-0.24502769	-0.43188767	0.18643141	-0.02308499	-0.68181817	0.07802920	0.00006948	-0.08903214	-0.21784379	-0.37376914	0.55919001	0.01246016	-0.39008093	0.13712103	0.01464222	-0.06287774	0.01774992	-0.30596418	0.60578484	0.05446807	-0.50976800	0.13712103	0.09479231	-0.07595494	0.21709846	-0.33018024	0.42606194	0.04477394	-0.65189640	0.09280216	0.28423796	-0.10210933	0.54330514	-0.30112097	0.37281071	0.07708772	-0.00109795	0.10265080	0.48096999	-0.04326195	0.80608275
chb02_chb02_16_9	3	chb02	-5548	-0.08801968	-0.33942447	-0.18465388	-0.40504182	0.14696966	-0.32781723	-0.01710756	-0.39906973	-0.11707894	-0.20629640	-0.21696766	-0.38260049	0.08295352	-0.37153546	-0.05306985	-0.42625362	-0.12192216	0.09989816	-0.26220695	-0.18810900	-0.00075990	-0.37882183	-0.11845583	-0.48062140	-0.16066785	0.31955948	-0.33006588	-0.30031563	-0.06970036	-0.42254006	-0.17730321	-0.63466345	-0.18488390	0.05330334	-0.34299139	-0.40504182	-0.12879218	-0.38610820	-0.20345760	-0.62560215	-0.15098142	0.33287229	-0.33652864	-0.41252226	-0.18788401	-0.26952626	-0.21653480	-0.55311178	-0.16066785	-0.00660429	-0.30421486	-0.41252226	-0.24697583	-0.17480343	-0.21653480	-0.41719233	-0.10739252	-0.39267570	-0.24281868	-0.27039386	-0.23220288	-0.10193972	-0.19038040	-0.25408898
