seed	fold	train_acc	test_acc	hessians
0	0	64	58	300
0	1	63	62	180
0	2	44	67	420
0	3	59	40	120
0	4	65	59	420
0	5	65	60	300
0	6	61	89	120
0	7	64	60	180
0	8	64	66	180
1000	0	56	72	300
1000	1	45	51	180
1000	2	65	58	420
1000	3	48	15	120
1000	4	55	59	420
1000	5	63	56	300
1000	6	60	32	120
1000	7	53	42	180
1000	8	51	34	180
2000	0	62	63	300
2000	1	61	62	180
2000	2	61	65	420
2000	3	58	45	120
2000	4	66	56	420
2000	5	63	58	300
2000	6	59	50	120
2000	7	53	38	180
2000	8	60	47	180
3000	0	64	61	300
3000	1	63	62	180
3000	2	66	57	420
3000	3	57	31	120
3000	4	64	57	420
3000	5	65	59	300
3000	6	61	61	120
3000	7	59	49	180
3000	8	63	65	180
4000	0	65	60	300
4000	1	52	66	180
4000	2	66	56	420
4000	3	62	98	120
4000	4	60	61	420
4000	5	65	61	300
4000	6	60	25	120
4000	7	64	66	180
4000	8	64	64	180
5000	0	52	69	300
5000	1	56	72	180
5000	2	53	71	420
5000	3	62	100	120
5000	4	66	56	420
5000	5	66	57	300
5000	6	57	35	120
5000	7	64	66	180
5000	8	64	66	180
6000	0	65	59	300
6000	1	63	63	180
6000	2	66	57	420
6000	3	56	31	120
6000	4	58	56	420
6000	5	53	42	300
6000	6	57	9	120
6000	7	64	66	180
6000	8	60	40	180
7000	0	65	59	300
7000	1	64	60	180
7000	2	60	67	420
7000	3	54	32	120
7000	4	65	57	420
7000	5	61	51	300
7000	6	59	30	120
7000	7	61	57	180
7000	8	61	61	180
8000	0	63	57	300
8000	1	63	67	180
8000	2	60	59	420
8000	3	59	39	120
8000	4	63	55	420
8000	5	64	60	300
8000	6	62	100	120
8000	7	63	65	180
8000	8	64	66	180
9000	0	58	61	300
9000	1	50	65	180
9000	2	64	58	420
9000	3	62	100	120
9000	4	66	56	420
9000	5	58	47	300
9000	6	59	82	120
9000	7	61	63	180
9000	8	64	66	180
10000	0	63	57	300
10000	1	61	68	180
10000	2	66	57	420
10000	3	62	100	120
10000	4	66	57	420
10000	5	61	54	300
10000	6	62	86	120
10000	7	61	65	180
10000	8	53	33	180
11000	0	56	70	300
11000	1	64	64	180
11000	2	58	67	420
11000	3	58	40	120
11000	4	66	56	420
11000	5	62	48	300
11000	6	59	60	120
11000	7	63	63	180
11000	8	64	66	180
12000	0	53	73	300
12000	1	61	67	180
12000	2	65	55	420
12000	3	54	28	120
12000	4	65	56	420
12000	5	62	58	300
12000	6	59	41	120
12000	7	60	50	180
12000	8	58	36	180
13000	0	60	66	300
13000	1	52	67	180
13000	2	59	60	420
13000	3	55	29	120
13000	4	65	57	420
13000	5	63	53	300
13000	6	62	100	120
13000	7	61	57	180
13000	8	62	52	180
14000	0	65	60	300
14000	1	64	66	180
14000	2	52	72	420
14000	3	61	45	120
14000	4	64	56	420
14000	5	62	52	300
14000	6	61	39	120
14000	7	62	53	180
14000	8	64	67	180
15000	0	65	59	300
15000	1	64	67	180
15000	2	62	61	420
15000	3	62	90	120
15000	4	60	57	420
15000	5	64	50	300
15000	6	61	14	120
15000	7	62	60	180
15000	8	64	66	180
16000	0	55	70	300
16000	1	59	60	180
16000	2	66	57	420
16000	3	54	30	120
16000	4	65	57	420
16000	5	63	49	300
16000	6	62	100	120
16000	7	60	48	180
16000	8	62	44	180
17000	0	62	51	300
17000	1	61	62	180
17000	2	64	55	420
17000	3	50	19	120
17000	4	55	60	420
17000	5	61	51	300
17000	6	58	14	120
17000	7	59	52	180
17000	8	62	65	180
18000	0	60	69	300
18000	1	63	65	180
18000	2	65	56	420
18000	3	58	39	120
18000	4	62	57	420
18000	5	60	50	300
18000	6	62	77	120
18000	7	59	62	180
18000	8	64	66	180
19000	0	65	60	300
19000	1	62	62	180
19000	2	63	54	420
19000	3	61	79	120
19000	4	63	53	420
19000	5	51	40	300
19000	6	59	25	120
19000	7	61	54	180
19000	8	60	38	180
