seed	ictal_od	inter_od	base_od	r_IB_x1000	r_NB_x1000	r_IN_x1000
0	77415937973	43421779996	46180449961	1676	940	1783
1000	59322242469	80371735703	117145935048	506	686	738
2000	168716517694	97794318738	154386781029	1093	633	1725
3000	142658291503	107851330657	76403753688	1867	1412	1323
4000	93717484198	78977305309	78910553274	1188	1001	1187
5000	71141067623	72197381292	125590092288	566	575	985
6000	117700327051	74383928449	92451475688	1273	805	1582
7000	126560380889	113368307431	75038151164	1687	1511	1116
8000	176498530093	72955459284	36364768272	4854	2006	2419
9000	236032408510	120134786491	103973224782	2270	1155	1965
10000	94747458566	93826727606	61417048424	1543	1528	1010
11000	130604176081	61399919789	118337098603	1104	519	2127
12000	65717660087	92447178682	102293999440	642	904	711
13000	304771089198	132677516752	152740945932	1995	869	2297
14000	126455547776	133171288362	219861349762	575	606	950
15000	181945848006	121516380536	75838301711	2399	1602	1497
16000	158879428972	76771317843	88681649807	1792	866	2070
17000	110957409039	97675834213	101267726316	1096	965	1136
18000	137891208944	98571275280	84884419396	1624	1161	1399
19000	145301676588	102497623576	111878729107	1299	916	1418
