time_s,power_w
1785805537.662769136,24.388615
1785805538.735718566,25.871611
1785805539.775737111,26.072802
1785805540.815717738,26.290735
1785805541.856773562,26.220682
1785805542.898191709,26.326710
1785805543.936110787,26.133366
1785805544.977642854,26.315662
1785805546.016799955,26.233349
1785805547.056182963,26.105906
1785805548.097031997,26.279155
1785805549.137987553,26.228749
1785805550.346539521,26.059178
1785805551.486781117,26.241799
1785805552.630860238,26.159546
1785805553.710859092,26.145913
1785805554.752169166,26.323328
1785805555.791685897,26.206255
1785805556.831549819,26.204898
1785805557.873352096,26.239454
1785805558.913258736,26.307758
1785805559.951520897,26.251736
1785805560.994517767,26.384768
1785805562.200314056,26.256167
1785805563.279282422,26.399395
1785805564.320337186,26.130055
1785805565.361923383,26.222922
1785805566.566825534,26.178807
1785805567.710558552,26.246323
