time_s,power_w
1785834655.259594044,28.377384
1785834658.954157188,24.743849
1785834660.047017600,25.524892
1785834661.089031039,25.582612
1785834662.128654663,25.629710
1785834663.168386752,25.659837
1785834664.207552080,25.562227
1785834665.248946338,25.651409
1785834666.288662803,25.616812
1785834667.329920205,25.604041
1785834668.368658963,25.572797
1785834669.407910729,25.540178
1785834670.551505342,25.622879
1785834671.594859697,25.594434
1785834672.734771067,25.596691
1785834673.777469563,25.483960
1785834674.919137841,25.542709
1785834675.962832284,25.577302
1785834677.102553975,25.685848
1785834678.143966414,25.653094
1785834679.184115769,25.505811
1785834680.329553110,25.609656
1785834681.470373972,25.636986
1785834682.513107533,25.624906
1785834683.553233081,25.626558
1785834684.590738953,25.562721
1785834685.632088326,25.528123
1785834686.673126825,25.535172
1785834687.715484345,25.690402
1785834688.854726721,25.567622
