drug,generic_name,primary_cyp,role,cyp_basis
midazolam,midazolam,CYP3A4,substrate,7
triazolam,triazolam,CYP3A4,substrate,7
simvastatin,simvastatin,CYP3A4,substrate,7
cyclosporine,cyclosporine,CYP3A4,substrate,7
sirolimus,sirolimus,CYP3A4,substrate,7
ketoconazole,ketoconazole,CYP3A4,inhibitor,7
itraconazole,itraconazole,CYP3A4,inhibitor,7
ritonavir,ritonavir,CYP3A4,inhibitor,7
clarithromycin,clarithromycin,CYP3A4,inhibitor,7
rifampin,rifampin,CYP3A4,inducer,7
carbamazepine,carbamazepine,CYP3A4,inducer,7
desipramine,desipramine,CYP2D6,substrate,6
dextromethorphan,dextromethorphan,CYP2D6,substrate,6
codeine,codeine,CYP2D6,substrate,6
tamoxifen,tamoxifen,CYP2D6,substrate,6
metoprolol,metoprolol,CYP2D6,substrate,6
quinidine,quinidine,CYP2D6,inhibitor,6
paroxetine,paroxetine,CYP2D6,inhibitor,6
fluoxetine,fluoxetine,CYP2D6,inhibitor,6
warfarin,warfarin,CYP2C9,substrate,2
phenytoin,phenytoin,CYP2C9,substrate,2
tolbutamide,tolbutamide,CYP2C9,substrate,2
fluconazole,fluconazole,CYP2C9,inhibitor,2
amiodarone,amiodarone,CYP2C9,inhibitor,2
omeprazole,omeprazole,CYP2C19,substrate,5
lansoprazole,lansoprazole,CYP2C19,substrate,5
clopidogrel,clopidogrel,CYP2C19,substrate,5
fluvoxamine,fluvoxamine,CYP2C19,inhibitor,5
ticlopidine,ticlopidine,CYP2C19,inhibitor,5
caffeine,caffeine,CYP1A2,substrate,1
theophylline,theophylline,CYP1A2,substrate,1
tizanidine,tizanidine,CYP1A2,substrate,1
ciprofloxacin,ciprofloxacin,CYP1A2,inhibitor,1
efavirenz,efavirenz,CYP2B6,substrate,4
bupropion,bupropion,CYP2B6,substrate,4
cyclophosphamide,cyclophosphamide,CYP2B6,substrate,4
repaglinide,repaglinide,CYP2C8,substrate,3
paclitaxel,paclitaxel,CYP2C8,substrate,3
gemfibrozil,gemfibrozil,CYP2C8,inhibitor,3
