cyp_a,cyp_b,cyp_c,fano,drugs,cases,a_first,b_first,temporal,asymmetry
CYP1A2,CYP2C9,CYP2C8,False,theophylline+warfarin+repaglinide,0,0,0,0,-1
CYP1A2,CYP2C9,CYP2B6,True,theophylline+warfarin+bupropion,8,0,0,0,-1
CYP1A2,CYP2C9,CYP2C19,False,theophylline+warfarin+omeprazole,49,2,0,2,1.0
CYP1A2,CYP2C9,CYP2D6,False,theophylline+warfarin+codeine,0,0,0,0,-1
CYP1A2,CYP2C9,CYP3A4,False,theophylline+warfarin+simvastatin,94,0,0,0,-1
CYP1A2,CYP2C8,CYP2B6,False,theophylline+repaglinide+bupropion,0,0,0,0,-1
CYP1A2,CYP2C8,CYP2C19,False,theophylline+repaglinide+omeprazole,2,0,0,0,-1
CYP1A2,CYP2C8,CYP2D6,False,theophylline+repaglinide+codeine,0,0,0,0,-1
CYP1A2,CYP2C8,CYP3A4,True,theophylline+repaglinide+simvastatin,1,0,0,0,-1
CYP1A2,CYP2B6,CYP2C19,False,theophylline+bupropion+omeprazole,56,5,8,13,0.2308
CYP1A2,CYP2B6,CYP2D6,False,theophylline+bupropion+codeine,0,0,0,0,-1
CYP1A2,CYP2B6,CYP3A4,False,theophylline+bupropion+simvastatin,23,4,1,5,0.6
CYP1A2,CYP2C19,CYP2D6,True,theophylline+omeprazole+codeine,19,1,6,7,0.7143
CYP1A2,CYP2C19,CYP3A4,False,theophylline+omeprazole+simvastatin,100,3,10,13,0.5385
CYP1A2,CYP2D6,CYP3A4,False,theophylline+codeine+simvastatin,3,0,0,0,-1
CYP2C9,CYP2C8,CYP2B6,False,warfarin+repaglinide+bupropion,3,0,0,0,-1
CYP2C9,CYP2C8,CYP2C19,True,warfarin+repaglinide+omeprazole,19,2,2,4,0.0
CYP2C9,CYP2C8,CYP2D6,False,warfarin+repaglinide+codeine,0,0,0,0,-1
CYP2C9,CYP2C8,CYP3A4,False,warfarin+repaglinide+simvastatin,17,2,1,3,0.3333
CYP2C9,CYP2B6,CYP2C19,False,warfarin+bupropion+omeprazole,100,8,12,20,0.2
CYP2C9,CYP2B6,CYP2D6,False,warfarin+bupropion+codeine,9,1,1,2,0.0
CYP2C9,CYP2B6,CYP3A4,False,warfarin+bupropion+simvastatin,100,4,7,11,0.2727
CYP2C9,CYP2C19,CYP2D6,False,warfarin+omeprazole+codeine,93,7,10,17,0.1765
CYP2C9,CYP2C19,CYP3A4,False,warfarin+omeprazole+simvastatin,100,5,16,21,0.5238
CYP2C9,CYP2D6,CYP3A4,True,warfarin+codeine+simvastatin,52,5,2,7,0.4286
CYP2C8,CYP2B6,CYP2C19,False,repaglinide+bupropion+omeprazole,11,1,2,3,0.3333
CYP2C8,CYP2B6,CYP2D6,True,repaglinide+bupropion+codeine,1,1,0,1,1.0
CYP2C8,CYP2B6,CYP3A4,False,repaglinide+bupropion+simvastatin,3,1,1,2,0.0
CYP2C8,CYP2C19,CYP2D6,False,repaglinide+omeprazole+codeine,4,0,2,2,1.0
CYP2C8,CYP2C19,CYP3A4,False,repaglinide+omeprazole+simvastatin,72,6,15,21,0.4286
CYP2C8,CYP2D6,CYP3A4,False,repaglinide+codeine+simvastatin,1,1,0,1,1.0
CYP2B6,CYP2C19,CYP2D6,False,bupropion+omeprazole+codeine,77,9,7,16,0.125
CYP2B6,CYP2C19,CYP3A4,True,bupropion+omeprazole+simvastatin,100,6,4,10,0.2
CYP2B6,CYP2D6,CYP3A4,False,bupropion+codeine+simvastatin,22,2,6,8,0.5
CYP2C19,CYP2D6,CYP3A4,False,omeprazole+codeine+simvastatin,100,24,11,35,0.3714
