cyp_a,cyp_b,cyp_c,drugs,n_reports,conc_cyp1,conc_cyp2,conc_cyp3,conc_cyp4,conc_cyp5,conc_cyp6,conc_cyp7
CYP1A2,CYP2C9,CYP2C8,theophylline+warfarin+repaglinide,0,0,0,0,0,0,0,0
CYP1A2,CYP2C9,CYP2B6,theophylline+warfarin+bupropion,4,1,0,0,0,1,1,1
CYP1A2,CYP2C9,CYP2C19,theophylline+warfarin+omeprazole,47,14,2,4,2,1,7,25
CYP1A2,CYP2C9,CYP2D6,theophylline+warfarin+codeine,4,1,0,1,0,2,3,1
CYP1A2,CYP2C9,CYP3A4,theophylline+warfarin+simvastatin,75,3,53,2,0,56,8,5
CYP1A2,CYP2C8,CYP2B6,theophylline+repaglinide+bupropion,0,0,0,0,0,0,0,0
CYP1A2,CYP2C8,CYP2C19,theophylline+repaglinide+omeprazole,2,1,0,0,0,1,1,0
CYP1A2,CYP2C8,CYP2D6,theophylline+repaglinide+codeine,0,0,0,0,0,0,0,0
CYP1A2,CYP2C8,CYP3A4,theophylline+repaglinide+simvastatin,2,0,0,0,0,0,0,0
CYP1A2,CYP2B6,CYP2C19,theophylline+bupropion+omeprazole,26,3,2,0,0,1,5,5
CYP1A2,CYP2B6,CYP2D6,theophylline+bupropion+codeine,2,1,0,0,0,1,0,0
CYP1A2,CYP2B6,CYP3A4,theophylline+bupropion+simvastatin,11,1,1,0,0,5,4,2
CYP1A2,CYP2C19,CYP2D6,theophylline+omeprazole+codeine,64,15,11,3,2,6,14,18
CYP1A2,CYP2C19,CYP3A4,theophylline+omeprazole+simvastatin,162,32,10,5,2,7,31,16
CYP1A2,CYP2D6,CYP3A4,theophylline+codeine+simvastatin,27,13,2,3,0,17,3,3
CYP2C9,CYP2C8,CYP2B6,warfarin+repaglinide+bupropion,3,0,2,0,0,1,2,1
CYP2C9,CYP2C8,CYP2C19,warfarin+repaglinide+omeprazole,15,0,5,0,1,1,4,2
CYP2C9,CYP2C8,CYP2D6,warfarin+repaglinide+codeine,3,0,1,0,1,2,1,1
CYP2C9,CYP2C8,CYP3A4,warfarin+repaglinide+simvastatin,15,0,2,0,0,10,4,0
CYP2C9,CYP2B6,CYP2C19,warfarin+bupropion+omeprazole,219,33,18,8,2,18,97,64
CYP2C9,CYP2B6,CYP2D6,warfarin+bupropion+codeine,36,12,5,2,0,15,15,16
CYP2C9,CYP2B6,CYP3A4,warfarin+bupropion+simvastatin,156,14,19,2,0,52,61,8
CYP2C9,CYP2C19,CYP2D6,warfarin+omeprazole+codeine,455,41,51,5,37,77,86,135
CYP2C9,CYP2C19,CYP3A4,warfarin+omeprazole+simvastatin,1000,64,66,4,33,121,372,51
CYP2C9,CYP2D6,CYP3A4,warfarin+codeine+simvastatin,296,25,49,16,11,143,58,29
CYP2C8,CYP2B6,CYP2C19,repaglinide+bupropion+omeprazole,6,0,1,0,0,1,2,1
CYP2C8,CYP2B6,CYP2D6,repaglinide+bupropion+codeine,3,1,1,0,0,0,2,2
CYP2C8,CYP2B6,CYP3A4,repaglinide+bupropion+simvastatin,3,1,0,0,0,1,1,0
CYP2C8,CYP2C19,CYP2D6,repaglinide+omeprazole+codeine,14,0,1,0,0,5,2,2
CYP2C8,CYP2C19,CYP3A4,repaglinide+omeprazole+simvastatin,72,1,3,3,1,12,11,1
CYP2C8,CYP2D6,CYP3A4,repaglinide+codeine+simvastatin,10,2,1,0,1,3,5,0
CYP2B6,CYP2C19,CYP2D6,bupropion+omeprazole+codeine,164,47,31,1,0,11,54,32
CYP2B6,CYP2C19,CYP3A4,bupropion+omeprazole+simvastatin,645,87,73,9,2,31,190,26
CYP2B6,CYP2D6,CYP3A4,bupropion+codeine+simvastatin,92,23,14,5,2,55,57,37
CYP2C19,CYP2D6,CYP3A4,omeprazole+codeine+simvastatin,978,186,187,13,22,139,159,98
