cyp_a,cyp_b,cyp_c,drugs,n_reports,n_with_age,mean_age,n_sexed,frac_female,n_with_qual,frac_hcp,frac_us
CYP1A2,CYP2C9,CYP2C8,theophylline+warfarin+repaglinide,0,0,-1,0,-1,0,-1,-1
CYP1A2,CYP2C9,CYP2B6,theophylline+warfarin+bupropion,4,4,60.25,4,0.5,4,0.5,1.0
CYP1A2,CYP2C9,CYP2C19,theophylline+warfarin+omeprazole,47,40,67.52,43,0.3721,43,0.7209,0.4468
CYP1A2,CYP2C9,CYP2D6,theophylline+warfarin+codeine,4,1,74.0,3,1.0,4,0.5,0.75
CYP1A2,CYP2C9,CYP3A4,theophylline+warfarin+simvastatin,75,64,77.12,67,0.0299,72,0.875,0.0533
CYP1A2,CYP2C8,CYP2B6,theophylline+repaglinide+bupropion,0,0,-1,0,-1,0,-1,-1
CYP1A2,CYP2C8,CYP2C19,theophylline+repaglinide+omeprazole,2,1,25.0,1,1.0,2,0.0,1.0
CYP1A2,CYP2C8,CYP2D6,theophylline+repaglinide+codeine,0,0,-1,0,-1,0,-1,-1
CYP1A2,CYP2C8,CYP3A4,theophylline+repaglinide+simvastatin,2,1,74.0,2,0.5,2,0.5,0.5
CYP1A2,CYP2B6,CYP2C19,theophylline+bupropion+omeprazole,26,16,56.89,25,0.68,23,0.5217,0.7308
CYP1A2,CYP2B6,CYP2D6,theophylline+bupropion+codeine,2,2,59.07,2,0.5,1,1.0,0.5
CYP1A2,CYP2B6,CYP3A4,theophylline+bupropion+simvastatin,11,7,65.0,11,0.4545,7,0.1429,0.8182
CYP1A2,CYP2C19,CYP2D6,theophylline+omeprazole+codeine,64,50,65.11,58,0.3966,60,0.7833,0.4375
CYP1A2,CYP2C19,CYP3A4,theophylline+omeprazole+simvastatin,162,124,70.54,153,0.5294,142,0.7394,0.3951
CYP1A2,CYP2D6,CYP3A4,theophylline+codeine+simvastatin,27,23,73.9,24,0.2083,25,0.84,0.3704
CYP2C9,CYP2C8,CYP2B6,warfarin+repaglinide+bupropion,3,3,57.47,3,0.6667,1,0.0,1.0
CYP2C9,CYP2C8,CYP2C19,warfarin+repaglinide+omeprazole,15,11,68.06,14,0.5714,13,0.8462,0.4667
CYP2C9,CYP2C8,CYP2D6,warfarin+repaglinide+codeine,3,1,69.25,3,0.6667,3,0.3333,0.6667
CYP2C9,CYP2C8,CYP3A4,warfarin+repaglinide+simvastatin,15,14,79.66,15,0.4667,14,0.7857,0.2
CYP2C9,CYP2B6,CYP2C19,warfarin+bupropion+omeprazole,219,146,61.7,205,0.639,192,0.5312,0.8584
CYP2C9,CYP2B6,CYP2D6,warfarin+bupropion+codeine,36,24,57.13,35,0.5429,28,0.3571,0.7222
CYP2C9,CYP2B6,CYP3A4,warfarin+bupropion+simvastatin,156,119,62.62,147,0.4558,124,0.7097,0.7821
CYP2C9,CYP2C19,CYP2D6,warfarin+omeprazole+codeine,455,311,69.9,412,0.6432,424,0.7807,0.3429
CYP2C9,CYP2C19,CYP3A4,warfarin+omeprazole+simvastatin,1000,732,71.61,895,0.4804,936,0.6389,0.605
CYP2C9,CYP2D6,CYP3A4,warfarin+codeine+simvastatin,296,222,71.81,272,0.5404,266,0.8045,0.2331
CYP2C8,CYP2B6,CYP2C19,repaglinide+bupropion+omeprazole,6,6,70.44,5,0.6,4,0.25,1.0
CYP2C8,CYP2B6,CYP2D6,repaglinide+bupropion+codeine,3,3,71.14,3,0.3333,2,0.5,1.0
CYP2C8,CYP2B6,CYP3A4,repaglinide+bupropion+simvastatin,3,2,67.59,2,0.0,1,0.0,1.0
CYP2C8,CYP2C19,CYP2D6,repaglinide+omeprazole+codeine,14,8,73.62,13,0.4615,12,0.5833,0.5714
CYP2C8,CYP2C19,CYP3A4,repaglinide+omeprazole+simvastatin,72,61,72.84,67,0.4776,68,0.75,0.2083
CYP2C8,CYP2D6,CYP3A4,repaglinide+codeine+simvastatin,10,7,71.88,9,0.3333,8,0.625,0.4
CYP2B6,CYP2C19,CYP2D6,bupropion+omeprazole+codeine,164,103,54.92,153,0.5425,140,0.5571,0.8963
CYP2B6,CYP2C19,CYP3A4,bupropion+omeprazole+simvastatin,645,402,61.0,608,0.6332,558,0.491,0.831
CYP2B6,CYP2D6,CYP3A4,bupropion+codeine+simvastatin,92,67,62.94,85,0.6941,73,0.6712,0.5435
CYP2C19,CYP2D6,CYP3A4,omeprazole+codeine+simvastatin,978,741,69.6,894,0.5593,889,0.7525,0.2832
