cyp_a,cyp_b,cyp_c,fano,n_drug_triples,n_positive_triples,cases,a_first,b_first,temporal,asymmetry
CYP1A2,CYP2C9,CYP2C8,False,60,25,198,22,35,65,0.2
CYP1A2,CYP2C9,CYP2B6,True,60,23,1030,99,89,255,0.0392
CYP1A2,CYP2C9,CYP2C19,False,100,60,3447,396,461,985,0.066
CYP1A2,CYP2C9,CYP2D6,False,160,99,3674,405,397,914,0.0088
CYP1A2,CYP2C9,CYP3A4,False,220,132,2940,233,284,625,0.0816
CYP1A2,CYP2C8,CYP2B6,False,36,16,147,11,42,54,0.5741
CYP1A2,CYP2C8,CYP2C19,False,60,29,363,33,97,138,0.4638
CYP1A2,CYP2C8,CYP2D6,False,96,41,386,37,84,128,0.3672
CYP1A2,CYP2C8,CYP3A4,True,132,51,270,35,73,119,0.3193
CYP1A2,CYP2B6,CYP2C19,False,60,31,1568,111,184,336,0.2173
CYP1A2,CYP2B6,CYP2D6,False,96,53,1832,128,188,351,0.1709
CYP1A2,CYP2B6,CYP3A4,False,132,65,1139,74,124,218,0.2294
CYP1A2,CYP2C19,CYP2D6,True,160,105,7151,651,906,1737,0.1468
CYP1A2,CYP2C19,CYP3A4,False,220,133,5387,532,820,1554,0.1853
CYP1A2,CYP2D6,CYP3A4,False,352,211,5061,445,551,1137,0.0932
CYP2C9,CYP2C8,CYP2B6,False,45,18,130,6,14,28,0.2857
CYP2C9,CYP2C8,CYP2C19,True,75,44,539,55,84,150,0.1933
CYP2C9,CYP2C8,CYP2D6,False,120,57,686,72,76,170,0.0235
CYP2C9,CYP2C8,CYP3A4,False,165,70,421,31,31,69,0.0
CYP2C9,CYP2B6,CYP2C19,False,75,37,1766,161,275,522,0.2184
CYP2C9,CYP2B6,CYP2D6,False,120,59,2049,105,223,379,0.3113
CYP2C9,CYP2B6,CYP3A4,False,165,90,1959,105,182,332,0.2319
CYP2C9,CYP2C19,CYP2D6,False,200,109,7320,458,797,1458,0.2325
CYP2C9,CYP2C19,CYP3A4,False,275,167,7254,444,810,1601,0.2286
CYP2C9,CYP2D6,CYP3A4,True,440,258,5817,438,442,1030,0.0039
CYP2C8,CYP2B6,CYP2C19,False,45,21,335,69,66,154,0.0195
CYP2C8,CYP2B6,CYP2D6,True,72,30,916,62,120,244,0.2377
CYP2C8,CYP2B6,CYP3A4,False,99,34,192,25,24,55,0.0182
CYP2C8,CYP2C19,CYP2D6,False,120,61,1527,194,182,398,0.0302
CYP2C8,CYP2C19,CYP3A4,False,165,67,1062,124,85,236,0.1653
CYP2C8,CYP2D6,CYP3A4,False,264,90,905,104,94,219,0.0457
CYP2B6,CYP2C19,CYP2D6,False,120,53,3346,207,316,601,0.1814
CYP2B6,CYP2C19,CYP3A4,True,165,78,2156,192,236,482,0.0913
CYP2B6,CYP2D6,CYP3A4,False,264,118,2354,144,157,339,0.0383
CYP2C19,CYP2D6,CYP3A4,False,440,227,9715,1000,778,2206,0.1006
