cyp_a,cyp_b,cyp_c,fano,drugs,total_openFDA,cases,a_first,b_first,temporal,asymmetry
CYP1A2,CYP2C9,CYP2C8,False,theophylline+warfarin+repaglinide,0,0,0,0,0,-1
CYP1A2,CYP2C9,CYP2B6,True,theophylline+warfarin+bupropion,4,4,1,0,1,1.0
CYP1A2,CYP2C9,CYP2C19,False,theophylline+warfarin+omeprazole,47,47,1,0,1,1.0
CYP1A2,CYP2C9,CYP2D6,False,theophylline+warfarin+codeine,4,4,0,0,0,-1
CYP1A2,CYP2C9,CYP3A4,False,theophylline+warfarin+simvastatin,75,75,0,0,0,-1
CYP1A2,CYP2C8,CYP2B6,False,theophylline+repaglinide+bupropion,0,0,0,0,0,-1
CYP1A2,CYP2C8,CYP2C19,False,theophylline+repaglinide+omeprazole,2,2,0,0,0,-1
CYP1A2,CYP2C8,CYP2D6,False,theophylline+repaglinide+codeine,0,0,0,0,0,-1
CYP1A2,CYP2C8,CYP3A4,True,theophylline+repaglinide+simvastatin,2,2,0,0,0,-1
CYP1A2,CYP2B6,CYP2C19,False,theophylline+bupropion+omeprazole,26,26,2,1,4,0.25
CYP1A2,CYP2B6,CYP2D6,False,theophylline+bupropion+codeine,2,2,0,1,1,1.0
CYP1A2,CYP2B6,CYP3A4,False,theophylline+bupropion+simvastatin,11,11,1,0,1,1.0
CYP1A2,CYP2C19,CYP2D6,True,theophylline+omeprazole+codeine,64,64,3,17,20,0.7
CYP1A2,CYP2C19,CYP3A4,False,theophylline+omeprazole+simvastatin,162,162,2,8,11,0.5455
CYP1A2,CYP2D6,CYP3A4,False,theophylline+codeine+simvastatin,27,27,1,0,1,1.0
CYP2C9,CYP2C8,CYP2B6,False,warfarin+repaglinide+bupropion,3,3,0,0,0,-1
CYP2C9,CYP2C8,CYP2C19,True,warfarin+repaglinide+omeprazole,15,15,4,2,6,0.3333
CYP2C9,CYP2C8,CYP2D6,False,warfarin+repaglinide+codeine,3,3,0,1,1,1.0
CYP2C9,CYP2C8,CYP3A4,False,warfarin+repaglinide+simvastatin,15,15,3,1,4,0.5
CYP2C9,CYP2B6,CYP2C19,False,warfarin+bupropion+omeprazole,219,219,14,27,45,0.2889
CYP2C9,CYP2B6,CYP2D6,False,warfarin+bupropion+codeine,36,36,1,1,4,0.0
CYP2C9,CYP2B6,CYP3A4,False,warfarin+bupropion+simvastatin,156,156,6,8,18,0.1111
CYP2C9,CYP2C19,CYP2D6,False,warfarin+omeprazole+codeine,455,455,40,34,84,0.0714
CYP2C9,CYP2C19,CYP3A4,False,warfarin+omeprazole+simvastatin,1619,1000,87,86,205,0.0049
CYP2C9,CYP2D6,CYP3A4,True,warfarin+codeine+simvastatin,296,296,54,9,70,0.6429
CYP2C8,CYP2B6,CYP2C19,False,repaglinide+bupropion+omeprazole,6,6,0,1,1,1.0
CYP2C8,CYP2B6,CYP2D6,True,repaglinide+bupropion+codeine,3,3,1,0,1,1.0
CYP2C8,CYP2B6,CYP3A4,False,repaglinide+bupropion+simvastatin,3,3,1,1,2,0.0
CYP2C8,CYP2C19,CYP2D6,False,repaglinide+omeprazole+codeine,14,14,2,1,3,0.3333
CYP2C8,CYP2C19,CYP3A4,False,repaglinide+omeprazole+simvastatin,72,72,4,8,18,0.2222
CYP2C8,CYP2D6,CYP3A4,False,repaglinide+codeine+simvastatin,10,10,3,0,3,1.0
CYP2B6,CYP2C19,CYP2D6,False,bupropion+omeprazole+codeine,164,164,19,14,40,0.125
CYP2B6,CYP2C19,CYP3A4,True,bupropion+omeprazole+simvastatin,645,645,36,49,104,0.125
CYP2B6,CYP2D6,CYP3A4,False,bupropion+codeine+simvastatin,92,92,4,4,8,0.0
CYP2C19,CYP2D6,CYP3A4,False,omeprazole+codeine+simvastatin,978,978,128,97,259,0.1197
