cue	response	F1	F2	F3	F123	isCue	id	association_strength
akcija	kmija	0	1	0	1	False	1	0.017543859649122806
akcija	televizija	0	0	1	1	True	2	0.017543859649122806
akcija	dopamin	1	0	0	1	False	3	0.017543859649122806
akcija	šport	1	1	0	2	True	4	0.03508771929824561
akcija	družinski izlet	0	0	1	1	False	5	0.017543859649122806
akcija	v trgovini	0	1	0	1	False	6	0.017543859649122806
akcija	rop	0	1	0	1	False	7	0.017543859649122806
akcija	družba	0	0	1	1	False	8	0.017543859649122806
akcija	trgovina	1	1	1	3	False	9	0.05263157894736842
akcija	adrenalin	0	1	0	1	False	10	0.017543859649122806
akcija	kaskader	0	0	1	1	False	11	0.017543859649122806
akcija	tek	1	0	0	1	True	12	0.017543859649122806
akcija	trgovine	0	0	1	1	False	13	0.017543859649122806
akcija	kemija	0	0	1	1	False	14	0.017543859649122806
akcija	znižano	1	0	0	1	False	15	0.017543859649122806
akcija	akcijski film	1	0	0	1	False	16	0.017543859649122806
akcija	popust	0	3	0	3	False	17	0.05263157894736842
akcija	štart	0	0	1	1	False	18	0.017543859649122806
akcija	dejanje	1	0	0	1	False	19	0.017543859649122806
akcija	film	4	1	1	6	False	20	0.10526315789473684
akcija	rdeča barva	0	0	1	1	False	21	0.017543859649122806
akcija	akcija v službi	0	1	0	1	False	22	0.017543859649122806
akcija	odziv	0	0	1	1	True	23	0.017543859649122806
akcija	lenoba	0	0	1	1	False	24	0.017543859649122806
akcija	zdaj	1	0	0	1	False	25	0.017543859649122806
akcija	protest	0	0	1	1	False	26	0.017543859649122806
akcija	atentat	0	0	1	1	False	27	0.017543859649122806
akcija	uživanje	0	0	1	1	False	28	0.017543859649122806
akcija	gasilci	0	1	0	1	False	29	0.017543859649122806
akcija	hitra	1	0	0	1	False	30	0.017543859649122806
akcija	napad	1	0	0	1	False	31	0.017543859649122806
akcija	petka	0	1	0	1	False	32	0.017543859649122806
akcija	gibanje	1	0	0	1	True	33	0.017543859649122806
akcija	reševalna	1	0	0	1	False	34	0.017543859649122806
akcija	proaktivnost	0	0	1	1	False	35	0.017543859649122806
akcija	delo	2	1	0	3	False	36	0.05263157894736842
akcija	seks	0	1	0	1	False	37	0.017543859649122806
akcija	pretep	0	1	0	1	False	38	0.017543859649122806
akcija	čistilna	0	1	0	1	False	39	0.017543859649122806
akcija	začetek	0	1	0	1	False	40	0.017543859649122806
akcija	izvedba	0	1	0	1	True	41	0.017543859649122806
akcija	reakcija	2	1	1	4	False	42	0.07017543859649122
aktivni	ki skrbi za telesno udejstvovanje	1	0	0	1	False	43	0.020833333333333332
aktivni	športnik	0	1	0	1	True	44	0.020833333333333332
aktivni	športni, zdravi, intelektualno dejavni	1	0	0	1	False	45	0.020833333333333332
