cue,response,R1.Strength
akcija,dopamin,0.05
akcija,šport,0.05
akcija,trgovina,0.05
akcija,tek,0.05
akcija,znižano,0.05
akcija,akcijski film,0.05
akcija,dejanje,0.05
akcija,film,0.2
akcija,zdaj,0.05
akcija,hitra,0.05
akcija,napad,0.05
akcija,gibanje,0.05
akcija,reševalna,0.05
akcija,delo,0.1
akcija,reakcija,0.1
aktivni,ki skrbi za telesno udejstvovanje,0.05555555555555555
aktivni,"športni, zdravi, intelektualno dejavni",0.05555555555555555
aktivni,šport,0.16666666666666666
aktivni,prosti čas,0.05555555555555555
aktivni,sodelavec,0.05555555555555555
aktivni,člani,0.05555555555555555
aktivni,državljani,0.05555555555555555
aktivni,upokojenci,0.05555555555555555
aktivni,športniki,0.05555555555555555
aktivni,sportni,0.05555555555555555
aktivni,lenoba,0.05555555555555555
aktivni,starčki,0.05555555555555555
aktivni,učenci,0.05555555555555555
aktivni,socialni mediji,0.05555555555555555
aktivni,zdravo življenje,0.05555555555555555
aktivni,dopust,0.05555555555555555
aktivnost,dejavnost,0.15789473684210525
aktivnost,šport,0.2631578947368421
aktivnost,pasivnost,0.05263157894736842
aktivnost,delanje,0.05263157894736842
aktivnost,tek,0.05263157894736842
aktivnost,športna,0.10526315789473684
aktivnost,lenoba,0.05263157894736842
aktivnost,pedagogika,0.05263157894736842
aktivnost,gibanje,0.05263157894736842
aktivnost,delovanje,0.05263157894736842
aktivnost,fizična,0.05263157894736842
aktivnost,"šport, del projekta",0.05263157894736842
aktualni,novica,0.1
aktualni,zdajšnji,0.05
aktualni,dnevnik,0.05
aktualni,dogodki,0.2
aktualni,sodobni,0.05
aktualni,moderno,0.05
aktualni,trenutek,0.05
aktualni,dogodek,0.05
aktualni,trenutni,0.05
aktualni,prvak,0.05
aktualni,politika,0.15
aktualni,novice,0.15
album,gramofon,0.05
album,fotografije,0.3
album,zbirka slik,0.05
album,glasbeni,0.05
album,lp,0.05
album,spomini,0.05
album,cd,0.05
album,glasba,0.2
album,koncert,0.05
album,pesem,0.05
album,cover,0.05
album,slike,0.05
alkohol,pijanost,0.05263157894736842
alkohol,droge,0.05263157894736842
alkohol,duhovitost,0.05263157894736842
alkohol,pijača,0.15789473684210525
alkohol,problem,0.05263157894736842
alkohol,opitost,0.05263157894736842
alkohol,party,0.05263157894736842
alkohol,polnoletnost,0.05263157894736842
alkohol,pijanec,0.05263157894736842
alkohol,etanol,0.05263157894736842
alkohol,zabava,0.10526315789473684
alkohol,noč,0.05263157894736842
