source,target,weight
akcija,delo,0.1
akcija,film,0.2
aktivnost,šport,0.2631578947368421
aktualni,novica,0.1
aktualni,politika,0.15
alkohol,pijača,0.1578947368421052
alkohol,zabava,0.1052631578947368
analiza,kri,0.0952380952380952
avtobus,prevoz,0.3333333333333333
avtobus,šola,0.1428571428571428
avtocesta,avto,0.1666666666666666
avtocesta,hitrost,0.1111111111111111
avtor,knjiga,0.3684210526315789
avtor,knjige,0.1052631578947368
besedilo,knjiga,0.1578947368421052
bistvo,jasno,0.1
bivši,fant,0.3888888888888889
bivši,partner,0.1666666666666666
bližina,ljubezen,0.1578947368421052
bližnji,družina,0.15
bližnji,prijatelj,0.15
bogato,denar,0.3157894736842105
bogato,življenje,0.1052631578947368
boj,vojna,0.2222222222222222
bolnik,bolezen,0.238095238095238
bolnik,bolnica,0.1428571428571428
bolnik,bolnišnica,0.1428571428571428
bolnišnica,bolezen,0.3157894736842105
bolnišnica,zdravnik,0.1052631578947368
borza,denar,0.5263157894736842
brat,družina,0.1
brati,knjiga,0.2777777777777778
cel,celota,0.1578947368421052
cel,svet,0.1578947368421052
celica,zapor,0.2
celota,del,0.2777777777777778
civilen,avto,0.1111111111111111
civilen,človek,0.1111111111111111
davek,denar,0.2
dekle,fant,0.2222222222222222
deklica,otrok,0.1052631578947368
delavnica,delo,0.1
deliti,hrano,0.1052631578947368
delodajalec,plača,0.1052631578947368
delodajalec,služba,0.2631578947368421
delodajalec,šef,0.1052631578947368
dežela,država,0.1052631578947368
dežela,slovenija,0.1578947368421052
dijak,učenec,0.1052631578947368
dirka,avto,0.15
dirka,hitrost,0.1
dirka,tekma,0.1
dnevnik,pisanje,0.0952380952380952
dnevnik,tv,0.1428571428571428
dnevnik,časopis,0.1428571428571428
dodatek,denar,0.1052631578947368
dodatek,plača,0.1578947368421052
dogajanje,akcija,0.1153846153846153
dogajanje,dogodek,0.0769230769230769
dogajanje,koncert,0.0769230769230769
dogajanje,zabava,0.0769230769230769
dolg,denar,0.2
dolg,pas,0.15
domačin,prebivalec,0.1
domačin,vas,0.1
domov,hiša,0.15
domov,pot,0.15
dosedanji,partner,0.1052631578947368
dosedanji,predsednik,0.2631578947368421
dosedanji,preteklost,0.1578947368421052
dosežek,rezultat,0.1
dosežek,uspeh,0.35
dostop,internet,0.15
doživeti,potovanje,0.1111111111111111
drag,avto,0.3103448275862069
drag,denar,0.1034482758620689
drevo,gozd,0.1666666666666666
drevo,list,0.2222222222222222
drevo,narava,0.1111111111111111
drevo,rastlina,0.1111111111111111
državljan,država,0.1578947368421052
državljan,človek,0.1578947368421052
duh,strah,0.25
dvigniti,predmet,0.1111111111111111
električen,avto,0.25
elektronski,računalnik,0.25
elektronski,telefon,0.1
fakulteta,študij,0.15
fant,dekle,0.3157894736842105
fant,prijatelj,0.1052631578947368
faza,del,0.1052631578947368
festival,glasba,0.1153846153846153
festival,zabava,0.1923076923076923
fotografija,slika,0.2105263157894736
fotografija,spomin,0.2105263157894736
funkcija,delo,0.1666666666666666
funkcija,matematika,0.4444444444444444
galerija,slika,0.2105263157894736
galerija,umetnost,0.1578947368421052
generacija,ljudje,0.1052631578947368
generacija,otroci,0.1052631578947368
gibanje,tek,0.1764705882352941
gibanje,zdravje,0.1176470588235294
gibanje,šport,0.4117647058823529
glasbenik,glasba,0.2105263157894736
gledalec,gledališče,0.3684210526315789
gledalec,občinstvo,0.1052631578947368
gledalec,človek,0.1052631578947368
gledališče,oder,0.1111111111111111
gol,nogomet,0.3684210526315789
gol,žoga,0.1578947368421052
gotovo,konec,0.2
gotovo,zagotovo,0.1
govor,jezik,0.0952380952380952
govor,oder,0.0952380952380952
govor,politika,0.0952380952380952
gozd,zelena,0.1052631578947368
gradbeno,delo,0.1
gradbeno,dovoljenje,0.35
gradbeno,podjetje,0.1
graditi,hiša,0.25
hitrost,avto,0.2105263157894736
hitrost,tek,0.1052631578947368
hoditi,cesta,0.1
hudo,dobro,0.2
hudo,močno,0.1
hudo,odlično,0.1
hudo,slabo,0.15
igrišče,igra,0.1052631578947368
