Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,Oz,FC1,FC2,CP1,CP2,FC5,FC6,CP5,CP6,TP9,TP10,EOG,ECG
1.000000,0.839310,0.826497,0.786155,0.775734,0.781835,0.693535,0.733245,0.563651,0.579319,0.859647,0.776876,0.586026,0.500161,0.753791,0.563208,0.804554,0.699769,0.640634,0.669611,0.790446,0.683112,0.740041,0.745880,0.814211,0.616385,0.762272,0.684927,0.589026,0.671325,0.793897,0.697780
0.839310,1.000000,0.814846,0.832366,0.760687,0.726715,0.712934,0.677765,0.554850,0.550939,0.790265,0.791563,0.554229,0.463546,0.786927,0.545792,0.897755,0.729348,0.693139,0.634063,0.803618,0.725408,0.786884,0.669745,0.775086,0.583138,0.795426,0.632373,0.578366,0.726830,0.742594,0.744373
0.826497,0.814846,1.000000,0.879325,0.875589,0.800100,0.789710,0.728490,0.617143,0.616424,0.942934,0.849350,0.648220,0.535362,0.857439,0.615636,0.872785,0.747360,0.720549,0.693521,0.897363,0.762517,0.841615,0.728594,0.913929,0.685113,0.861152,0.703260,0.600669,0.760011,0.794096,0.713024
0.786155,0.832366,0.879325,1.000000,0.777646,0.848540,0.717597,0.725401,0.582127,0.598949,0.838792,0.908994,0.583660,0.524675,0.779414,0.597503,0.898605,0.704473,0.652744,0.677991,0.811411,0.782265,0.761015,0.723668,0.820242,0.729856,0.785594,0.694163,0.560240,0.714176,0.764024,0.734279
0.775734,0.760687,0.875589,0.777646,1.000000,0.772592,0.917541,0.750941,0.723107,0.693286,0.895660,0.770264,0.761827,0.564796,0.917559,0.671781,0.783382,0.795726,0.808947,0.741403,0.922156,0.724896,0.923180,0.755720,0.940117,0.633446,0.905732,0.709072,0.631154,0.740637,0.799615,0.640811
0.781835,0.726715,0.800100,0.848540,0.772592,1.000000,0.730748,0.873462,0.669226,0.719501,0.810077,0.825086,0.608233,0.630477,0.760880,0.726355,0.776023,0.720882,0.650821,0.778836,0.762393,0.802331,0.747659,0.890125,0.785597,0.739109,0.760338,0.835789,0.574769,0.710386,0.746011,0.664023
0.693535,0.712934,0.789710,0.717597,0.917541,0.730748,1.000000,0.732130,0.792586,0.740546,0.812734,0.709104,0.761512,0.565929,0.956350,0.712495,0.726615,0.768529,0.912761,0.755553,0.807822,0.730196,0.927808,0.735438,0.855171,0.588046,0.932976,0.690494,0.637329,0.785238,0.750656,0.596317
0.733245,0.677765,0.728490,0.725401,0.750941,0.873462,0.732130,1.000000,0.770574,0.834355,0.738181,0.736939,0.651746,0.697491,0.734149,0.829825,0.701804,0.683374,0.654381,0.915763,0.708994,0.662589,0.726600,0.923626,0.729072,0.661814,0.725549,0.942773,0.620320,0.695793,0.704140,0.591412
0.563651,0.554850,0.617143,0.582127,0.723107,0.669226,0.792586,0.770574,1.000000,0.938795,0.633059,0.592013,0.772641,0.642072,0.732475,0.843355,0.580999,0.581838,0.702460,0.858912,0.624512,0.565107,0.707323,0.741628,0.661861,0.553143,0.709252,0.740041,0.641990,0.620433,0.594384,0.452321
0.579319,0.550939,0.616424,0.598949,0.693286,0.719501,0.740546,0.834355,0.938795,1.000000,0.628204,0.598603,0.718857,0.678513,0.688332,0.875632,0.583076,0.599608,0.662686,0.918329,0.611117,0.588359,0.674518,0.795311,0.645731,0.582409,0.668758,0.803426,0.608473,0.645825,0.602264,0.456420
