Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,Oz,FC1,FC2,CP1,CP2,FC5,FC6,CP5,CP6,TP9,TP10,EOG,ECG
1.000000,0.861070,0.843835,0.827355,0.766069,0.791646,0.719055,0.743437,0.584531,0.603238,0.880358,0.808030,0.621985,0.647396,0.775924,0.603732,0.846356,0.685300,0.667938,0.685089,0.780749,0.709792,0.740274,0.727400,0.828970,0.672134,0.781116,0.702298,0.615668,0.701913,0.836948,0.718768
0.861070,1.000000,0.799249,0.853136,0.734172,0.745845,0.704572,0.697407,0.556298,0.574653,0.793387,0.802822,0.576818,0.607871,0.774864,0.574995,0.897581,0.725982,0.695937,0.656708,0.774372,0.728015,0.764359,0.676512,0.768077,0.636435,0.783730,0.657943,0.593807,0.728514,0.767887,0.758456
0.843835,0.799249,1.000000,0.872430,0.841870,0.810929,0.795817,0.749100,0.632750,0.653904,0.921591,0.856114,0.665479,0.683947,0.854823,0.658337,0.853672,0.752069,0.742007,0.721568,0.872979,0.773056,0.830159,0.740433,0.895092,0.718142,0.856603,0.729012,0.618606,0.778586,0.826180,0.723858
0.827355,0.853136,0.872430,1.000000,0.762715,0.860484,0.729489,0.749666,0.593192,0.629786,0.836846,0.916114,0.605010,0.686391,0.792764,0.631833,0.896231,0.718763,0.693066,0.702983,0.791440,0.800690,0.764244,0.734786,0.810622,0.769496,0.798984,0.719778,0.602059,0.740727,0.807748,0.745818
0.766069,0.734172,0.841870,0.762715,1.000000,0.763555,0.914568,0.739986,0.714755,0.706212,0.883916,0.758606,0.775723,0.670964,0.912017,0.678630,0.764629,0.810553,0.820821,0.741242,0.918744,0.727707,0.924811,0.746208,0.935774,0.657472,0.900714,0.697074,0.631799,0.735585,0.816144,0.643977
0.791646,0.745845,0.810929,0.860484,0.763555,1.000000,0.738190,0.884234,0.671773,0.735057,0.804487,0.859446,0.632440,0.791671,0.772416,0.750095,0.795352,0.751347,0.675623,0.788028,0.769927,0.835032,0.753824,0.892364,0.782417,0.791404,0.773414,0.849897,0.611757,0.728768,0.781477,0.686419
0.719055,0.704572,0.795817,0.729489,0.914568,0.738190,1.000000,0.750312,0.793234,0.765554,0.824015,0.728313,0.801748,0.683235,0.958526,0.734430,0.733625,0.793483,0.916187,0.782991,0.820137,0.732391,0.926993,0.753729,0.862599,0.633171,0.934934,0.709353,0.663401,0.791291,0.789528,0.605465
0.743437,0.697407,0.749100,0.749666,0.739986,0.884234,0.750312,1.000000,0.779184,0.849301,0.746234,0.774445,0.695542,0.843843,0.753491,0.840028,0.726781,0.722378,0.678188,0.922524,0.720748,0.704168,0.735352,0.933337,0.728932,0.720836,0.745472,0.944108,0.662456,0.706942,0.729874,0.620750
0.584531,0.556298,0.632750,0.593192,0.714755,0.671773,0.793234,0.779184,1.000000,0.947560,0.645403,0.613887,0.846897,0.776471,0.740586,0.844454,0.593296,0.610663,0.706954,0.864665,0.643351,0.580437,0.708459,0.756343,0.663662,0.596435,0.717034,0.751868,0.690827,0.618854,0.617665,0.464059
0.603238,0.574653,0.653904,0.629786,0.706212,0.735057,0.765554,0.849301,0.947560,1.000000,0.651350,0.647377,0.798778,0.824834,0.719650,0.875539,0.615494,0.639994,0.689035,0.924143,0.646345,0.619806,0.697630,0.816001,0.661226,0.649211,0.700175,0.821185,0.675469,0.660091,0.632452,0.485878
