gate	hop	via_parent	reachable	class	direct_github_mention	in_mention_orphan_390
native_v2_cpu_compiler_umbrella_gate.sh	0		no	unclassified	no	yes
dissertation_pbpk_suite_gate.sh	1	native_v2_cpu_compiler_umbrella_gate.sh	no	manual-by-design	no	yes
kretikos_kaxi_gate.sh	1	native_v2_cpu_compiler_umbrella_gate.sh	no	manual-by-design	no	yes
kretikos_kaxi_iso_budget_gate.sh	1	native_v2_cpu_compiler_umbrella_gate.sh	no	manual-by-design	no	yes
kretikos_kaxi_phase_j_gate.sh	1	native_v2_cpu_compiler_umbrella_gate.sh	no	manual-by-design	no	yes
kretikos_kaxi_phase_y_gate.sh	1	native_v2_cpu_compiler_umbrella_gate.sh	no	manual-by-design	no	yes
lean_single_fixed_point_gate.sh	1	native_v2_cpu_compiler_umbrella_gate.sh	no	manual-by-design	no	yes
native_v2_driver_self_compile_gate.sh	1	native_v2_cpu_compiler_umbrella_gate.sh	no	manual-by-design	no	yes
native_v2_e2e_codegen_suite_gate.sh	1	native_v2_cpu_compiler_umbrella_gate.sh	no	manual-by-design	no	yes
native_v2_epistemic_science_spine_gate.sh	1	native_v2_cpu_compiler_umbrella_gate.sh	no	manual-by-design	no	yes
native_v2_f64_ladder_gate.sh	1	native_v2_cpu_compiler_umbrella_gate.sh	no	manual-by-design	no	yes
native_v2_gum_primitives_gate.sh	1	native_v2_cpu_compiler_umbrella_gate.sh	no	manual-by-design	no	yes
native_v2_imported_captured_closure_boundary_gate.sh	1	native_v2_cpu_compiler_umbrella_gate.sh	no	manual-by-design	no	yes
native_v2_imported_closure_boundary_gate.sh	1	native_v2_cpu_compiler_umbrella_gate.sh	no	manual-by-design	no	yes
native_v2_semantic_hardening_gate.sh	1	native_v2_cpu_compiler_umbrella_gate.sh	no	manual-by-design	no	yes
native_v2_struct_gate.sh	1	native_v2_cpu_compiler_umbrella_gate.sh	no	manual-by-design	no	yes
canonical_compiler_gate.sh	2	lean_single_fixed_point_gate.sh	yes	workflow-reachable	yes	no
kaxi_ptx_golden_gate.sh	2	kretikos_kaxi_gate.sh	no	unclassified	no	yes
native_v2_hof_closure_gate.sh	2	native_v2_imported_closure_boundary_gate.sh	no	unclassified	no	yes
native_v2_imported_body_lowering_gate.sh	2	native_v2_imported_closure_boundary_gate.sh	no	unclassified	no	yes
native_v2_imported_core_abi_gate.sh	2	native_v2_struct_gate.sh	no	unclassified	no	yes
native_v2_imported_hof_abi_gate.sh	2	native_v2_struct_gate.sh	no	unclassified	no	yes
native_v2_metal_algebra_gate.sh	2	native_v2_struct_gate.sh	no	unclassified	no	yes
native_v2_nvidia_bare_metal_gate.sh	2	native_v2_struct_gate.sh	no	unclassified	no	yes
native_v2_serious_track_gate.sh	2	native_v2_driver_self_compile_gate.sh	no	unclassified	no	yes
native_v2_frontend_convergence_gate.sh	3	native_v2_imported_core_abi_gate.sh	no	unclassified	no	yes
