gate	reachable	class	depth	origin_workflow	via	direct_github_mention
168_biology_validation_gate.sh	no	unclassified	0			no
ade_wildgen_mckay_gate.sh	no	unclassified	0			no
arm64_nested_store_witness_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
associator_gum_variance_gate.sh	no	unclassified	0			no
bootstrap_chain_gate.sh	no	manual-by-design	0			no
brain_ossm_sigmoid_polarity_gate.sh	no	unclassified	0			no
canonical_compiler_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
cd_tower_nullity_histogram_law_gate.sh	no	unclassified	0			no
cd_tower_seam_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
cd_zd_graph_invariants_gate.sh	no	unclassified	0			no
chingon_zd_gate.sh	no	unclassified	0			no
claim_ast_gate.sh	no	unclassified	0			no
claim_native_gate.sh	no	unclassified	0			no
claude_operational_contract_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
compiler_lane_status_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
compiler_stage_contract_gate.sh	no	unclassified	0			no
cpc2026_yale_evidence_gate.sh	no	unclassified	0			no
deep_four_lane_gate.sh	no	unclassified	0			no
dissertation_confidence_gate_gate.sh	no	manual-by-design	0			no
dissertation_dossier_gate.sh	no	manual-by-design	0			no
dissertation_frontend_parity_gate.sh	no	manual-by-design	0			no
dissertation_pbpk28_parity_gate.sh	no	manual-by-design	0			no
dissertation_pbpk_hessian_gate.sh	no	manual-by-design	0			no
dissertation_pbpk_suite_gate.sh	no	manual-by-design	0		umbrella	no
dyadic_non_reduction_gate.sh	no	unclassified	0			no
dyadic_relational_associator_gate.sh	no	unclassified	0			no
e219_engine_oracle_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
e219_refusal_correspondence_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
e_series_semantic_germ_gate.sh	no	unclassified	0			no
effects_handler_interaction_lean_gate.sh	no	unclassified	0			no
eisa_bridge_conformance_gate.sh	no	unclassified	0			no
eisa_h_zd_reference_gate.sh	no	unclassified	0			no
ekan_native_core_gate.sh	no	unclassified	0			no
engine_parity_gate.sh	no	unclassified	0			no
epistemic_egraph_rewrite_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
epistemic_fabrication_detect_gate.sh	no	forgotten	0			no
epistemic_measure_correspondence_gate.sh	no	forgotten	0			no
epistemic_monotonicity_gate.sh	no	unclassified	0			no
epistemic_multidrug_gate.sh	no	unclassified	0			no
epistemic_pbpk_gate.sh	no	unclassified	0			no
epistemic_witness_gate.sh	no	unclassified	0			no
exact_bitwise_rebracket_authority_gate.sh	no	unclassified	0			no
exact_bitwise_rebracket_source_ir_gate.sh	no	unclassified	0			no
extern_builtin_mirror_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
f64_bitcast_sitofp_boundary_gate.sh	no	forgotten	0			no
falsification_ledger_gate.sh	no	unclassified	0			no
federated_san_gate.sh	no	manual-by-design	0			no
ffi_posix_builtin_gate.sh	no	unclassified	0			no
float_slot_capacity_coherence_gate.sh	no	unclassified	0			no
fo_bytecode_fragment_gate.sh	no	unclassified	0			no
fo_css_surface_parity_gate.sh	no	unclassified	0			no
fo_emit_pure_gate.sh	no	unclassified	0			no
fo_engine_install_fragment_gate.sh	no	unclassified	0			no
fo_method_xfer_fragment_gate.sh	no	unclassified	0			no
fo_multimod_fragment_gate.sh	no	unclassified	0			no
fo_pk_import_auc_thalf_driver_gate.sh	no	unclassified	0			no
fo_pk_import_auct_driver_gate.sh	no	unclassified	0			no
fo_pk_import_cmax_driver_gate.sh	no	unclassified	0			no
fo_pk_import_fss_driver_gate.sh	no	unclassified	0			no
fo_pk_import_ld_driver_gate.sh	no	unclassified	0			no
fo_pk_import_method_driver_gate.sh	no	unclassified	0			no
fo_pk_import_mrt_driver_gate.sh	no	unclassified	0			no
fo_pk_import_ptr_driver_gate.sh	no	unclassified	0			no
fo_pk_import_rac_driver_gate.sh	no	unclassified	0			no
fo_pk_struct_auc_thalf_driver_gate.sh	no	unclassified	0			no
fo_pk_struct_auct_driver_gate.sh	no	unclassified	0			no
fo_pk_struct_cmax_driver_gate.sh	no	unclassified	0			no
fo_pk_struct_fss_driver_gate.sh	no	unclassified	0			no
fo_pk_struct_ld_driver_gate.sh	no	unclassified	0			no
fo_pk_struct_method_driver_gate.sh	no	unclassified	0			no
fo_pk_struct_mrt_driver_gate.sh	no	unclassified	0			no
fo_pk_struct_multidose_driver_gate.sh	no	unclassified	0			no
fo_pk_struct_ptr_driver_gate.sh	no	unclassified	0			no
fo_pk_struct_rac_driver_gate.sh	no	unclassified	0			no
fo_pk_struct_rho_tau_driver_gate.sh	no	unclassified	0			no
fo_registration_fragment_gate.sh	no	unclassified	0			no
fo_residual4_stack_gate.sh	no	unclassified	0			no
fo_surface_transfer_gate.sh	no	unclassified	0			no
founder_intent_contract_gate.sh	no	unclassified	0			no
fpga_catastrophe_scan_gate.sh	no	unclassified	0			no
fpga_receipt_staleness_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
functor_f_g2_covariance_gate.sh	no	unclassified	0			no
furey_charge_g2_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
furey_octonion_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
g1_expr_recursion_gate.sh	no	unclassified	0			no
g2_zd_fibers_gate.sh	no	unclassified	0			no
garden_to_claim_gate.sh	no	unclassified	0			no
gate_vacuity_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
gb10_wmma_receipt_gate.sh	yes	workflow-reachable	1	gb10-wmma-receipt.yml	.github/workflows/gb10-wmma-receipt.yml,scripts/ci/gb10_wmma_receipt_gate.sh	yes
generated_ontology_gate.sh	yes	workflow-reachable	2	ci.yml	scripts/ci/generated_ontology_gate.sh,scripts/ci/run_ontology_validation.sh	no
generated_ontology_manifest_gate.sh	no	manual-by-design	0		makefile	no
global_aggregate_store_gate.sh	no	unclassified	0			no
gpu_knowledge_vecmat_evidence_gate.sh	no	unclassified	0			no
graphics_companion_gate.sh	no	unclassified	0			no
graphics_scaffold_gate.sh	no	unclassified	0			no
gresnigt_family_s3_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
gresnigt_g2s3_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
gri30_full_workspace_allocation_gate.sh	no	unclassified	0			no
heuristic_firewall_gate.sh	yes	workflow-reachable	1	ci.yml	.github/workflows/ci.yml	yes
ir_instr_arena_gate.sh	no	unclassified	0			no
ir_module_arena_v2_soir_v5_bridge_gate.sh	no	unclassified	0			no
ir_nop_marker_gate.sh	no	unclassified	0			no
irfunction_instr_capacity_coherence_gate.sh	no	unclassified	0			no
journal_submission_gate.sh	no	unclassified	0			no
kaxi_ptx_golden_gate.sh	no	unclassified	0			no
knowledge_context_composite_gate.sh	no	manual-by-design	0		makefile	no
knowledge_context_numeric_gate.sh	no	manual-by-design	0		makefile	no
knowledge_context_phase2_ontology_gate.sh	no	manual-by-design	0		makefile	no
knowledge_context_runtime_obligation_gate.sh	no	manual-by-design	0		makefile	no
knowledge_context_static_gate.sh	no	manual-by-design	0		makefile	no
knowledge_context_static_value_gate.sh	no	manual-by-design	0		makefile	no
knowledge_context_unit_gate.sh	no	manual-by-design	0		makefile	no
knowledge_runtime_guard_directive_native_scan_gate.sh	no	manual-by-design	0		makefile	no
knowledge_runtime_guard_expansion_gate.sh	no	manual-by-design	0		makefile	no
knowledge_runtime_guard_lowering_plan_gate.sh	no	manual-by-design	0		makefile	no
knowledge_runtime_guard_native_lowering_gate.sh	no	manual-by-design	0		makefile	no
kretikos_associator_emit_gate.sh	no	unclassified	0			no
kretikos_cross_backend_cuda_benchmark_gate.sh	no	unclassified	0			no
kretikos_cross_backend_cuda_runtime_gate.sh	no	unclassified	0			no
kretikos_cross_backend_semantic_gate.sh	no	unclassified	0			no
kretikos_cubin_evidence_gate.sh	no	unclassified	0			no
kretikos_cubin_evidence_matrix_gate.sh	no	unclassified	0			no
kretikos_f64_runtime_gate.sh	no	unclassified	0			no
kretikos_hpc_slurm_runtime_gate.sh	no	unclassified	0			no
kretikos_hpc_source_lowering_gate.sh	no	unclassified	0			no
kretikos_kaxi_fmad_invariance_gate.sh	no	unclassified	0			no
kretikos_kaxi_gate.sh	no	manual-by-design	0		umbrella	no
