# E035 blast radius if with Mod became Mut. SHA bd361fd092. Not averaged.
# field	value	engine	notes
verdict	LARGE_BUT_CLOSED	n/a	depth 2, no compiler, no extra stdlib files
sha	bd361fd0923bbc83ab7b0e7e00432c12baefdebd	n/a	origin/main
git_grep_sites	2806	n/a	#2009 instrument; includes 1 comment
git_grep_files	363	n/a	
parser_faithful_sites	2813	n/a	#2004 extractor; no comments
parser_faithful_files	365	n/a	
function_owned	2813	n/a	fn's own with-clause
closed_list_2793	2813-20	n/a	stdout cap, not a census
grep_comment_only	1	n/a	self-hosted/check/effects.sio:24
extractor_nonadjacent	8	n/a	with Div, Mod etc.
files_mod_and_mut	3	n/a	
files_mod_never_mut	362	n/a	
closure_functions	3656	static	
closure_files	695	static	
max_depth	2	static	
wave1_e035_predicted_fns	759	static	callers that would lack Mut
wave1_ok_because_mod	1239	static	
wave1_already_mut	0	static	
closure_need_new_mut	843	static	759 wave1 + 84 wave2
need_mut_files	552	static	all under tests/
reaches_compiler	false	static	
extra_stdlib_files	0	static	59 stdlib files already had Mod
madaros_baseline_e035	0	madaros	695 files, all check:OK
madaros_after_e035	13653	madaros	per call site
madaros_files_gained	552	madaros	exact file-level match
madaros_after_rc0	143	madaros	self-contained Mod files
lean_baseline_e035	0	lean_single	seed does not emit E035
lean_after_e035	0	lean_single	seed does not emit E035
positive_mod_refuse_base_e035	0	madaros	check:OK
positive_mod_refuse_after_e035	1	madaros	drops_effect missing Mut, required by marked
slurm_host	cpuops-t560-proxmox	n/a	partition cpu-ops
applied_sites_scratch	2813	n/a	disposable /tmp/e035-in only
