# EFFECTS_LAYER_COST_2026-08-19
# SHA	515d93a8e344
# instrument_import	self-hosted/**/*.sio minus self-hosted/<dir>/ ; line-start ^use <dir>::
# instrument_check	souc check per file on Slurm cpuops-t560-proxmox ; Madaros v0.80.0 staged from this SHA
# lying_ruler_rejected	use|import|from|mod
question	item	value	rc_or_n	class	evidence
Q0	import_parser	93	93	control_hit	matches founder
Q0	import_check	49	49	control_hit	matches founder
Q0	import_ir	48	48	control_hit	matches founder
Q0	import_native	20	20	near	founder 19; SHA moved
Q0	import_wasm	17	17	near	founder 15; SHA moved
Q0	import_hlir	2	2	control_hit	matches founder
Q0	import_gpu	2	2	near	founder 1; SHA moved
Q0	import_enir	0	0	control_hit	matches founder
Q0	import_mli	0	0	control_hit	matches founder
Q0	import_llvm	0	0	control_hit	matches founder
Q0	import_vm	0	0	control_hit	matches founder
Q0	import_effects	0	0	believed	only after parser/ir/check hit
Q0	check_positive_i64_pass	OK	0	control_hit	Slurm check: OK
Q1	mod.sio	OK	0	syntax_exists	Slurm check: OK
Q1	types.sio	E015/E137	1	semantic	8 E015 Name; 31 E137; 0 parse
Q1	checker.sio	OK	0	syntax_exists	Slurm check: OK
Q1	handlers.sio	OK	0	syntax_exists	Slurm check: OK
Q2	types_enum_variants	15	15	enum	EffectKind EffIO..EffUnknown
Q2	checker_bit_ids	13	13	i64_bitset	EFF_IO=1 .. EFF_EXN=13
Q2	live_byte_names	23	23	byte_cmp	check/effects.sio name_buf
Q2	live_as_i8_count	51	51	byte_cmp	founder 51
Q2	enum_missing_vs_live	11	11	stale_vocab	Render Observe NonAssoc Audit Hypothesis MultiTest ZD Witness Temporal Learn Chaotic
Q3	mod_commits	1	1	batch	d3d2715b54 2026-02-16 only
Q3	types_commits	5	5	incremental	2026-02-16 .. 2026-07-26
Q3	checker_commits	1	1	batch	c0cc456f63 2026-02-28 2056 lines
Q3	handlers_commits	1	1	batch	b0a9df2202 2026-03-01 2991 lines
Q4	use_effects	0	0	no_caller	git grep empty
Q4	checker_in_file_tests	50	50	dead_without_main	effc_test_*
Q4	handlers_in_file_tests	65	65	dead_without_main	test_efh_*
Q5	reimplements_handlers	NO	0	different_surface	CPS vs inline; msg-1787134355-1982491-29927
