effect	id	total	stdlib	self_hosted	tests	examples	other	witness_file	witness_line	witness_with
IO	0	10956	1722	4554	2628	1520	532	stdlib/algebra/ladder.sio	143	with IO, Mut, Panic, Div
Mut	1	51507	10615	21827	12289	5596	1180	stdlib/algebra/associator_field.sio	26	with Mut, Div, Panic
Alloc	2	5597	1129	4136	225	55	52	stdlib/collections/heap_map.sio	53	with Alloc, Mut
Panic	3	48384	10201	21755	11517	3973	938	stdlib/algebra/associator_field.sio	26	with Mut, Div, Panic
Div	4	46808	9501	20271	11382	4649	1005	stdlib/algebra/associator_field.sio	26	with Mut, Div, Panic
GPU	5	193	5	14	123	51	0	stdlib/gpu/clifford_kernel.sio	96	with GPU, Mut, Div, Panic
Async	6	20	0	0	20	0	0	tests/effects/archaeology/async_pass.sio	1	with Async
Prob	7	52	34	0	17	1	0	stdlib/chemistry/kinetics.sio	1030	with Mut, Div, Panic, Prob, Observe, IO
Epistemic	8	405	187	0	173	34	11	stdlib/darwin_pbpk/cumulants.sio	246	with Mut, Div, Panic, Epistemic
Causal	9	18	3	0	15	0	0	stdlib/epistemic/composed_effects.sio	276	with Causal
Network	10	0	0	0	0	0	0			
Sensor	11	0	0	0	0	0	0			
Render	12	0	0	0	0	0	0			
Observe	13	44	20	0	22	2	0	stdlib/chemistry/kinetics.sio	1028	with Observe
NonAssoc	14	86	18	0	30	35	3	stdlib/algebra/associator_field.sio	66	with Mut, Div, Panic, NonAssoc
Audit	15	11	0	0	9	2	0	tests/effects/archaeology/audit_pass.sio	1	with Audit
Hypothesis	16	8	0	0	5	3	0	tests/run-pass/hypothesis_registered.sio	28	with Hypothesis
MultiTest	17	4	0	0	4	0	0	tests/compile-fail/multitest_no_correction.sio	13	with MultiTest
ZD	18	84	62	0	7	11	4	stdlib/epistemic/audited.sio	45	with Mut, ZD
Witness	19	15	10	0	5	0	0	stdlib/regulatory/eu_aiact.sio	33	with Mut, ZD, Witness
Temporal	20	11	6	0	5	0	0	stdlib/epistemic/revivable.sio	51	with Mut, ZD, Temporal
Learn	21	20	12	0	5	1	2	stdlib/learn/surgical_adam.sio	30	with Mut, ZD, Learn
Chaotic	22	7	0	0	6	1	0	tests/effects/archaeology/chaotic_pass.sio	1	with Chaotic
