name	id	bytes	in_A_51	in_B_1944_before	in_C_claude	check_pass_rc	run_pass_rc	refuse_rc	refuse_diag	foo_diag	foo_differs	position	note
IO	0	2	yes	yes	yes	0	0	1	error[E035]	SILENCE	yes	Claim-ready	A∩B∩C
Mut	1	3	yes	yes	yes	0	0	1	error[E035]	SILENCE	yes	Claim-ready	A∩B∩C
Alloc	2	5	yes	yes	yes	0	0	1	error[E035]	SILENCE	yes	Claim-ready	A∩B∩C
Panic	3	5	yes	yes	yes	0	0	1	error[E035]	SILENCE	yes	Claim-ready	A∩B∩C
Div	4	3	yes	yes	yes	0	0	1	error[E035]	SILENCE	yes	Claim-ready	A∩B∩C
GPU	5	3	yes	yes	yes	0	0	1	error[E035]	SILENCE	yes	Claim-ready	A∩B∩C; deepest_named_layer=IR in #1944
Async	6	5	yes	yes	yes	0	0	1	error[E035]	SILENCE	yes	Claim-ready	A∩B∩C
Prob	7	4	yes	yes	yes	0	0	1	error[E035]	SILENCE	yes	Claim-ready	A∩B∩C; deepest_named_layer=IR in #1944
Epistemic	8	9	yes	no	no	0	0	1	error[E035]	SILENCE	yes	Claim-ready	A\\B; pair added this lane; missing: Epistemic
Causal	9	6	yes	no	no	0	0	1	error[E035]	SILENCE	yes	Claim-ready	A\\B; pair added this lane
Network	10	7	yes	no	no	0	0	1	error[E035]	SILENCE	yes	Claim-ready	A\\B; pair added this lane
Sensor	11	6	yes	no	no	0	0	1	error[E035]	SILENCE	yes	Claim-ready	A\\B; pair added this lane
Render	12	6	yes	no	no	0	0	1	error[E035]	SILENCE	yes	Claim-ready	A\\B; pair added this lane
Observe	13	7	yes	yes	yes	0	0	1	error[E035]	SILENCE	yes	Claim-ready	A∩B∩C
NonAssoc	14	8	yes	yes	no	0	0	1	error[E035]	SILENCE	yes	Claim-ready	B\\C
Audit	15	5	yes	yes	no	0	0	1	error[E035]	SILENCE	yes	Claim-ready	B\\C
Hypothesis	16	10	yes	no	no	0	0	1	error[E035]	SILENCE	yes	Claim-ready	A\\B; pair added this lane
MultiTest	17	9	yes	no	no	0	0	1	error[E035]	SILENCE	yes	Claim-ready	A\\B; pair added this lane
ZD	18	2	yes	yes	no	0	0	1	error[E035]	SILENCE	yes	Claim-ready	B\\C
Witness	19	7	yes	yes	no	0	0	1	error[E035]	SILENCE	yes	Claim-ready	B\\C
Temporal	20	8	yes	yes	no	0	0	1	error[E035]	SILENCE	yes	Claim-ready	B\\C
Learn	21	5	yes	yes	no	0	0	1	error[E035]	SILENCE	yes	Claim-ready	B\\C
Chaotic	22	7	yes	yes	no	0	1	1	error[E035]	SILENCE	yes	Hypothesis	B\\C; check Claim-ready-shaped; native emit rc=12; E035 prints Effect#22
Foo	-	-	no	no	no	0	0	0	SILENCE	SILENCE	no	Garden	negative control; not a recognized name
Approx	-	-	no	no	no	0	-	0	SILENCE	SILENCE	no	Garden	lean_single only; not in Madaros 51
Deterministic	-	-	no	no	no	0	-	0	SILENCE	SILENCE	no	Garden	lean_single only; not in Madaros 51
Confidence	-	-	no	no	no	0	-	0	SILENCE	SILENCE	no	Garden	lean_single aliases with Epistemic; Madaros drops it
