# EFFECT_ENUM_2A_2026-08-19
# base_sha	cdea9d7eef
# effects_sio_still	e5715c547d_text
# slurm_job	10327	gpuorangefs-r770-proxmox	rc=0	elapsed=226s	elf_bytes=100551595
# test	tests/run-pass/effect_enum_equiv.sio
# before	2026-08-19T11:00:53Z	NEGATIVE_CONTROL_FIRED	EFFECT_ENUM_EQUIV_OK 23/23	rc=0
# after	2026-08-19T11:02:22Z	NEGATIVE_CONTROL_FIRED	EFFECT_ENUM_EQUIV_OK 23/23	rc=0
# after_rerun	2026-08-19T11:06:00Z	NEGATIVE_CONTROL_FIRED	EFFECT_ENUM_EQUIV_OK 23/23	rc=0
# ci_fail	#1960 job 96048482036	FAIL effect_enum_equiv.sio (run exited 1)	lean_single typecheck	not assertion
# after_lean	2026-08-19T11:42:00Z	lean_single+Madaros	NEGATIVE_CONTROL_FIRED	EFFECT_ENUM_EQUIV_OK 23/23	rc=0
# instrument	standalone dual-function file; user tests cannot call check internals
# negative_control	NoSuchEffectX must be -1 on both sides or the measurement is null
name	id	legacy	enum	match	role
IO	0	0	0	yes	live
Mut	1	1	1	yes	live
Alloc	2	2	2	yes	live
Panic	3	3	3	yes	live
Div	4	4	4	yes	live
GPU	5	5	5	yes	live
Async	6	6	6	yes	live
Prob	7	7	7	yes	live
Epistemic	8	8	8	yes	live
Causal	9	9	9	yes	live
Network	10	10	10	yes	live
Sensor	11	11	11	yes	live
Render	12	12	12	yes	live
Observe	13	13	13	yes	live
NonAssoc	14	14	14	yes	live
Audit	15	15	15	yes	live
Hypothesis	16	16	16	yes	live
MultiTest	17	17	17	yes	live
ZD	18	18	18	yes	live
Witness	19	19	19	yes	live
Temporal	20	20	20	yes	live
Learn	21	21	21	yes	live
Chaotic	22	22	22	yes	live
NoSuchEffectX	-1	-1	-1	yes	NEGATIVE_CONTROL_FIRED
EffVar	23	n/a	n/a	disc_only	row_polymorphism_not_a_with_name
