# EFFECT_ENUM_2B_2026-08-19
# stacked_on	f325084c32	PR #1960
# mod_files	360	occ	2800	instrument	rg -l --glob '*.sio' 'with Mod'
# mod_before	Madaros drop rc=0	same as NoSuchEffectX	IO control E035 rc=1
# print_census_before	ids 0-21 named	id 22 Chaotic falls to Effect#22
name	id	role	seed_bit	seed_value	print_before	print_after
IO	0	live_2a	0	1	named	named
Mut	1	live_2a	1	2	named	named
Alloc	2	live_2a	4	16	named	named
Panic	3	live_2a	2	4	named	named
Div	4	live_2a	3	8	named	named
GPU	5	live_2a	13	8192	named	named
Async	6	live_2a	-	-	named	named
Prob	7	live_2a	-	-	named	named
Epistemic	8	live_2a	9	512	named	named
Causal	9	live_2a	19	524288	named	named
Network	10	live_2a	-	-	named	named
Sensor	11	live_2a	-	-	named	named
Render	12	live_2a	-	-	named	named
Observe	13	live_2a	5	32	named	named
NonAssoc	14	live_2a	-	-	named	named
Audit	15	live_2a	7	128	named	named
Hypothesis	16	live_2a	8	256	named	named
MultiTest	17	live_2a	-	-	named	named
ZD	18	live_2a	14	16384	named	named
Witness	19	live_2a	15	32768	named	named
Temporal	20	live_2a	16	65536	named	named
Learn	21	live_2a	17	131072	named	named
Chaotic	22	live_2a	none	none	Effect#22	Chaotic
Approx	23	extra_2b	18	262144	dropped	named
NaturalityG2	24	extra_2b	20	1048576	dropped	named
Deterministic	25	extra_2b	12	4096	dropped	named
Perturbative	26	extra_2b	comment_23	8388608	dropped	named
NarrowWidthApproximation	27	extra_2b	comment_24	16777216	dropped	named
NonUnitary	28	extra_2b	comment_22	4194304	dropped	named
Mod	-1	held_pending_measurement	none	none	dropped	dropped
Confidence	8	alias_of_Epistemic	9	512	dropped	Epistemic
EffVar	29	structure	-	-	Effect#23	Effect#29
NoSuchEffectX	-1	negative_control	-	-	dropped	dropped
