case	engine	verb	rc	diag	stdout	note
pos_value	madaros	check	0	none		positive write value: read .value
pos_value	lean_single	check	0	none		
pos_value	madaros	run	0	none	12.400000	positive
pos_value	lean_single	run	0	none	12.400000	positive
neg_epsilom	madaros	check	0	none		FINDING: invented name silence
neg_epsilom	lean_single	check	0	unknown_field_warning	warning: unknown field	not a hard refuse
neg_epsilom	madaros	run	0	none	1.000000 0.000000 0.000000	epsilom as 2nd field misses confidence slot
neg_epsilom	lean_single	run	0	none	1.000000 1.000000 1.000000	unknown dropped; default conf=1.0
sentinel_epsilon	madaros	check	0	none		
sentinel_epsilon	lean_single	check	0	none		
sentinel_epsilon	madaros	run	0	none	1.000000 2.000000 0.420000 0.000000	0.42 is c written; .epsilon dead
sentinel_epsilon	lean_single	run	0	none	1.000000 2.000000 0.420000 0.420000	named alias
epsilom_third	madaros	check	0	none		
epsilom_third	lean_single	check	0	unknown_field_warning		
epsilom_third	madaros	run	0	none	1.000000 2.000000 0.420000	ANY third name fills confidence
epsilom_third	lean_single	run	0	none	1.000000 2.000000 1.000000	unknown dropped
write_confidence	madaros	check	0	none		
write_confidence	lean_single	check	0	none		
write_confidence	madaros	run	0	none	0.420000 0.000000	layout name works; .epsilon still 0
write_confidence	lean_single	run	0	none	0.420000 0.420000	alias
