engine	program	phase	rc	elf	stdout_b64	stderr_excerpt	class
madaros	handle_control	check	0	n/a		check: OK	control
madaros	handle_control	compile	0	yes_7f454c46		Compilation successful!	control
madaros	handle_control	run	0	yes	Qk9EWV9NQVJLCg==		control
madaros	handle_io	check	0	n/a		check: OK	QUEDA_SILENCIOSA
madaros	handle_io	compile	0	yes_7f454c46		Merged IR: 1 functions	QUEDA_SILENCIOSA
madaros	handle_io	run	0	yes			QUEDA_SILENCIOSA
madaros	handle_unknown_effect	check	0	n/a		check: OK	QUEDA_SILENCIOSA
madaros	handle_unknown_effect	compile	0	yes_7f454c46		Merged IR: 1 functions	QUEDA_SILENCIOSA
madaros	handle_unknown_effect	run	0	yes			QUEDA_SILENCIOSA
lean_single	handle_control	check	0	n/a			control
lean_single	handle_control	compile	0	yes_7f454c46		ELF 36636 bytes	control
lean_single	handle_control	run	0	yes	Qk9EWV9NQVJLCg==		control
lean_single	handle_io	check	1	no		error[E200]: undefined identifier `handle`	RECUSA
lean_single	handle_io	compile	1	no		error[E200]: undefined identifier `handle`	RECUSA
lean_single	handle_io	run	skipped	no			RECUSA
lean_single	handle_unknown_effect	check	1	no		error[E200]: undefined identifier `handle`	RECUSA
lean_single	handle_unknown_effect	compile	1	no		error[E200]: undefined identifier `handle`	RECUSA
lean_single	handle_unknown_effect	run	skipped	no			RECUSA
