# HANDLE_GREEN_CENSUS_2026-08-19
# sha_measured	92fade0be1
# origin_main_at_write	482051161c
# sio_delta_92fade0be1_to_482051161c	0
# word_scan	git ls-files *.sio then \bhandle\b
# classifier	comments and strings blanked; remaining token classified
# handle_expr	handle<…> | handle { | handle IDENT (/{/with
# launch	scripts/dev/slurm_srun_minimal.sh partition cpu-ops node cpuops-t560-proxmox
# madaros	bin/souc default Madaros v0.80.0 sha256 437bdd8f96a2… = committed bin/madaros-linux-x86_64
# lean_single	SOUNIO_SOUC_ENGINE=lean_single bin/souc-lean-single-x86_64 sha256 337d5a86f44e…
# issue1993_fixtures	tests/audit/handle_*.sio not on this SHA
# perverse_cell	tests/run-pass + live handle_expr + Madaros pass
section	item	value	engine	rc_or_n	class	evidence
census	files_with_word_handle	94	n/a	94	word_scan	git ls-files *.sio
census	hits_total	900	n/a	900	word_scan	\bhandle\b
census	comment	441	n/a	441	excluded	84 files; // or /* */
census	ident	371	n/a	371	excluded	13 files; binding/param/assign
census	field	59	n/a	59	excluded	5 files; .handle / handle.await
census	string	23	n/a	23	excluded	9 files
census	other	6	n/a	6	excluded	2 files; next.handles[i]=handle GC table
census	handle_expr	0	n/a	0	empty	algebraic-effect construct
census	indeterminate	0	n/a	0	empty	no row left unclassified
control	positive_handle_expr	examples/effects.sio:46	n/a	0	comment	handle divide(a, b) with {  — inside /* line 1 .. */ line 66
control	positive_handle_expr	examples/effects.sio:54	n/a	0	comment	let result = handle {  — same block comment
control	negative_fn_name	self-hosted/ir/lower.sio:4810	n/a	0	absent	lower_handle_buf_arg_index — \bhandle\b does not match
control	negative_ident	tests/run-pass/closure_linear.sio:14	n/a	1	ident	let handle = open_file(42)
control	negative_ident	tests/run-pass/linear_correct_consume.sio:13	n/a	1	ident	let handle = FileHandle { fd: 42 }
control	negative_ident	tests/run-pass/async_spawn.sio:11	n/a	1	ident	let handle = spawn {
control	negative_field	tests/run-pass/async_spawn.sio:19	n/a	1	field	handle.await
control	negative_linear	examples/showcase/linear_file_server.sio	n/a	29	ident_field	FileHandle param/field; not effect handle
perverse	definition	run-pass + handle_expr + Madaros pass	Madaros	0	empty	no such file
perverse	count	0	Madaros	0	empty	hole #1993 is not laundered through a run-pass green
cousin	handler_discharge	println only	both	0	name_green	// Rewritten … handle<IO> not supported; prints directly
suite	tests/run-pass/closure_linear.sio	//@ run-pass //@ ignore; live ident	Madaros	0	linear_not_effect	check 0 compile 0 run 0 stdout 0
suite	tests/run-pass/closure_linear.sio	//@ run-pass //@ ignore; live ident	lean_single	1	linear_not_effect	check 1 linear value not consumed
suite	tests/run-pass/linear_correct_consume.sio	//@ run-pass; live ident	Madaros	0	linear_not_effect	check 0 compile 0 run 0
suite	tests/run-pass/linear_correct_consume.sio	//@ run-pass; live ident	lean_single	0	linear_not_effect	check 0 compile 0 run 0
suite	tests/run-pass/async_spawn.sio	//@ run-pass; ident+field	Madaros	1	not_handle_expr	check 1 E012 no field await on i32
suite	tests/run-pass/async_spawn.sio	//@ run-pass; ident+field	lean_single	0	not_handle_expr	check 0 compile 0 run 0 spawn_basic: PASS
suite	tests/run-pass/handler_discharge.sio	//@ run-pass expect-stdout native-pass; no live handle	Madaros	0	println_green	run 0 stdout handler: PASS
suite	tests/run-pass/handler_discharge.sio	//@ run-pass expect-stdout native-pass; no live handle	lean_single	0	println_green	run 0 stdout handler: PASS
example	examples/effects.sio	handle_expr in /* */; live stub println	Madaros	0	commented_expr	run 0 stdout example: effects 36
example	examples/effects.sio	handle_expr in /* */; live stub println	lean_single	1	seed_no_block_comment	check 1 E200 `handle` at commented lines 46 and 54
example	examples/effects/basic_handler_continuation.sio	no handle token; println	Madaros	0	println_green	run 0 Hello from handler!
example	examples/effects/basic_handler_continuation.sio	no handle token; println	lean_single	0	println_green	run 0 Hello from handler!
example	examples/effects/comprehensive_effects.sio	no handle token; println banner	Madaros	0	println_green	run 0 All tests completed successfully!
example	examples/effects/comprehensive_effects.sio	no handle token; println banner	lean_single	0	println_green	run 0 All tests completed successfully!
example	examples/showcase/effect_test_harness.sio	no handle token	Madaros	1	parse_fail	check 1
example	examples/showcase/effect_test_harness.sio	no handle token	lean_single	139	segv	compile 0 run 139 after harness header
example	examples/showcase/linear_file_server.sio	ident/field FileHandle	Madaros	0	linear_not_effect	check 0 compile 0 run 0
example	examples/showcase/linear_file_server.sio	ident/field FileHandle	lean_single	0	linear_not_effect	check 0 compile 0 run 0
docs	docs/spec/S07_EFFECT_HANDLERS.md:78-82	do not cite examples/effects*.sio as handlers running	n/a	0	agrees	those files have no live handle_expr
docs	examples/showcase/README.md:65-68	effect_test_harness demonstrates algebraic effects	n/a	1	contradicted	file simulates with structs; Madaros parse fail; lean_single SEGV 139
docs	docs/architecture/EFFECT_HANDLERS_IMPLEMENTATION.md:305-325	comprehensive_effects is end-to-end handler test via cargo jit	n/a	1	stale	no handle token; banner is println; cargo/JIT is not the clock
