question	item	value	rc_or_count	diagnostic	note
instrument	import_ruler	^use <pkg>:: in tracked self-hosted/*.sio outside self-hosted/<pkg>/	-	-	reproduces parser=93 ir=48
instrument	parser_importers	93	93	-	matches dispatch control
instrument	ir_importers	48	48	-	matches dispatch control
instrument	hlir_importers	2	2	-	matches dispatch control
instrument	native_importers	20	20	-	dispatch said 19; not rounded
instrument	wasm_importers	17	17	-	dispatch said 15; not rounded
instrument	gpu_importers	2	2	-	dispatch said 1; not rounded
instrument	souc_pos_io_pass	tests/effects/archaeology/io_pass.sio	0	NONE	Slurm job 10326
instrument	souc_pos_parser_ast	self-hosted/parser/ast.sio	1	NONE	AST closure incomplete parse_failed=false
Q1	self-hosted/hlir/mod.sio	package entry pub-use of 4 siblings	0	NONE	checks 5 modules verdict=0
Q1	self-hosted/hlir/ir.sio	data structures	0	NONE	isolated OK
Q1	self-hosted/hlir/builder.sio	SSA builder	1	error[E015],error[E137]	sibling names from ir.sio
Q1	self-hosted/hlir/lower.sio	AST to HLIR	1	error[E015],error[E137]	sibling names; also use hlir::opt_strategy
Q1	self-hosted/hlir/opt_strategy.sio	opt passes	1	error[E015],error[E137]	sibling names from ir.sio
Q2	importer_1	self-hosted/compiler/main.sio:81-85	-	-	use hlir::{ir,builder,lower}; call hlir_lower_module at 28198; GPU only
Q2	importer_2	self-hosted/gpu/hlir_to_gpu.sio:20	-	-	use hlir::ir::*; real GPU lower; not a self-test
Q2	uncounted_call	self-hosted/main.sio:502	-	-	calls hlir_lower_module with no use hlir::
Q2	live_default_pipeline	parser-check-ir-native	0	-	hlir not on default souc check/run
Q3	HlirTypeKind_variant_lines	self-hosted/hlir/ir.sio:106-158	44	-	#1949 confirmed
Q3	HlirTypeKind_unique	42	42	-	
Q3	duplicate_1	HlirTypeContest	2	-	ir.sio:150 and ir.sio:156
Q3	duplicate_2	HlirTypeRobust	2	-	ir.sio:151 and ir.sio:157
Q4	TypeKind_to_HlirTypeKind	absent	0	-	no such function
Q4	shortest_existing	hlir_type_from_ast	1	-	lower.sio:1990 TypeExpr to HlirType; skips checker
Q4	bare_Octonion_fallback	hlir_type_i64	-	-	lower.sio:2061
Q4	Hyper_Octonion_f64	hlir_type_octonion	-	-	lower.sio:2023-2027 already
Q5	TypeExprKind_Octonion	absent	0	-	TypeNamed at ast.sio:816 is the partial
Q5	TypeKind_TyOctonion	absent	0	-	TyHyper at types.sio:60 is a different constructor
Q5	LayTypeKind_TkOctonion	absent	0	-	layout.sio:45-63 primitives only
Q5	HlirTypeOctonion	present	1	-	ir.sio:135
Q5	new_variants_bare_Octonion	TypeKind+LayTypeKind	2	-	3 if dedicated TypeOctonion also added
Q5	missing_conversion_fn	TypeKind to HlirTypeKind	1	-	not an enum variant
slurm	job	10326	-	-	cpuops-t560-proxmox 2026-08-19T10:19:29Z
slurm	binary	artifacts/self-hosted/madaros	-	-	v0.80.0 shipped as stdin tarball; /workspace not mounted
