kind	posicao	camada_mais_profunda	prog_certo	prog_errado	sha_main	pass_rc	fail_rc	fail_diag
IO	Claim-ready	checker	fn f() with IO {0}; fn main() with IO { f() }	fn f() with IO {0}; fn main() { f() }  (E035)	a4d44ec22c11b11c81186bb364839e33c731bdcf	0	1	error[E035]
Mut	Claim-ready	checker	fn f() with Mut {0}; fn main() with Mut { f() }	fn f() with Mut {0}; fn main() { f() }  (E035)	a4d44ec22c11b11c81186bb364839e33c731bdcf	0	1	error[E035]
Alloc	Claim-ready	checker	fn f() with Alloc {0}; fn main() with Alloc { f() }	fn f() with Alloc {0}; fn main() { f() }  (E035)	a4d44ec22c11b11c81186bb364839e33c731bdcf	0	1	error[E035]
Panic	Claim-ready	checker	fn f() with Panic {0}; fn main() with Panic { f() }	fn f() with Panic {0}; fn main() { f() }  (E035)	a4d44ec22c11b11c81186bb364839e33c731bdcf	0	1	error[E035]
Div	Claim-ready	checker	fn f() with Div {0}; fn main() with Div { f() }	fn f() with Div {0}; fn main() { f() }  (E035)	a4d44ec22c11b11c81186bb364839e33c731bdcf	0	1	error[E035]
GPU	Claim-ready	checker	fn f() with GPU {0}; fn main() with GPU { f() }	fn f() with GPU {0}; fn main() { f() }  (E035)	a4d44ec22c11b11c81186bb364839e33c731bdcf	0	1	error[E035]
Async	Claim-ready	checker	fn f() with Async {0}; fn main() with Async { f() }	fn f() with Async {0}; fn main() { f() }  (E035)	a4d44ec22c11b11c81186bb364839e33c731bdcf	0	1	error[E035]
Prob	Claim-ready	checker	fn f() with Prob {0}; fn main() with Prob { f() }	fn f() with Prob {0}; fn main() { f() }  (E035)	a4d44ec22c11b11c81186bb364839e33c731bdcf	0	1	error[E035]
Observe	Claim-ready	checker	fn f() with Observe {0}; fn main() with Observe { f() }	fn f() with Observe {0}; fn main() { f() }  (E035)	a4d44ec22c11b11c81186bb364839e33c731bdcf	0	1	error[E035]
NonAssoc	Claim-ready	checker	fn f() with NonAssoc {0}; fn main() with NonAssoc { f() }	fn f() with NonAssoc {0}; fn main() { f() }  (E035)	a4d44ec22c11b11c81186bb364839e33c731bdcf	0	1	error[E035]
ZD	Claim-ready	checker	fn f() with ZD {0}; fn main() with ZD { f() }	fn f() with ZD {0}; fn main() { f() }  (E035)	a4d44ec22c11b11c81186bb364839e33c731bdcf	0	1	error[E035]
Witness	Claim-ready	checker	fn f() with Witness {0}; fn main() with Witness { f() }	fn f() with Witness {0}; fn main() { f() }  (E035)	a4d44ec22c11b11c81186bb364839e33c731bdcf	0	1	error[E035]
Audit	Claim-ready	checker	fn f() with Audit {0}; fn main() with Audit { f() }	fn f() with Audit {0}; fn main() { f() }  (E035)	a4d44ec22c11b11c81186bb364839e33c731bdcf	0	1	error[E035]
Chaotic	Claim-ready	checker	fn f() with Chaotic {0}; fn main() with Chaotic { f() }	fn f() with Chaotic {0}; fn main() { f() }  (E035)	a4d44ec22c11b11c81186bb364839e33c731bdcf	0	1	error[E035]
Temporal	Claim-ready	checker	fn f() with Temporal {0}; fn main() with Temporal { f() }	fn f() with Temporal {0}; fn main() { f() }  (E035)	a4d44ec22c11b11c81186bb364839e33c731bdcf	0	1	error[E035]
Learn	Claim-ready	checker	fn f() with Learn {0}; fn main() with Learn { f() }	fn f() with Learn {0}; fn main() { f() }  (E035)	a4d44ec22c11b11c81186bb364839e33c731bdcf	0	1	error[E035]
Epistemic	Claim-ready	checker	fn f() with Epistemic {0}; fn main() with Epistemic { f() }	fn f() with Epistemic {0}; fn main() { f() }  (E035)	a4d44ec22c11b11c81186bb364839e33c731bdcf	0	1	error[E035]
Causal	Claim-ready	checker	fn f() with Causal {0}; fn main() with Causal { f() }	fn f() with Causal {0}; fn main() { f() }  (E035)	a4d44ec22c11b11c81186bb364839e33c731bdcf	0	1	error[E035]
Network	Claim-ready	checker	fn f() with Network {0}; fn main() with Network { f() }	fn f() with Network {0}; fn main() { f() }  (E035)	a4d44ec22c11b11c81186bb364839e33c731bdcf	0	1	error[E035]
Sensor	Claim-ready	checker	fn f() with Sensor {0}; fn main() with Sensor { f() }	fn f() with Sensor {0}; fn main() { f() }  (E035)	a4d44ec22c11b11c81186bb364839e33c731bdcf	0	1	error[E035]
Render	Claim-ready	checker	fn f() with Render {0}; fn main() with Render { f() }	fn f() with Render {0}; fn main() { f() }  (E035)	a4d44ec22c11b11c81186bb364839e33c731bdcf	0	1	error[E035]
Hypothesis	Claim-ready	checker	fn f() with Hypothesis {0}; fn main() with Hypothesis { f() }	fn f() with Hypothesis {0}; fn main() { f() }  (E035)	a4d44ec22c11b11c81186bb364839e33c731bdcf	0	1	error[E035]
MultiTest	Claim-ready	checker	fn f() with MultiTest {0}; fn main() with MultiTest { f() }	fn f() with MultiTest {0}; fn main() { f() }  (E035)	a4d44ec22c11b11c81186bb364839e33c731bdcf	0	1	error[E035]
Foo	Hypothesis	checker	fn f() with Foo {0}; fn main() with Foo { f() }	fn f() with Foo {0}; fn main() { f() }  (silence; both pass)	a4d44ec22c11b11c81186bb364839e33c731bdcf	0	0	NONE
f128	Reserva	parser	let x: KIND = 1.0  (must construct; E218)	fn add(a:KIND,b:KIND)->KIND { a+b }  (must refuse; E218)	a4d44ec22c11b11c81186bb364839e33c731bdcf	1	1	error[E218]
f256	Reserva	parser	let x: KIND = 1.0  (must construct; E218)	fn add(a:KIND,b:KIND)->KIND { a+b }  (must refuse; E218)	a4d44ec22c11b11c81186bb364839e33c731bdcf	1	1	error[E218]
