cell	engine	exit	codes	note
A1_raw_f64_div_no_div	madaros	0		`/` without Div accepted
A1_raw_f64_div_no_div	lean_single	0		`/` without Div accepted
A2_raw_i32_div_no_div	madaros	0		`/` without Div accepted
A2_raw_i32_div_no_div	lean_single	0		`/` without Div accepted
A3_caller_of_declared_div	madaros	1	E035	missing Div required by uses_div
A3_caller_of_declared_div	lean_single	1	E035	not declared in function signature
B1_guarded_f64_div_no_div	madaros	0		float guard; `/` still no Div
B1_guarded_f64_div_no_div	lean_single	0		float guard; `/` still no Div
B2_guarded_i32_div_no_div	madaros	0		int guard extractable; still no Div
B2_guarded_i32_div_no_div	lean_single	0		int guard extractable; still no Div
C1_nonzero_param_div_no_div	madaros	0		refined denom; still no Div
C1_nonzero_param_div_no_div	lean_single	0		refined denom; still no Div
D1_literal_violates_pos	madaros	1	E008	named alias Pos not treated as i32
D1_literal_violates_pos	lean_single	1	E042	refinement type violation
D1i_inline_literal_violates	madaros	1	E042	inline predicate rejects 0
D1i_inline_literal_violates	lean_single	1	E042	inline predicate rejects 0
D2_gt5_implies_gt0	madaros	1	E008	named alias Positive not i32
D2_gt5_implies_gt0	lean_single	0		named alias implication holds
D2i_inline_gt5_implies_gt0	madaros	0		n>5 implies n>0
D2i_inline_gt5_implies_gt0	lean_single	0		n>5 implies n>0
D3_gt0_does_not_imply_gt5	madaros	1	E008	named alias Positive not i32
D3_gt0_does_not_imply_gt5	lean_single	1	E042	n>=0 does not imply n>0
D3i_inline_gt0_not_gt5	madaros	1	E042	n>=0 does not imply n>5
D3i_inline_gt0_not_gt5	lean_single	1	E042	n>=0 does not imply n>5
D4_guard_narrows_to_nonzero	madaros	0		if y!=0 { takes_nz(y) }
D4_guard_narrows_to_nonzero	lean_single	0		if y!=0 { takes_nz(y) }
D5_unguarded_var_to_nonzero	madaros	0		unproven arg accepted; W040 not on stderr
D5_unguarded_var_to_nonzero	lean_single	0		unproven arg accepted; W040 not on stderr
D5b_w040_probe	madaros	0		same; no W040 on check
D5b_w040_probe	lean_single	0		same; no W040 on check
E1_const_zero_int	madaros	1	E056	compile-time / 0; not refinement
E1_const_zero_int	lean_single	1		rejected; no E056 token in lean_single text
F1_index_no_panic	madaros	0		index without Panic accepted
F1_index_no_panic	lean_single	0		index without Panic accepted
F2_refined_index_no_panic	madaros	0		refined index; still no Panic
F2_refined_index_no_panic	lean_single	0		refined index; still no Panic
F3_caller_of_declared_panic	madaros	1	E035	missing Panic required by ix
F3_caller_of_declared_panic	lean_single	1	E035	not declared in function signature
