# INDEX (protocol v3). This file does NOT store a ladder position. Position is derived by
# bash scripts/dev/typekind_family_b_derive.sh
# kind without both fixtures is Garden by derivation. `-` means no fixture.
# expected_diagnostic is matched as a substring of `souc check` stderr+stdout on refuse_path.
# deepest_layer is a source-name inventory (parser/checker/HLIR/IR/codegen), not a live compile.
# sha of first measurement: 98eb2b4f41. Engine: this worktree bin/souc (Madaros).
kind	pass_path	refuse_path	expected_diagnostic	deepest_layer
AcquisitionPolicy	-	-	-	IR
AcquisitionPlan	tests/typekind-archaeology/family-b/AcquisitionPlan.pass.sio	tests/typekind-archaeology/family-b/AcquisitionPlan.refuse.sio	acquisition_reason(...) requires AcquisitionPlan<T>	codegen
RecoursePolicy	-	-	-	IR
RecoursePlan	tests/typekind-archaeology/family-b/RecoursePlan.pass.sio	tests/typekind-archaeology/family-b/RecoursePlan.refuse.sio	recourse_reason(...) requires RecoursePlan<T>	codegen
AlternativePolicy	-	-	-	IR
AlternativeSet	tests/typekind-archaeology/family-b/AlternativeSet.pass.sio	tests/typekind-archaeology/family-b/AlternativeSet.refuse.sio	alternative_option(...) requires AlternativeSet<T>	codegen
AlternativeOption	tests/typekind-archaeology/family-b/AlternativeOption.pass.sio	tests/typekind-archaeology/family-b/AlternativeOption.refuse.sio	alternative_reason(...) requires AlternativeOption<T>	IR
TransitionPolicy	-	-	-	IR
TransitionPlan	tests/typekind-archaeology/family-b/TransitionPlan.pass.sio	tests/typekind-archaeology/family-b/TransitionPlan.refuse.sio	transition_reason(...) requires TransitionPlan<T>	codegen
MonitoringPolicy	-	-	-	IR
DecisionPolicy	-	-	-	IR
DeferralPolicy	tests/typekind-archaeology/family-b/DeferralPolicy.pass.sio	tests/typekind-archaeology/family-b/DeferralPolicy.refuse.sio	defer_action(...) requires a declared deferral_policy item	IR
ObservedTransition	-	-	-	IR
RollbackCertificate	-	-	-	IR
Contest	tests/typekind-archaeology/family-b/Contest.pass.sio	tests/typekind-archaeology/family-b/Contest.refuse.sio	contest expressions require an explicit Contest<T> annotation	codegen
Deferred	tests/typekind-archaeology/family-b/Deferred.pass.sio	tests/typekind-archaeology/family-b/Deferred.refuse.sio	deferral_reason(...) requires Deferred<T>	codegen
