# METHOD: documented clone env (README Get started exports + MADAROS_STACK_KB=524288). Canonical Madaros. rc captured without a pipe. Next-action: NEXT / ERROR_ONLY / DISHONEST / DOC_MISMATCH.
# Measurement SHA: see USER_FRONTIER_WSB2_2026-08-19.md.
probe	rc	next_action	measured	note
souc --version	0	DOC_MISMATCH	yes	Prints `Madaros v0.80.0 -- the Sounio self-hosted compiler`. README Get started says the same command prints `souc 1.0.0-beta.6`.
souc info	0	NEXT	yes	Names wrapper, raw ELF, stdlib, identity.
souc (no args)	0	ERROR_ONLY	yes	Prints madaros usage, not souc verbs. A stranger who typed `souc` is told to run `madaros check`. `souc --help` is the souc surface; bare invocation is not.
souc --help	0	NEXT	yes	Lists souc check/compile/run/init.
souc check missing.sio	2	ERROR_ONLY	yes	`error: madaros check requires <source.sio> or a project with sounio.toml` — the path ended in .sio and was absent. Message does not say the file does not exist.
souc init (no name)	2	NEXT	yes	`souc: init requires <name>`.
souc check guide_hello.sio	0	NEXT	yes	`check: OK`. Guide §1 exact. Also OK with SOUNIO_STDLIB_PATH unset.
souc run guide_hello.sio	0	NEXT	yes	Prints `Hello, Sounio!`
souc check readme_knowledge.sio	1	ERROR_ONLY	yes	`module failed to parse`. First failing construct is `.ε` field access (isolated: Knowledge[f64] + ε= constructor checks; `let conf = x.ε` parse-fails). No line, no token, no `.epsilon` hint.
souc check semicolon_trap.sio	0	DOC_MISMATCH	yes	Guide says no semicolons. `let x = 5;` check: OK and `souc run` prints hi.
souc check examples/hello.sio	0	NEXT	yes	Get-started path. We wrote this file; not a stranger program.
souc run examples/hello.sio	0	NEXT	yes	Prints `Hello, Sounio`
souc init /tmp/hello_pkg	0	NEXT	yes	Creates sounio.toml + src/main.sio + src/greet.sio
souc check /tmp/hello_pkg	0	NEXT	yes	2 modules, check: OK
souc run /tmp/hello_pkg	0	NEXT	yes	Prints 42
