# METHOD: git ls-files examples/**/*.sio; bin/souc check; Madaros default; cap 20s; workers 3. Pass = rc=0 and no failure token. Not a user-frontier claim. SHA 6f23dfe1dac1798602e171b4d70aa2a1cf3f0015. n=571.
# COUNTS polarity={'red': 326, 'pass-measured': 245} family={'parse': 100, 'pass': 245, 'unresolved': 168, 'type': 32, 'effects': 25, 'crash': 1} (families reclassified from first diagnostic; parse is parse-error only, not E00x)

path	has_main	family	polarity	measured	elapsed_sec	rc	capped	note
examples/algo/graph_demo.sio	1	parse	red	yes	1	1	no	parse error: expected token at line 7:31 expected=131 actual=2213383489505887121
examples/algo/sorting_demo.sio	1	parse	red	yes	1	1	no	parse error: expected token at line 7:31 expected=131 actual=-7889439339506138323
examples/algorithms/complex_native_demo.sio	1	pass	pass-measured	yes	1	0	no	Madaros v0.80.0 -- the Sounio self-hosted compiler the bare highland that does not negotiate with ill-formed code -- Sfakia, Crete Horizon 3: self-hosted primary compiler. check: O
examples/algorithms/mandelbrot.sio	1	pass	pass-measured	yes	1	0	no	Madaros v0.80.0 -- the Sounio self-hosted compiler the bare highland that does not negotiate with ill-formed code -- Sfakia, Crete Horizon 3: self-hosted primary compiler. check: O
examples/algorithms/matrix_mul.sio	1	pass	pass-measured	yes	1	0	no	Madaros v0.80.0 -- the Sounio self-hosted compiler the bare highland that does not negotiate with ill-formed code -- Sfakia, Crete Horizon 3: self-hosted primary compiler. check: O
examples/algorithms/quicksort.sio	1	pass	pass-measured	yes	1	0	no	Madaros v0.80.0 -- the Sounio self-hosted compiler the bare highland that does not negotiate with ill-formed code -- Sfakia, Crete Horizon 3: self-hosted primary compiler. check: O
examples/algorithms/radix_sort.sio	1	pass	pass-measured	yes	1	0	no	Madaros v0.80.0 -- the Sounio self-hosted compiler the bare highland that does not negotiate with ill-formed code -- Sfakia, Crete Horizon 3: self-hosted primary compiler. check: O
examples/algorithms/sieve.sio	1	pass	pass-measured	yes	1	0	no	Madaros v0.80.0 -- the Sounio self-hosted compiler the bare highland that does not negotiate with ill-formed code -- Sfakia, Crete Horizon 3: self-hosted primary compiler. check: O
examples/autodiff/dual_demo.sio	1	unresolved	red	yes	1	1	no	error[E137] in autodiff/dual_demo::main at 435..443: use of undeclared variable
examples/autodiff/epistemic_dual_demo.sio	1	unresolved	red	yes	1	1	no	error[E137] in autodiff/epistemic_dual_demo::main at 481..500: use of undeclared variable
examples/autodiff/grad_demo.sio	1	unresolved	red	yes	1	1	no	error[E137] in autodiff/grad_demo::main at 474..489: use of undeclared variable
examples/autodiff/tape_demo.sio	1	parse	red	yes	1	1	no	parse error: expected token at line 8:25 expected=131 actual=-8953855629865417794
examples/autodiff/tape_test.sio	1	parse	red	yes	1	1	no	parse error: expected token at line 4:25 expected=131 actual=-5223167184477977672
examples/bayes/diagnostics_demo.sio	1	parse	red	yes	1	1	no	run_check_mode: module failed to parse: /workspace/.wt/cursor-2/examples/bayes/diagnostics_demo.sio
examples/bayes/mcmc_demo.sio	1	unresolved	red	yes	1	1	no	error[E137] in bayes/mcmc_demo::test_metropolis_simple at 451..468: use of undeclared variable
examples/bayes/prior_demo.sio	1	parse	red	yes	1	1	no	run_check_mode: module failed to parse: /workspace/.wt/cursor-2/examples/bayes/prior_demo.sio
examples/bayes/vi_demo.sio	1	unresolved	red	yes	1	1	no	error[E137] in bayes/vi_demo::test_vi_converges at 325..341: use of undeclared variable
examples/causal/core_demo.sio	1	unresolved	red	yes	1	1	no	error[E137] in causal/core_demo::main at 326..334: use of undeclared variable
examples/causal/discovery_demo.sio	1	unresolved	red	yes	1	1	no	error[E137] in causal/discovery_demo::main at 336..344: use of undeclared variable
examples/causal/mod_demo.sio	1	pass	pass-measured	yes	1	0	no	Madaros v0.80.0 -- the Sounio self-hosted compiler the bare highland that does not negotiate with ill-formed code -- Sfakia, Crete Horizon 3: self-hosted primary compiler. check: O
examples/causal/refutation_demo.sio	1	unresolved	red	yes	1	1	no	error[E137] in causal/refutation_demo::main at 1093..1112: use of undeclared variable
examples/causal/uplift_demo.sio	1	unresolved	red	yes	1	1	no	error[E137] in causal/uplift_demo::main at 324..332: use of undeclared variable
examples/chemistry/h2_adiabatic_shocktube_demo.sio	1	pass	pass-measured	yes	1	0	no	Madaros v0.80.0 -- the Sounio self-hosted compiler the bare highland that does not negotiate with ill-formed code -- Sfakia, Crete Horizon 3: self-hosted primary compiler. run_chec
examples/chemistry/h2_flame_speed_demo.sio	1	pass	pass-measured	yes	1	0	no	Madaros v0.80.0 -- the Sounio self-hosted compiler the bare highland that does not negotiate with ill-formed code -- Sfakia, Crete Horizon 3: self-hosted primary compiler. run_chec
examples/chemistry/h2_ignition_uq_demo.sio	1	pass	pass-measured	yes	1	0	no	Madaros v0.80.0 -- the Sounio self-hosted compiler the bare highland that does not negotiate with ill-formed code -- Sfakia, Crete Horizon 3: self-hosted primary compiler. run_chec
examples/cognitive_ossm/cognitive_ossm.sio	1	type	red	yes	1	1	no	error[E004] in cognitive_ossm/cognitive_ossm::oct_scale_local at 0..934: these types cannot be combined with this operator
examples/cognitive_ossm/export_results.sio	1	type	red	yes	1	1	no	error[E019] in cognitive_ossm/export_results::main at 0..2803: method calls are not supported for this type
examples/cognitive_ossm/run_ossm_native_reference.sio	1	pass	pass-measured	yes	1	0	no	Madaros v0.80.0 -- the Sounio self-hosted compiler the bare highland that does not negotiate with ill-formed code -- Sfakia, Crete Horizon 3: self-hosted primary compiler. check: O
examples/cognitive_ossm/run_regimes.sio	1	type	red	yes	1	1	no	error[E019] in cognitive_ossm/run_regimes::split_string at 0..3899: method calls are not supported for this type
examples/collections/bitset_demo.sio	1	parse	red	yes	1	1	no	parse error: expected token at line 7:31 expected=131 actual=-9000298094784576759
examples/collections/heap_demo.sio	1	parse	red	yes	1	1	no	parse error: expected token at line 7:31 expected=131 actual=-5295228744887923069
examples/compiler/check/checker_demo.sio	1	parse	red	yes	1	1	no	run_check_mode: module failed to parse: /workspace/.wt/cursor-2/examples/compiler/check/checker_demo.sio
