path	rc	bytes	seconds	first_error
self-hosted/enir/canonical.sio	0	7625	0.167	
self-hosted/enir/driver.sio	0	19258	0.537	
self-hosted/enir/hash.sio	0	516	0.150	
self-hosted/enir/interpreter.sio	0	36252	0.260	
self-hosted/enir/ir.sio	0	14985	0.158	
self-hosted/enir/mir.sio	0	46814	0.273	
self-hosted/enir/mir_cfg.sio	0	63643	0.328	
self-hosted/enir/mir_join.sio	0	68807	0.342	
self-hosted/enir/mod.sio	0	309	0.506	
self-hosted/enir/parser.sio	0	22278	0.183	
self-hosted/enir/qd.sio	0	13348	0.175	
self-hosted/enir/shadow_fixture.sio	0	8727	0.162	
self-hosted/enir/source_lower.sio	0	69003	0.269	
self-hosted/enir/verify.sio	0	38904	0.195	
self-hosted/mli/aggregate_store_diag.sio	0	2643	0.156	
self-hosted/mli/builder.sio	0	7891	0.165	
self-hosted/mli/dump.sio	0	9436	0.177	
self-hosted/mli/expand_cd.sio	0	12478	0.175	
self-hosted/mli/expand_k.sio	0	20791	0.190	
self-hosted/mli/inst_landing_diag.sio	0	4173	0.428	
self-hosted/mli/interp.sio	0	19734	0.179	
self-hosted/mli/ir.sio	0	23195	0.160	
self-hosted/mli/ir_to_mli.sio	0	24955	0.376	
self-hosted/mli/legalize_x86.sio	0	25959	0.186	
self-hosted/mli/s2a_gate_runner.sio	0	26986	0.445	
self-hosted/mli/s2b_gate_runner.sio	0	15464	0.428	
self-hosted/mli/s3_emit_runner.sio	0	2475	0.442	
self-hosted/mli/s3_gate_runner.sio	0	15315	0.506	
self-hosted/mli/s3b_gate_runner.sio	0	10654	0.259	
self-hosted/mli/self_test_runner.sio	0	16929	0.231	
self-hosted/mli/verify.sio	0	27786	0.206	
