bucket	reason	name	path	line	n_variants
candidate	layout ABI type kind	LayTypeKind	self-hosted/check/layout.sio	45	17
candidate	ownership class of a type	OwnTypeKind	self-hosted/check/ownership.sio	87	4
candidate	checker semantic TypeKind	TypeKind	self-hosted/check/types.sio	16	99
candidate	legacy lean-path thin TypeKind (name collision)	TypeKind	self-hosted/compiler/parser.sio	96	8
candidate	GPU kernel IR type	GpuType	self-hosted/gpu/kernel_ir.sio	46	12
candidate	HLIR value type kind	HlirTypeKind	self-hosted/hlir/ir.sio	106	42
candidate	HLIR type-definition kind (struct/enum)	HlirTypeDefKind	self-hosted/hlir/ir.sio	1329	2
candidate	LSP hover type category	LsphTypeCategory	self-hosted/lsp/hover.sio	81	11
candidate	parser AST type-expr kind	TypeExprKind	self-hosted/parser/ast.sio	815	54
candidate	stdlib transform HirType sketch	HirType	stdlib/compiler/transform/type_annotation.sio	29	11
shadow	bootstrap copy of primary parser/checker surface	TypeExprKind	self-hosted/bootstrap/bootstrap_v0.sio	2775	45
shadow	test double	TypeKind	self-hosted/compiler/parser_test.sio	93	6
shadow	lean/wmma duplicate of GpuType	GpuType	self-hosted/gpu/kernel_ir_wmma_lean.sio	136	12
adjacent_const_table	stdlib kind codes (INTEGER numbering — not an enum; second ruler)	TYPE_const_table	stdlib/compiler/types/type.sio	7	45
adjacent_lean_table	seed EXPR_TY/ETY_KIND integer table — MUST NOT be cast against TypeKind ordinals	lean_single_ETY_kinds	self-hosted/compiler/lean_single.sio	410	25
