stem	verdict	n_enums	occurrences	bridge_evidence
acquisitionplan	same_type	2	TypeExprKind@self-hosted/parser/ast.sio:TypeAcquisitionPlan;TypeKind@self-hosted/check/types.sio:TyAcquisitionPlan	self-hosted/check/check.sio: co-mentions ['TyAcquisitionPlan', 'TypeAcquisitionPlan'] layers=['self-hosted/check/types.sio', 'self-hosted/parser/ast.sio']
acquisitionpolicy	same_type	2	TypeExprKind@self-hosted/parser/ast.sio:TypeAcquisitionPolicy;TypeKind@self-hosted/check/types.sio:TyAcquisitionPolicy	self-hosted/check/check.sio: co-mentions ['TyAcquisitionPolicy', 'TypeAcquisitionPolicy'] layers=['self-hosted/check/types.sio', 'self-hosted/parser/ast.sio']
admissible	same_type	2	TypeExprKind@self-hosted/parser/ast.sio:TypeAdmissible;TypeKind@self-hosted/check/types.sio:TyAdmissible	self-hosted/check/check.sio: co-mentions ['TyAdmissible', 'TypeAdmissible'] layers=['self-hosted/check/types.sio', 'self-hosted/parser/ast.sio']
aleatoric	same_type	2	TypeExprKind@self-hosted/parser/ast.sio:TypeAleatoric;TypeKind@self-hosted/check/types.sio:TyAleatoric	self-hosted/check/check.sio: co-mentions ['TyAleatoric', 'TypeAleatoric'] layers=['self-hosted/check/types.sio', 'self-hosted/parser/ast.sio']
alternativeoption	same_type	2	TypeExprKind@self-hosted/parser/ast.sio:TypeAlternativeOption;TypeKind@self-hosted/check/types.sio:TyAlternativeOption	self-hosted/check/check.sio: co-mentions ['TyAlternativeOption', 'TypeAlternativeOption'] layers=['self-hosted/check/types.sio', 'self-hosted/parser/ast.sio']
alternativepolicy	same_type	2	TypeExprKind@self-hosted/parser/ast.sio:TypeAlternativePolicy;TypeKind@self-hosted/check/types.sio:TyAlternativePolicy	self-hosted/check/check.sio: co-mentions ['TyAlternativePolicy', 'TypeAlternativePolicy'] layers=['self-hosted/check/types.sio', 'self-hosted/parser/ast.sio']
alternativeset	same_type	2	TypeExprKind@self-hosted/parser/ast.sio:TypeAlternativeSet;TypeKind@self-hosted/check/types.sio:TyAlternativeSet	self-hosted/check/check.sio: co-mentions ['TyAlternativeSet', 'TypeAlternativeSet'] layers=['self-hosted/check/types.sio', 'self-hosted/parser/ast.sio']
array	same_type	5	HlirTypeKind@self-hosted/hlir/ir.sio:HlirTypeArray;LayTypeKind@self-hosted/check/layout.sio:TkArray;TypeExprKind@self-hosted/parser/ast.sio:TypeArray;TypeKind@self-hosted/check/types.sio:TyArray;TypeKind@self-hosted/compiler/parser.sio:Array	self-hosted/check/check.sio: co-mentions ['Array', 'TyArray', 'TypeArray'] layers=['self-hosted/check/layout.sio', 'self-hosted/check/types.sio', 'self-hosted/compiler/parser.sio', 'self-hosted/hlir/ir.sio', 'self-hosted/parser/ast.sio'] | self-hosted/check/types.sio: co-mentions ['Array', 'TyArray'] layers=['self-hosted/check/layout.sio', 'self-hosted/check/types.sio', 'self-hosted/compiler/parser.sio', 'self-hosted/hlir/ir.sio', 'self-hosted/parser/ast.sio'] | self-hosted/ir/lower.sio: co-mentions ['Array', 'TypeArray'] layers=['self-hosted/check/layout.sio', 'self-hosted/check/types.sio', 'self-hosted/compiler/parser.sio', 'self-hosted/hlir/ir.sio', 'self-hosted/parser/ast.sio']
axiom	same_type	2	TypeExprKind@self-hosted/parser/ast.sio:TypeAxiom;TypeKind@self-hosted/check/types.sio:TyAxiom	self-hosted/check/check.sio: co-mentions ['TyAxiom', 'TypeAxiom'] layers=['self-hosted/check/types.sio', 'self-hosted/parser/ast.sio']
bool	same_type	4	GpuType@self-hosted/gpu/kernel_ir.sio:GpuBool;HlirTypeKind@self-hosted/hlir/ir.sio:HlirTypeBool;LayTypeKind@self-hosted/check/layout.sio:TkBool;TypeKind@self-hosted/check/types.sio:TyBool	self-hosted/check/check.sio: co-mentions ['TyBool', 'bool'] layers=['self-hosted/check/layout.sio', 'self-hosted/check/types.sio', 'self-hosted/gpu/kernel_ir.sio', 'self-hosted/hlir/ir.sio'] | self-hosted/check/types.sio: co-mentions ['TyBool', 'bool'] layers=['self-hosted/check/layout.sio', 'self-hosted/check/types.sio', 'self-hosted/gpu/kernel_ir.sio', 'self-hosted/hlir/ir.sio'] | self-hosted/llvm/type_convert.sio: co-mentions ['HlirTypeBool', 'bool'] layers=['self-hosted/check/layout.sio', 'self-hosted/check/types.sio', 'self-hosted/gpu/kernel_ir.sio', 'self-hosted/hlir/ir.sio']
causaleffect	same_type	2	TypeExprKind@self-hosted/parser/ast.sio:TypeCausalEffect;TypeKind@self-hosted/check/types.sio:TyCausalEffect	MANUAL_BRIDGE: self-hosted/check/check.sio:16257 TypeExprKind::TypeCausalEffect => lower_causal_effect_annotation; types.sio:71 TyCausalEffect
chan	same_type	2	TypeExprKind@self-hosted/parser/ast.sio:TypeChan;TypeKind@self-hosted/check/types.sio:TyChan	self-hosted/check/check.sio: co-mentions ['TyChan', 'TypeChan'] layers=['self-hosted/check/types.sio', 'self-hosted/parser/ast.sio']
contest	same_type	3	HlirTypeKind@self-hosted/hlir/ir.sio:HlirTypeContest;TypeExprKind@self-hosted/parser/ast.sio:TypeContest;TypeKind@self-hosted/check/types.sio:TyContest	self-hosted/check/check.sio: co-mentions ['TyContest', 'TypeContest'] layers=['self-hosted/check/types.sio', 'self-hosted/hlir/ir.sio', 'self-hosted/parser/ast.sio']
counterfactual	same_type	3	HlirTypeKind@self-hosted/hlir/ir.sio:HlirTypeCounterfactual;TypeExprKind@self-hosted/parser/ast.sio:TypeCounterfactual;TypeKind@self-hosted/check/types.sio:TyCounterfactual	self-hosted/check/check.sio: co-mentions ['TyCounterfactual', 'TypeCounterfactual'] layers=['self-hosted/check/types.sio', 'self-hosted/hlir/ir.sio', 'self-hosted/parser/ast.sio'] | self-hosted/llvm/type_convert.sio: co-mentions ['HlirTypeCounterfactual', 'TypeCounterfactual'] layers=['self-hosted/check/types.sio', 'self-hosted/hlir/ir.sio', 'self-hosted/parser/ast.sio']
decisionpolicy	same_type	2	TypeExprKind@self-hosted/parser/ast.sio:TypeDecisionPolicy;TypeKind@self-hosted/check/types.sio:TyDecisionPolicy	self-hosted/check/check.sio: co-mentions ['TyDecisionPolicy', 'TypeDecisionPolicy'] layers=['self-hosted/check/types.sio', 'self-hosted/parser/ast.sio']
