enum	path	variant	variant_line	source_index_AUDIT_ONLY	in_index	has_fixture	index_kind
TypeExprKind	self-hosted/parser/ast.sio	TypeNamed	816	0	0	0	
TypeExprKind	self-hosted/parser/ast.sio	TypeReference	817	1	0	0	
TypeExprKind	self-hosted/parser/ast.sio	TypeRefMut	818	2	0	0	
TypeExprKind	self-hosted/parser/ast.sio	TypeRawPtr	819	3	1	1	TyRawPtr
TypeExprKind	self-hosted/parser/ast.sio	TypeArray	820	4	1	1	TyArray
TypeExprKind	self-hosted/parser/ast.sio	TypeTuple	821	5	0	0	
TypeExprKind	self-hosted/parser/ast.sio	TypeFn	822	6	0	0	
TypeExprKind	self-hosted/parser/ast.sio	TypeUnit	823	7	0	0	
TypeExprKind	self-hosted/parser/ast.sio	TypeNever	824	8	0	0	
TypeExprKind	self-hosted/parser/ast.sio	TypeSelfUpper	825	9	0	0	
TypeExprKind	self-hosted/parser/ast.sio	TypeInfer	826	10	0	0	
TypeExprKind	self-hosted/parser/ast.sio	TypeKnowledge	827	11	0	0	
TypeExprKind	self-hosted/parser/ast.sio	TypeForgettable	828	12	0	0	
TypeExprKind	self-hosted/parser/ast.sio	TypeExactlyPrivate	829	13	0	0	
TypeExprKind	self-hosted/parser/ast.sio	TypeEditable	830	14	0	0	
TypeExprKind	self-hosted/parser/ast.sio	TypeCapabilityGated	831	15	0	0	
TypeExprKind	self-hosted/parser/ast.sio	TypeComposable	832	16	0	0	
TypeExprKind	self-hosted/parser/ast.sio	TypeAudited	833	17	0	0	
TypeExprKind	self-hosted/parser/ast.sio	TypeRevivable	834	18	0	0	
TypeExprKind	self-hosted/parser/ast.sio	TypeInterpretable	835	19	0	0	
TypeExprKind	self-hosted/parser/ast.sio	TypeModel	836	20	0	0	
TypeExprKind	self-hosted/parser/ast.sio	TypePolicy	837	21	0	0	
TypeExprKind	self-hosted/parser/ast.sio	TypeAcquisitionPolicy	838	22	0	0	
TypeExprKind	self-hosted/parser/ast.sio	TypeAcquisitionPlan	839	23	0	0	
TypeExprKind	self-hosted/parser/ast.sio	TypeRecoursePolicy	840	24	0	0	
TypeExprKind	self-hosted/parser/ast.sio	TypeRecoursePlan	841	25	0	0	
TypeExprKind	self-hosted/parser/ast.sio	TypeTransitionPolicy	842	26	0	0	
TypeExprKind	self-hosted/parser/ast.sio	TypeTransitionPlan	843	27	0	0	
TypeExprKind	self-hosted/parser/ast.sio	TypeMonitoringPolicy	844	28	0	0	
TypeExprKind	self-hosted/parser/ast.sio	TypeObservedTransition	845	29	0	0	
